gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
1e32b215-85cb-46da-b83a-d492a4b99bdd,au_sydney_5768,"LINESTRING (151.1751630999999918 -33.8202003000000033, 151.1756219000000101 -33.8203401000000028, 151.1757225000000062 -33.8203706999999980)","LINESTRING (151.1756706617712496 -33.8203484795871958, 151.1761000986978445 -33.8204054102214613)","{""class"": ""track""}","{""name"": ""SECOND"", ""class"": ""residential""}"
dc6a79f1-817d-4894-abe8-95b01fb9cfb1,au_sydney_403903,"LINESTRING (151.0576636000000121 -34.0377939999999981, 151.0585404999999923 -34.0379440000000031, 151.0585888999999895 -34.0379464999999968)","LINESTRING (151.0602151579020358 -34.0381786654785401, 151.0585886170446486 -34.0379410839626928)","{""name"": ""Forest Road"", ""class"": ""residential""}","{""name"": ""FOREST"", ""class"": ""residential""}"
5e147a7a-07b1-416c-9dd7-dd02e94a3bb7,au_sydney_2784201,"LINESTRING (150.8595425000000034 -33.9776924000000022, 150.8595123000000058 -33.9775951000000020)","LINESTRING (150.8595215826727838 -33.9776449906434408, 150.8593283370888969 -33.9769874021664222, 150.8591344015988511 -33.9763493283837832)","{""name"": ""Malaya Street"", ""class"": ""residential""}","{""name"": ""MALAYA"", ""class"": ""residential""}"
fcbd2bf8-0f0d-4d9a-ab8e-52badc74ded9,au_sydney_1077591,"LINESTRING (151.1729726000000085 -33.7551367000000013, 151.1729036000000121 -33.7550925999999976, 151.1727922999999976 -33.7549695000000014, 151.1728238000000033 -33.7547368000000034, 151.1728500000000111 -33.7547082999999972, 151.1730324000000110 -33.7547333999999992)","LINESTRING (151.1734654423774771 -33.7557732873587568, 151.1734644021283600 -33.7557429979769097, 151.1734518975796391 -33.7556893934749809, 151.1734179421602278 -33.7556071934171555, 151.1733661210463993 -33.7555214172489926, 151.1732857047604739 -33.7554678126085150, 151.1731534682590734 -33.7554088386521656, 151.1730819902102212 -33.7553641710495924, 151.1730408895910500 -33.7552944763682703, 151.1730087272089520 -33.7552212138018675, 151.1729747807726483 -33.7551300769102056, 151.1728302903524366 -33.7549956441419567, 151.1726924330923225 -33.7548673960719228)","{""class"": ""service"", ""subclass"": ""parking_aisle""}","{""class"": ""residential""}"
c88483eb-2489-4c3d-9ae5-ce5dd562c14a,au_sydney_411604,"LINESTRING (151.2382728999999983 -33.9033743999999970, 151.2383132999999873 -33.9033650000000009, 151.2383878999999922 -33.9033201000000020, 151.2385869000000014 -33.9032003000000017, 151.2388435999999956 -33.9030778999999995, 151.2390340000000037 -33.9029866999999996, 151.2391923000000133 -33.9029264999999995, 151.2393460000000118 -33.9028996999999990, 151.2395712999999944 -33.9028952999999973, 151.2399164999999925 -33.9029310000000024, 151.2399902999999881 -33.9029365000000027, 151.2400486999999885 -33.9029408999999973, 151.2400950999999907 -33.9029364000000015)","LINESTRING (151.2386193399412662 -33.9032354335071560, 151.2390040021391826 -33.9030509637907898, 151.2391259753884754 -33.9029964092427036, 151.2392225263152454 -33.9029681544913331, 151.2393331691138201 -33.9029460314379776, 151.2394186941187399 -33.9029353911658120, 151.2395572772176422 -33.9029373811376331, 151.2398492251933817 -33.9029489809799074)","{""name"": ""Darley Road"", ""class"": ""secondary""}","{""name"": ""DARLEY"", ""class"": ""tertiary""}"
3478bbf3-b541-4665-90d0-677af20b50f0,au_sydney_409603,"LINESTRING (151.1041947999999877 -33.8869797999999989, 151.1042215999999883 -33.8870365000000007, 151.1042471000000091 -33.8870988999999980, 151.1042946999999970 -33.8871901999999992, 151.1043428000000119 -33.8872697999999986)","LINESTRING (151.1041773918749413 -33.8871402764153089, 151.1042209215387118 -33.8867870599807546, 151.1042089272329747 -33.8866991676588754, 151.1041547579230837 -33.8866058977888187, 151.1040314138446945 -33.8865198971987809, 151.1037204530258862 -33.8863932810011548, 151.1036491806912352 -33.8863770919104255, 151.1035590302609251 -33.8863541174011829, 151.1034426418378018 -33.8863469285441425)","{""name"": ""Appian Way"", ""class"": ""residential""}","{""name"": ""APPIAN"", ""class"": ""residential""}"
d6275b96-9b64-49c5-81b0-cb03f0ae93b1,au_sydney_843173,"LINESTRING (151.0844738000000120 -34.0377772000000007, 151.0843189999999936 -34.0377549999999971, 151.0838733999999874 -34.0376911000000035, 151.0835873000000049 -34.0376304999999988, 151.0832029000000034 -34.0375737999999970)","LINESTRING (151.0832039560160069 -34.0375549337659891, 151.0837633890457710 -34.0376195282312466, 151.0842870736186967 -34.0376799993792147, 151.0844749050563962 -34.0377040585973702)","{""name"": ""President Avenue"", ""class"": ""secondary""}","{""name"": ""PRESIDENT"", ""class"": ""secondary""}"
21d22555-1fa3-44bb-8592-e14fc937c8ae,au_sydney_2239634,"LINESTRING (151.0575158000000044 -33.7556764999999999, 151.0573770999999965 -33.7550819000000004, 151.0574081000000035 -33.7548815000000033)","LINESTRING (151.0574426973221023 -33.7553177646975513, 151.0573123427912208 -33.7549672732165007, 151.0570927882475587 -33.7540371078145895)","{""class"": ""steps""}","{""name"": ""BURNS"", ""class"": ""residential""}"
2c37d6b4-6dcf-4648-9d3f-4c1c33b36ee7,au_sydney_2631378,"LINESTRING (151.1432140000000004 -34.0399432999999974, 151.1432004000000120 -34.0400048999999996, 151.1431536000000051 -34.0400466999999978)","LINESTRING (151.1428157755879056 -34.0416771810884811, 151.1431839707683764 -34.0399012468596993)","{""name"": ""Woolooware Road North"", ""class"": ""tertiary""}","{""name"": ""WOOLOOWARE"", ""class"": ""tertiary""}"
f86e92d9-5377-4377-b5ef-10c351f3f775,au_sydney_43477,"LINESTRING (151.1744290999999976 -33.9070900999999978, 151.1760466000000065 -33.9065681000000012, 151.1770201999999870 -33.9062538000000018, 151.1770587000000035 -33.9062415000000001, 151.1771134999999902 -33.9062245000000004, 151.1771553000000097 -33.9062461999999982, 151.1770239999999887 -33.9063386999999992, 151.1744534000000044 -33.9071482000000017)","LINESTRING (151.1743684908848309 -33.9071429579044477, 151.1768941375438260 -33.9063329815511096, 151.1770779795633359 -33.9062740258386981)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""WELLS"", ""class"": ""residential""}"
