gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
d7f5a9a6-c499-407f-9bd5-bca029f616fe,sp_road_138215,"LINESTRING (-46.7652259999999984 -23.6690831999999993, -46.7652246999999974 -23.6691304000000002, -46.7652215000000027 -23.6692506999999992, -46.7652167000000034 -23.6694281999999987, -46.7652197999999970 -23.6696999000000012)","LINESTRING (-46.7652020000000022 -23.6696670199999986, -46.7651910000000015 -23.6700470199999984, -46.7651850000000024 -23.6701770200000006)","{""name"": ""Rua Miguel Lopes"", ""class"": ""tertiary""}","{""name"": ""R   MIGUEL LOPES"", ""class"": ""tertiary""}"
e1abda90-d7e9-4ba0-80fa-cbae0b5d5793,sp_road_70873,"LINESTRING (-46.6925663999999969 -23.7829708000000011, -46.6932674999999975 -23.7829045000000008)","LINESTRING (-46.6939179999999965 -23.7828110200000005, -46.6937989999999985 -23.7828210200000001, -46.6935929999999999 -23.7828390200000008, -46.6934040000000010 -23.7828640200000017, -46.6932169999999971 -23.7829080200000007)","{""name"": ""Rua Falc\u00e3o Peregrino"", ""class"": ""residential""}","{""name"": ""R   FALCAO PEREGRINO"", ""class"": ""residential""}"
22370405-3ee2-4718-bab0-9af1c4bbb31f,sp_road_21237,"LINESTRING (-46.7407290000000017 -23.4542371000000003, -46.7408604999999966 -23.4541970999999982, -46.7408985000000001 -23.4541855000000012, -46.7410384000000008 -23.4541147000000016, -46.7412190000000010 -23.4539936000000004, -46.7415542999999971 -23.4537143000000015, -46.7421578000000011 -23.4531987999999991, -46.7422127999999972 -23.4531619000000013, -46.7422678000000005 -23.4531433999999983, -46.7423214000000016 -23.4531409000000011, -46.7423776999999987 -23.4531568999999998, -46.7425064999999975 -23.4532308000000000)","LINESTRING (-46.7425360000000012 -23.4532600199999983, -46.7422090000000026 -23.4530580200000003, -46.7420949999999991 -23.4530390199999985, -46.7420509999999965 -23.4531130200000000, -46.7417080000000027 -23.4535000199999999, -46.7409249999999972 -23.4542760199999982)","{""name"": ""Avenida Doutor Felipe Pinel"", ""class"": ""residential""}","{""name"": ""AV   JERIMANDUBA"", ""class"": ""tertiary""}"
4fd128d6-60dc-4ad6-9674-a625100a503c,sp_road_30126,"LINESTRING (-46.6447716999999997 -23.4869321999999983, -46.6447562000000033 -23.4869208000000000, -46.6447359000000006 -23.4869006999999996, -46.6447191999999973 -23.4868804000000004, -46.6447118000000032 -23.4868527000000000, -46.6447118000000032 -23.4868224999999988, -46.6447165000000012 -23.4868035000000006, -46.6447278999999995 -23.4867813000000005, -46.6447539999999989 -23.4867537000000013, -46.6447848999999977 -23.4867266000000008)","LINESTRING (-46.6447020000000023 -23.4867370199999996, -46.6446960000000033 -23.4869280200000006)","{""class"": ""primary"", ""subclass"": ""link""}","{""name"": ""AV ENG  CAETANO ALVARES"", ""class"": ""primary""}"
312ac770-9695-45ee-aff9-550027cb1d09,sp_road_39066,"LINESTRING (-46.6376374999999967 -23.6589428999999996, -46.6385709999999989 -23.6589945999999998)","LINESTRING (-46.6385750000000030 -23.6589910199999984, -46.6384680000000031 -23.6590510199999997)","{""name"": ""Rua Henrique da Silva Fontes"", ""class"": ""residential""}","{""name"": ""R   ASTROLABIO"", ""class"": ""residential""}"
d1cb5e16-c13d-4ab4-83a8-13c3230b25b9,sp_road_190573,"LINESTRING (-46.7854661000000007 -23.7091530000000006, -46.7849511000000007 -23.7091788000000001)","LINESTRING (-46.7854409999999987 -23.7091770199999985, -46.7854760000000027 -23.7091510200000002, -46.7854809999999972 -23.7091070200000011, -46.7854999999999990 -23.7090580200000005, -46.7855339999999984 -23.7090220199999990, -46.7855619999999988 -23.7090000200000013, -46.7855950000000007 -23.7089710199999999, -46.7856110000000029 -23.7089500199999996, -46.7856209999999990 -23.7089300200000004, -46.7856230000000011 -23.7089130200000007, -46.7856219999999965 -23.7088960200000010, -46.7856189999999970 -23.7088760200000017)","{""class"": ""residential""}","{""name"": ""R   SEM DENOMINACAO"", ""class"": ""residential""}"
ee051f0b-347c-4fcf-9907-42f983aab20d,sp_road_137768,"LINESTRING (-46.4858083000000022 -23.6054244000000004, -46.4860504000000034 -23.6053654000000002, -46.4862542999999988 -23.6053187000000015, -46.4864192000000003 -23.6052904000000012, -46.4865895000000009 -23.6052757000000000, -46.4867384000000001 -23.6052701999999996, -46.4868832000000012 -23.6052719999999994, -46.4869677000000010 -23.6052736000000003)","LINESTRING (-46.4868859999999984 -23.6052420199999986, -46.4869410000000016 -23.6052630199999989, -46.4869879999999966 -23.6052920200000003, -46.4870420000000024 -23.6053510200000005, -46.4872790000000009 -23.6056410200000002, -46.4873210000000014 -23.6057130199999996, -46.4873809999999992 -23.6058160199999989, -46.4874500000000026 -23.6059170199999997)","{""name"": ""Rua \u00c2ngela Bartolomei"", ""class"": ""residential""}","{""name"": ""AV MIN  JOSE AMERICO DE ALMEIDA"", ""class"": ""residential""}"
5d5669db-42dc-477e-95dc-26fceb895e86,sp_road_130553,"LINESTRING (-46.7925619000000026 -23.4472918999999997, -46.7924728999999999 -23.4477170999999984, -46.7924531000000030 -23.4478739999999988, -46.7924478999999991 -23.4479156999999994, -46.7924525999999972 -23.4480259000000011, -46.7924693000000005 -23.4481077000000013, -46.7925015000000002 -23.4481815000000005, -46.7925686000000027 -23.4482627000000008, -46.7926744999999968 -23.4483254000000017, -46.7928274000000002 -23.4483536999999984, -46.7930514000000031 -23.4483844999999995, -46.7931773999999976 -23.4484287999999985, -46.7932430999999980 -23.4484928000000004, -46.7933432999999965 -23.4486811999999993, -46.7937358000000003 -23.4494392000000005, -46.7938935999999970 -23.4497439999999990, -46.7939646999999965 -23.4499457999999983, -46.7940061999999983 -23.4502448000000001, -46.7940465000000003 -23.4504538999999994, -46.7940934000000013 -23.4506310999999990, -46.7942194999999970 -23.4508808000000002, -46.7942879000000005 -23.4510174000000013, -46.7943199999999990 -23.4510888000000008, -46.7943454999999986 -23.4511478000000011)","LINESTRING (-46.7920000000000016 -23.4455680199999996, -46.7921210000000016 -23.4460360200000011, -46.7921850000000035 -23.4462320200000001, -46.7922439999999966 -23.4463170199999986, -46.7922960000000003 -23.4463780200000009, -46.7923630000000017 -23.4464480199999983, -46.7925010000000015 -23.4465570200000002, -46.7925699999999978 -23.4466350199999987, -46.7926089999999988 -23.4466950199999999, -46.7926330000000021 -23.4467550200000012, -46.7926479999999998 -23.4468140200000015, -46.7926440000000028 -23.4468560199999985, -46.7925389999999979 -23.4473540199999988)","{""name"": ""Avenida Felippo Sturba"", ""class"": ""residential""}","{""name"": ""AV   FELIPPO STURBA"", ""class"": ""tertiary""}"
316c1dde-3e62-4efe-8c6c-ce68f2bdefb6,sp_road_164132,"LINESTRING (-46.7639373000000020 -23.6640079000000014, -46.7638770000000008 -23.6639002000000005, -46.7638079000000033 -23.6638258999999991)","LINESTRING (-46.7638630000000006 -23.6638370199999990, -46.7638129999999990 -23.6638440199999991, -46.7637140000000002 -23.6638350200000005, -46.7636290000000017 -23.6638230199999988, -46.7635679999999994 -23.6638080200000012)","{""name"": ""Rua Miguel Lopes"", ""class"": ""residential""}","{""name"": ""R DR  BENEDITO MATARAZZO"", ""class"": ""tertiary""}"
282dc84f-5a2a-4817-bd9c-8a0438a7279b,sp_road_183179,"LINESTRING (-46.4820895000000007 -23.5199187999999992, -46.4821472000000000 -23.5199569000000004)","LINESTRING (-46.4821069999999992 -23.5199080199999990, -46.4821710000000010 -23.5199390199999989)","{""name"": ""Rua Professora Ernestina Loureiro de Miranda"", ""class"": ""residential""}","{""name"": ""R PROFA  ERNESTINA LOUREIRO DE MIRANDA"", ""class"": ""residential""}"
855015fe-e5cc-4288-b2d4-28148259f6f7,sp_road_4972,"LINESTRING (-46.6000731000000030 -23.5544398999999984, -46.5999943999999999 -23.5544997000000009, -46.5999163999999979 -23.5545593999999987)","LINESTRING (-46.6000709999999998 -23.5545040199999995, -46.5999210000000019 -23.5545580200000018)","{""class"": ""footway"", ""subclass"": ""crosswalk""}","{""name"": ""R   JAVARI"", ""class"": ""residential""}"
f831a7c1-277e-4192-b0ec-fbae4c5367c6,sp_road_3380,"LINESTRING (-46.6722882999999982 -23.5859069999999988, -46.6720898000000020 -23.5858294999999991, -46.6719074000000020 -23.5857619000000014, -46.6716720000000009 -23.5856777000000015, -46.6715361999999985 -23.5856321999999992, -46.6714466999999971 -23.5856022000000003, -46.6712677000000014 -23.5855487000000004, -46.6711698000000013 -23.5855217000000010, -46.6710946999999976 -23.5855038000000015, -46.6710315999999992 -23.5855050999999989, -46.6709772999999970 -23.5855186000000003, -46.6709189999999978 -23.5855381999999985)","LINESTRING (-46.6710339999999988 -23.5855270200000007, -46.6709329999999980 -23.5855580200000006)","{""name"": ""Avenida Presidente Juscelino Kubitschek"", ""class"": ""primary""}","{""name"": ""AV PRES  JUSCELINO KUBITSCHEK"", ""class"": ""primary""}"
4af4b831-385d-4381-95ce-5bbe41a26a2f,sp_road_107444,"LINESTRING (-46.6641800000000018 -23.6284880999999984, -46.6643466000000018 -23.6285567999999984, -46.6644756999999970 -23.6286175999999983, -46.6646271999999982 -23.6287066999999986, -46.6646755000000013 -23.6287428999999989, -46.6647539000000009 -23.6288252000000014)","LINESTRING (-46.6640119999999996 -23.6284330199999992, -46.6645249999999976 -23.6287110200000008)","{""name"": ""Rua Henrique Fausto Lancelotti"", ""class"": ""residential""}","{""name"": ""AV   WASHINGTON LUIS"", ""class"": ""primary""}"
7b931ec0-d5c3-420e-92bb-e69beec6d25e,sp_road_35622,"LINESTRING (-46.7275783999999987 -23.5733768999999995, -46.7276055999999969 -23.5733594999999987, -46.7276309000000012 -23.5733345000000014, -46.7276533000000001 -23.5733071999999986, -46.7276724999999971 -23.5732779999999984, -46.7276883999999981 -23.5732470999999997)","LINESTRING (-46.7276450000000025 -23.5733640199999996, -46.7275789999999986 -23.5733620200000011, -46.7275380000000027 -23.5733640199999996, -46.7274870000000035 -23.5733720200000008)","{""name"": ""Rua Botur\u00f3ca"", ""class"": ""residential""}","{""name"": ""PC   FLAVIO GOMES SCHERMANN"", ""class"": ""residential""}"
7b931ec0-d5c3-420e-92bb-e69beec6d25e,sp_road_160575,"LINESTRING (-46.7275783999999987 -23.5733768999999995, -46.7276055999999969 -23.5733594999999987, -46.7276309000000012 -23.5733345000000014, -46.7276533000000001 -23.5733071999999986, -46.7276724999999971 -23.5732779999999984, -46.7276883999999981 -23.5732470999999997)","LINESTRING (-46.7276450000000025 -23.5733640199999996, -46.7275789999999986 -23.5733620200000011, -46.7275380000000027 -23.5733640199999996, -46.7274870000000035 -23.5733720200000008)","{""name"": ""Rua Botur\u00f3ca"", ""class"": ""residential""}","{""name"": ""PC   FLAVIO GOMES SCHERMANN"", ""class"": ""residential""}"
945a9a72-2034-4a12-b636-bb233cf359ef,sp_road_122045,"LINESTRING (-46.7071068999999994 -23.5752224000000012, -46.7069612000000021 -23.5752831000000000)","LINESTRING (-46.7069919999999996 -23.5752710199999989, -46.7069100000000006 -23.5751070200000008)","{""name"": ""Rua Sapetuba"", ""class"": ""trunk""}","{""name"": ""AV PROF  FRANCISCO MORATO"", ""class"": ""primary""}"
d46d57d9-8cea-420f-95b2-47e229830699,sp_road_122389,"LINESTRING (-46.6323024000000004 -23.6437710999999986, -46.6324668000000031 -23.6437796999999996, -46.6325874999999996 -23.6437889000000006, -46.6327270000000027 -23.6438239000000010, -46.6328162000000006 -23.6438711999999995, -46.6329113999999976 -23.6439370000000011)","LINESTRING (-46.6322990000000033 -23.6435080199999987, -46.6323280000000011 -23.6437840199999982)","{""name"": ""Rua Leucina"", ""class"": ""residential""}","{""name"": ""R   DOMICIANO LEITE RIBEIRO"", ""class"": ""residential""}"
54eaf979-38d0-4971-9d47-2a696332c136,sp_road_35107,"LINESTRING (-46.6776111000000000 -23.4948942999999986, -46.6774801999999980 -23.4952563999999988)","LINESTRING (-46.6775939999999991 -23.4948940200000003, -46.6775599999999997 -23.4949420199999999, -46.6774940000000029 -23.4950650199999984, -46.6774920000000009 -23.4950710200000010)","{""name"": ""Avenida Deputado Em\u00edlio Carlos"", ""class"": ""secondary""}","{""name"": ""AV DEP  EMILIO CARLOS"", ""class"": ""tertiary""}"
f2944660-1f2b-4cad-8515-fc10b3bf7109,sp_road_212921,"LINESTRING (-46.7082566999999997 -23.7574360999999996, -46.7082158999999990 -23.7574748999999983, -46.7081232000000028 -23.7575630999999987, -46.7080776000000029 -23.7576065999999990, -46.7080022000000028 -23.7576743000000015)","LINESTRING (-46.7090090000000018 -23.7568740200000015, -46.7089640000000017 -23.7569100199999994, -46.7087879999999984 -23.7570390200000006, -46.7085610000000031 -23.7572050200000007, -46.7082570000000032 -23.7574300200000010, -46.7081510000000009 -23.7574680200000010)","{""name"": ""Estrada dos Mendes"", ""class"": ""tertiary""}","{""name"": ""R  DOS MENDES"", ""class"": ""tertiary""}"
474cd2d3-9973-4c45-b7c3-b7cb87d20a43,sp_road_60062,"LINESTRING (-46.6801807000000011 -23.6341184999999996, -46.6801728000000011 -23.6341868999999996, -46.6801802000000023 -23.6342330999999994, -46.6801923000000016 -23.6342639000000005, -46.6802492999999998 -23.6343433999999988)","LINESTRING (-46.6802530000000004 -23.6343150199999990, -46.6802210000000031 -23.6343000200000013, -46.6801079999999970 -23.6342130200000007, -46.6800649999999990 -23.6341520199999984, -46.6799490000000006 -23.6339870199999993, -46.6798950000000019 -23.6338790199999984)","{""name"": ""Rua Doutor Ademar Queir\u00f3s de Morais"", ""class"": ""tertiary""}","{""name"": ""R DR  ADHEMAR QUEIROZ DE MORAES"", ""class"": ""tertiary""}"
