gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
bb08de9f-36d2-4fe6-b40b-c12771237947,de_berlin_50443,"LINESTRING (13.3160813000000005 52.5965278999999981, 13.3152247999999993 52.5963319999999968, 13.3147883000000000 52.5962322000000029, 13.3146787000000000 52.5963337000000024, 13.3146255999999994 52.5963205999999985, 13.3144267999999997 52.5962792999999991, 13.3142285000000005 52.5962382000000019, 13.3135919000000005 52.5960955999999982, 13.3136165000000002 52.5960634999999996, 13.3136452999999992 52.5960305999999989)","LINESTRING (13.3134279310731003 52.5959427846387015, 13.3134743057013001 52.5959559335391020, 13.3137238837383993 52.5960183657976970, 13.3136717724687994 52.5960782846398018, 13.3142557843028992 52.5962061394943987, 13.3143653796658992 52.5960988659838975)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""Am Priesteracker"", ""class"": ""unclassified""}"
e7e17f0d-801a-49a0-b477-9ec2ef7ff340,de_berlin_66218,"LINESTRING (13.5144710999999997 52.4795352000000008, 13.5145464999999998 52.4795456000000016, 13.5146113999999997 52.4795407000000012, 13.5146698999999995 52.4795228999999992, 13.5147186000000001 52.4794892000000033, 13.5147495000000006 52.4794486999999990, 13.5156925000000001 52.4776274999999970, 13.5157094000000004 52.4775948999999997, 13.5157323999999992 52.4775423000000032, 13.5157547999999998 52.4774910000000006)","LINESTRING (13.5145548841381000 52.4796883143727015, 13.5146918349981000 52.4796122356043995, 13.5147428566112993 52.4795751927386007, 13.5147825504687003 52.4795197733668033, 13.5158240563107999 52.4775469095383968)","{""class"": ""footway""}","{""name"": ""Hoher Wallgraben"", ""class"": ""unclassified""}"
d11b80fd-4fe4-4e14-8192-f92bbe49de82,de_berlin_82478,"LINESTRING (13.3285555999999996 52.4151671999999991, 13.3293982000000000 52.4154881999999986, 13.3294069999999998 52.4154910000000029)","LINESTRING (13.3285177288077996 52.4151199379092034, 13.3294173960563995 52.4154577288835029, 13.3294885803561005 52.4154644172287973)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""Scheelestra\u00dfe"", ""class"": ""unclassified""}"
21cea800-247b-4ca0-94bc-8c3173620972,de_berlin_81412,"LINESTRING (13.2593829999999997 52.4136254000000008, 13.2594659000000004 52.4136809000000028)","LINESTRING (13.2579739530139999 52.4132861305649982, 13.2585009649467995 52.4132403689786983, 13.2589239870039997 52.4133126573156005, 13.2594684316431000 52.4136673697028002)","{""class"": ""footway"", ""subclass"": ""crosswalk""}","{""name"": ""Ramsteinweg"", ""class"": ""unclassified""}"
7e3d5f18-6e27-4d00-94b8-25173070ac7a,de_berlin_61574,"LINESTRING (13.3672345000000004 52.4936290999999997, 13.3672234000000003 52.4936604000000031, 13.3672120999999997 52.4936922999999993)","LINESTRING (13.3661889287937008 52.4952771398858005, 13.3665196633284005 52.4952503053242978, 13.3665735173296998 52.4951853909402004, 13.3672084968782006 52.4936962655945010, 13.3672107354798992 52.4935278843609012, 13.3671478839527005 52.4933500879639965)","{""class"": ""path""}","{""name"": ""B\u00fclowstra\u00dfe"", ""class"": ""unclassified""}"
ae5a6abd-20ff-4a3a-b956-73b5eadae6a9,de_berlin_87472,"LINESTRING (13.5709333000000001 52.5337148999999997, 13.5716555999999997 52.5335988000000000, 13.5726487999999996 52.5334383000000003)","LINESTRING (13.5718233916974000 52.5336002501214026, 13.5725602123513998 52.5334868955704977, 13.5726690872654991 52.5334977238850982)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""Alwineweg"", ""class"": ""unclassified""}"
517ff903-0d9f-4342-8343-dd32b19d3b91,de_berlin_69980,"LINESTRING (13.5383958000000000 52.4324050999999969, 13.5382107999999999 52.4324566000000019, 13.5380526000000003 52.4325505999999990)","LINESTRING (13.5383260636606000 52.4324525724440988, 13.5392773831396998 52.4319009304229979)","{""class"": ""service"", ""subclass"": ""driveway""}","{""name"": ""Willi-Schwabe-Stra\u00dfe"", ""class"": ""unclassified""}"
fac271b5-681c-4a15-acfd-a6dfebaaf81e,de_berlin_299894,"LINESTRING (13.3616852000000002 52.4599217999999965, 13.3616545000000002 52.4599230999999975, 13.3615706000000003 52.4599265000000017, 13.3615230000000000 52.4599255999999983, 13.3614759000000003 52.4599176999999983, 13.3614344999999997 52.4599037999999993, 13.3614007000000008 52.4598849999999999, 13.3613789000000001 52.4598654999999994, 13.3613564000000000 52.4598366999999968, 13.3613487000000006 52.4598107999999996, 13.3613510000000009 52.4597826999999981, 13.3613678999999994 52.4597490000000022, 13.3613874999999993 52.4597277000000020, 13.3614213999999993 52.4597095999999965, 13.3614528999999997 52.4597042999999985, 13.3614870999999997 52.4597006999999991, 13.3616253999999994 52.4597274999999996, 13.3620783000000003 52.4598153999999965, 13.3622896999999998 52.4598792000000032)","LINESTRING (13.3616951245510993 52.4598329877763021, 13.3621250133304006 52.4598742290820965, 13.3623779375918996 52.4598801109980002, 13.3637353485800006 52.4598227751475008, 13.3644336916953996 52.4597896144657980)","{""name"": ""Eythstra\u00dfe"", ""class"": ""residential""}","{""name"": ""Eythstra\u00dfe"", ""class"": ""unclassified""}"
68d77a04-c7a3-463b-819c-fa246fa541ad,de_berlin_65980,"LINESTRING (13.6883081000000004 52.4441549000000009, 13.6882561000000003 52.4441801999999981)","LINESTRING (13.6881894539897999 52.4442260756731002, 13.6885342507519994 52.4440584819169970, 13.6885547691714002 52.4440230271513030)","{""class"": ""steps""}","{""name"": ""Luisenbr\u00fccke"", ""class"": ""unclassified""}"
b91c94cb-5d2a-43d1-a566-134e65ffaa27,de_berlin_47514,"LINESTRING (13.5147660999999992 52.5153474999999972, 13.5148718999999993 52.5158234000000022, 13.5149781000000004 52.5163064999999989, 13.5150848000000003 52.5167812999999981, 13.5152038999999995 52.5172724999999971, 13.5153102999999994 52.5177538000000013)","LINESTRING (13.5147544089457998 52.5153211810053975, 13.5150880576154009 52.5167827137155996)","{""name"": ""Rosengasse"", ""class"": ""footway""}","{""name"": ""KGA Bielefeldt"", ""class"": ""unclassified""}"
