gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
004328a8-19e6-4578-8db4-685a1ca47092,austin_sidewalk_9345,"LINESTRING (-97.6420150999999947 30.2973227999999999, -97.6420403999999991 30.2972499999999982, -97.6420643999999953 30.2971806999999984, -97.6420734000000010 30.2971730000000008, -97.6421002000000016 30.2971846000000014, -97.6423671000000013 30.2972386000000000, -97.6424882000000025 30.2972628999999998, -97.6426469999999966 30.2972709999999985, -97.6427051999999946 30.2972628999999998, -97.6427520000000015 30.2972475999999986, -97.6427893000000040 30.2972517000000003, -97.6437269999999984 30.2970417000000012, -97.6438131000000027 30.2970201000000010, -97.6438414999999935 30.2970059999999997, -97.6438787999999960 30.2970059999999997, -97.6444079999999985 30.2968949000000016, -97.6444343999999944 30.2968831999999999, -97.6444426000000050 30.2968715000000017, -97.6444486999999981 30.2968000999999987, -97.6444534000000033 30.2967246000000010, -97.6444635999999946 30.2966654999999996, -97.6445082999999983 30.2965666999999996, -97.6446918999999980 30.2962659999999993, -97.6450435999999939 30.2956669000000005, -97.6452462000000025 30.2952602999999989)","LINESTRING (-97.6444404706449944 30.2968816059273998, -97.6444352754110980 30.2968853391918991, -97.6444289947653061 30.2968882808725013, -97.6444211892283960 30.2968902304479997, -97.6443461971279021 30.2969038357579983, -97.6442686597885938 30.2969214202798014)","{""class"": ""footway""}","{""name"": ""7001 ASTRO VIEW DR"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
f265eaf6-b02c-4f26-8f6d-71c41ba0a1e5,austin_sidewalk_1607,"LINESTRING (-97.6612157999999937 30.3745288000000002, -97.6612563999999992 30.3745128000000015, -97.6615319999999940 30.3743829000000005, -97.6619259999999940 30.3741973999999999, -97.6622299999999939 30.3740465999999998, -97.6622823000000011 30.3740272000000004, -97.6627646000000027 30.3738007000000003, -97.6627758999999998 30.3737895999999985, -97.6627790999999945 30.3737649000000012, -97.6627739000000048 30.3737287000000009)","LINESTRING (-97.6616165699794010 30.3743513057957983, -97.6615286176238016 30.3743929730993010)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""1400 SCHEIDER DR"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
b32503fd-e8f7-4f79-b33b-8a615002a062,austin_sidewalk_5291,"LINESTRING (-97.7014075999999960 30.2365487000000002, -97.7013551000000007 30.2365774000000016, -97.7012452999999965 30.2366212999999995, -97.7011104999999986 30.2366546999999990, -97.7009867000000014 30.2366811999999996, -97.7009230999999971 30.2367175999999986, -97.7008414000000016 30.2367379999999990, -97.7007006999999987 30.2367920999999988, -97.7005646000000070 30.2368200999999992, -97.7005235999999968 30.2368205000000003, -97.7004670999999973 30.2368214000000002, -97.7004414000000025 30.2368306999999987, -97.7003663999999930 30.2368848999999997, -97.7003437999999989 30.2368920000000010, -97.7002822000000037 30.2368875000000017, -97.7002569999999935 30.2368911000000011, -97.7001692000000048 30.2369078999999985, -97.7000953000000010 30.2369167999999995, -97.7000546999999955 30.2369149999999998, -97.7000167000000062 30.2369008000000008, -97.6999849000000040 30.2368786000000007, -97.6999612999999982 30.2368658000000003, -97.6998990999999961 30.2368386999999998, -97.6998303000000021 30.2368160999999986, -97.6997692000000058 30.2367859000000010, -97.6996716000000021 30.2367433000000005, -97.6995971999999995 30.2367163000000012, -97.6993331999999981 30.2365721000000001, -97.6988269000000003 30.2363515999999990, -97.6987601999999953 30.2363192000000005, -97.6987467999999950 30.2363178999999995, -97.6986272000000042 30.2362642000000008, -97.6986184000000009 30.2362503999999994, -97.6982347999999945 30.2360773999999992, -97.6979503999999963 30.2359411999999992, -97.6977459999999951 30.2358453999999988, -97.6977289999999954 30.2358285000000002, -97.6976592000000039 30.2357966000000005, -97.6975144000000029 30.2357286999999992, -97.6974665999999985 30.2357113999999996, -97.6974383999999958 30.2357064999999992, -97.6973859999999945 30.2356808000000008, -97.6973500999999942 30.2356505999999996, -97.6972417000000064 30.2356014000000002, -97.6971786000000009 30.2355835999999982, -97.6971190000000007 30.2355419000000012, -97.6968782000000004 30.2354300999999985, -97.6968602000000033 30.2354306000000008, -97.6968463000000042 30.2354461000000008, -97.6966984000000025 30.2356523999999993, -97.6966948000000031 30.2356701000000001, -97.6966747999999967 30.2356866000000011, -97.6962994000000009 30.2362079000000001)","LINESTRING (-97.6988777898254028 30.2363718130701997, -97.6987390270433025 30.2363068323779984)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""6215 1/2 FELIX AVE"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
848c3981-0216-4bae-a7c6-e0aa77b660c8,austin_sidewalk_2040,"LINESTRING (-97.7216035999999946 30.2818612000000016, -97.7215901999999943 30.2818001999999993, -97.7215783999999985 30.2817463999999994)","LINESTRING (-97.7215740330069025 30.2817574587006000, -97.7215724660131002 30.2817499336807998, -97.7215511104478054 30.2816509586177993)","{""class"": ""footway"", ""subclass"": ""crosswalk""}","{""name"": ""2009 CHICON ST"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
b8d86b61-098f-4139-80f0-fe174fb086f2,austin_sidewalk_8263,"LINESTRING (-97.7890553999999952 30.2002230000000012, -97.7893468999999982 30.1997608000000000, -97.7893722999999966 30.1997301000000000, -97.7893866000000003 30.1997235000000011, -97.7894043999999951 30.1997183999999983, -97.7894617999999980 30.1997424999999993, -97.7895977999999957 30.1998061000000000, -97.7896249000000068 30.1998250000000006, -97.7896865000000020 30.1998564000000016, -97.7897109999999969 30.1998622999999995, -97.7898208999999952 30.1999148999999996, -97.7898344000000037 30.1999272999999988, -97.7898952000000037 30.1999594000000009, -97.7899331999999930 30.1999667000000009, -97.7900168999999977 30.2000060999999995, -97.7900345999999985 30.2000229000000004, -97.7900472999999977 30.2000463000000003, -97.7900481000000070 30.2000546000000014, -97.7900498000000056 30.2000717999999999, -97.7900439000000006 30.2000989000000004, -97.7899143000000066 30.2002996999999986, -97.7896857000000068 30.2006538000000013, -97.7894399000000050 30.2010363999999996, -97.7892269000000027 30.2013679000000010, -97.7891838999999976 30.2014241000000005, -97.7891288999999944 30.2014795999999990, -97.7890739999999994 30.2015284999999984, -97.7890217000000064 30.2015636000000001, -97.7889634000000001 30.2015963999999997, -97.7889083999999968 30.2016248999999988, -97.7888434000000046 30.2016540999999989, -97.7887893000000048 30.2016716000000010, -97.7887336000000005 30.2016869999999997, -97.7886491000000007 30.2017023000000009, -97.7885840000000002 30.2017118000000018, -97.7885299999999944 30.2017154999999988, -97.7884657000000033 30.2017154999999988, -97.7883862999999991 30.2017074000000001, -97.7883001999999948 30.2016928000000000, -97.7882249999999971 30.2016723999999996, -97.7881430000000051 30.2016388000000013, -97.7880568000000068 30.2015986000000005, -97.7875025999999963 30.2013350000000003, -97.7874501999999950 30.2013080000000009, -97.7874343999999951 30.2012944999999995, -97.7874287000000066 30.2012746999999990, -97.7874302000000029 30.2012512999999991, -97.7874342000000070 30.2012378000000012, -97.7874376000000041 30.2012262000000007, -97.7874577999999985 30.2011927000000000, -97.7877560999999957 30.2007122000000017, -97.7877691000000056 30.2007143000000013, -97.7878211000000022 30.2007224000000001, -97.7878591000000057 30.2007377999999989, -97.7882046999999943 30.2009028000000015, -97.7883711000000062 30.2009751000000009, -97.7884142000000054 30.2009830999999984, -97.7884733000000068 30.2009830999999984, -97.7885325000000023 30.2009706999999992, -97.7885773000000000 30.2009509999999999, -97.7886203999999992 30.2009180999999991, -97.7886481999999972 30.2008933000000006, -97.7886727000000064 30.2008530999999998, -97.7890232999999967 30.2002988999999999, -97.7890275999999972 30.2002711999999995)","LINESTRING (-97.7896821510268950 30.1998515327727013, -97.7898393265427046 30.1999269261002006)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""814 KING EDWARD PL"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
e7053e83-f644-46ff-8179-bfd4ccbee21d,austin_sidewalk_10436,"LINESTRING (-97.6853763999999956 30.3118811999999984, -97.6854558999999938 30.3118565000000011, -97.6855216999999953 30.3118361000000007, -97.6855414999999994 30.3118307000000016)","LINESTRING (-97.6853927567614022 30.3118821127670017, -97.6851944530213956 30.3119252735674998)","{""class"": ""footway""}","{""name"": ""6104 NORTH HAMPTON DR"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
4ca01f95-8d0b-4455-a534-31f369c73f0b,austin_sidewalk_10680,"LINESTRING (-97.6794390999999962 30.3139088000000001, -97.6795902000000069 30.3139797999999985, -97.6796420000000012 30.3140190999999994, -97.6796903999999984 30.3140430999999992, -97.6803502000000066 30.3143701000000014, -97.6804481000000067 30.3144185999999998, -97.6809096000000068 30.3146571000000016, -97.6809322999999949 30.3146471999999996, -97.6811639000000014 30.3142986999999984, -97.6812206000000032 30.3142133999999999)","LINESTRING (-97.6811868544424016 30.3142687477268993, -97.6811291289211994 30.3143547769530990)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""6414 1/2 NORTH HAMPTON DR"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
af253524-5670-4847-9698-07091f6d4ba8,austin_sidewalk_1235,"LINESTRING (-97.7928009000000031 30.2129198999999993, -97.7927573000000052 30.2128985999999990, -97.7926989000000049 30.2128681999999991, -97.7921795000000031 30.2126196000000000, -97.7920472999999930 30.2125629999999994, -97.7918066999999951 30.2124646000000006, -97.7914899000000020 30.2123136000000017, -97.7908570000000026 30.2120117000000015, -97.7906403000000068 30.2119129000000015, -97.7904383999999993 30.2118317000000012, -97.7899445000000043 30.2116460999999994, -97.7894892000000056 30.2114702999999984, -97.7894165000000015 30.2114443000000001, -97.7893507999999940 30.2114207999999991)","LINESTRING (-97.7928035249176020 30.2129188091461991, -97.7927037279690978 30.2128722659955997)","{""class"": ""footway""}","{""name"": ""1601 1/2 W STASSNEY LN"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
d9d27893-0a5b-4fa6-b426-eeeb335e50b4,austin_sidewalk_6465,"LINESTRING (-97.7787232000000017 30.2072022000000011, -97.7787342000000024 30.2072071000000015, -97.7787504000000069 30.2072061000000005, -97.7787734000000057 30.2072104999999986, -97.7791117999999955 30.2073861000000008, -97.7793233000000015 30.2074894000000000, -97.7795512000000002 30.2076031000000000, -97.7797252999999955 30.2076987000000017, -97.7797853000000003 30.2077294999999992, -97.7802072000000067 30.2079458999999986, -97.7802607999999935 30.2079731000000002, -97.7806656000000061 30.2081784000000013, -97.7807641999999930 30.2082444999999993, -97.7809076000000061 30.2083241999999998, -97.7809587999999934 30.2083514000000015, -97.7813009999999991 30.2085201000000012, -97.7813141000000030 30.2085292000000010, -97.7813218000000006 30.2085366999999998, -97.7813239000000038 30.2085590999999987, -97.7813203000000044 30.2085715000000015, -97.7809883000000042 30.2089843999999985, -97.7808926000000014 30.2091034000000001, -97.7807195999999976 30.2093316999999999, -97.7806151000000057 30.2094659999999990, -97.7805594999999954 30.2095346000000013, -97.7802965999999998 30.2098498000000006)","LINESTRING (-97.7802023008972014 30.2079413428320009, -97.7803335206157982 30.2080064002709001)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""511 1/2 W STASSNEY LN"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
d9d27893-0a5b-4fa6-b426-eeeb335e50b4,austin_sidewalk_2944,"LINESTRING (-97.7787232000000017 30.2072022000000011, -97.7787342000000024 30.2072071000000015, -97.7787504000000069 30.2072061000000005, -97.7787734000000057 30.2072104999999986, -97.7791117999999955 30.2073861000000008, -97.7793233000000015 30.2074894000000000, -97.7795512000000002 30.2076031000000000, -97.7797252999999955 30.2076987000000017, -97.7797853000000003 30.2077294999999992, -97.7802072000000067 30.2079458999999986, -97.7802607999999935 30.2079731000000002, -97.7806656000000061 30.2081784000000013, -97.7807641999999930 30.2082444999999993, -97.7809076000000061 30.2083241999999998, -97.7809587999999934 30.2083514000000015, -97.7813009999999991 30.2085201000000012, -97.7813141000000030 30.2085292000000010, -97.7813218000000006 30.2085366999999998, -97.7813239000000038 30.2085590999999987, -97.7813203000000044 30.2085715000000015, -97.7809883000000042 30.2089843999999985, -97.7808926000000014 30.2091034000000001, -97.7807195999999976 30.2093316999999999, -97.7806151000000057 30.2094659999999990, -97.7805594999999954 30.2095346000000013, -97.7802965999999998 30.2098498000000006)","LINESTRING (-97.7797420974125941 30.2077031604605004, -97.7798329036696003 30.2077489679743998)","{""class"": ""footway"", ""subclass"": ""sidewalk""}","{""name"": ""511 1/2 W STASSNEY LN"", ""class"": ""footway"", ""subclass"": ""sidewalk""}"
