gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
1fe424ca-72bf-43ce-be61-dec8adb749be,boston_sidewalk_72814,"LINESTRING (-71.0684571000000034 42.3579784000000004, -71.0684617999999944 42.3579453999999984, -71.0682383000000044 42.3574241999999970)","LINESTRING (-71.0684441450002709 42.3577331932427867, -71.0684441692972229 42.3577335462478359, -71.0684445692005653 42.3577350683389398, -71.0684447696856694 42.3577355732538905, -71.0685367045193317 42.3579478627619892, -71.0685375602096059 42.3579494774920136, -71.0685386823754186 42.3579509986912512, -71.0685400541764807 42.3579524037892980, -71.0685416551433917 42.3579536684014428, -71.0685434574867259 42.3579547735174131, -71.0685454334109892 42.3579557010270378, -71.0685475526684911 42.3579564364122518, -71.0685497789237957 42.3579569678329406, -71.0685520782508036 42.3579572861588645, -71.0685544130511886 42.3579573867475503, -71.0685567457020539 42.3579572685576125, -71.0685572510459451 42.3579572137351121)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
410eb133-8acf-4c16-ac77-e06c025f017b,boston_sidewalk_102253,"LINESTRING (-71.0664363000000066 42.3610642000000013, -71.0664316000000014 42.3608600999999965, -71.0664311999999967 42.3608406000000031, -71.0664309000000003 42.3608236999999974, -71.0664179000000047 42.3603790000000018, -71.0664208999999971 42.3603627000000031)","LINESTRING (-71.0663050368116842 42.3595403864452322, -71.0663051170701436 42.3596257099458882, -71.0663053459003748 42.3598669561487142, -71.0663144285374955 42.3602444343015421, -71.0663149284961975 42.3602883721398200, -71.0663161096774303 42.3603923042701354, -71.0663183238014824 42.3605870876518509, -71.0663208096334955 42.3609368389480707, -71.0663229661397224 42.3610401643443595, -71.0663228584390367 42.3610420626495383, -71.0663224558968949 42.3610439400365664, -71.0663217635539581 42.3610457695157621, -71.0663207924957590 42.3610475277213538, -71.0663207251018321 42.3610476192967766)","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 0.290809015], ""value"": ""sidewalk""}, {""between"": [0.290809015, 0.342762103], ""value"": ""crosswalk""}, {""between"": [0.342762103, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
2f298f0d-e95a-4c05-89a3-f0ba2c7cc9f7,boston_sidewalk_102723,"LINESTRING (-71.0686848999999938 42.3610247000000015, -71.0685768999999965 42.3610273999999976)","LINESTRING (-71.0685075327249507 42.3610295343748291, -71.0685668163202990 42.3610282667972911, -71.0686450727528580 42.3610265931959091, -71.0686504573179576 42.3610264774471688, -71.0686534071287639 42.3610263048513218, -71.0686563195804553 42.3610259142451469, -71.0686591642947150 42.3610253100161884, -71.0686619133090147 42.3610244983616582, -71.0686645398622261 42.3610234872837310, -71.0686670171811272 42.3610222865851966, -71.0686693196878139 42.3610209087742291, -71.0686714254401295 42.3610193672728883, -71.0686733136974595 42.3610176773083111, -71.0686749649207599 42.3610158559127754, -71.0686763619865189 42.3610139219280839, -71.0686766643252952 42.3610133774863442)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
707ea39b-0db1-48ae-8e9d-af82e3ee1c61,boston_sidewalk_12897,"LINESTRING (-71.0610855000000043 42.3612828999999991, -71.0610491999999994 42.3613076000000035, -71.0610092000000009 42.3613348000000016, -71.0609560999999985 42.3613683000000023, -71.0609312999999929 42.3613840000000010, -71.0605194999999981 42.3615811000000022)","LINESTRING (-71.0609731557928654 42.3613429272448698, -71.0609692999330207 42.3613452586820003, -71.0609295591762020 42.3613685397238200, -71.0608893360155065 42.3613913597621945, -71.0608735005305618 42.3614000573235856, -71.0608486389860587 42.3614137134274316, -71.0608074790570896 42.3614355944589249, -71.0605521221504972 42.3615624989521109)","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 0.148777545], ""value"": ""crosswalk""}, {""between"": [0.148777545, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
0f13a367-aadd-4e71-a5ca-a47769c3f6fb,boston_sidewalk_1295,"LINESTRING (-71.0610123999999956 42.3654206000000002, -71.0610582000000051 42.3653928000000022, -71.0611021999999934 42.3653662999999980, -71.0611437999999964 42.3653434000000004)","LINESTRING (-71.0611148570293665 42.3653110725565512, -71.0610559632198857 42.3653467126399192, -71.0609970071622854 42.3653823911680121, -71.0609630103903243 42.3654029644563508)","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 0.690682151], ""value"": ""crosswalk""}, {""between"": [0.690682151, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""crosswalk""}"
a9bdfa12-1d91-4e6c-9bbb-4e18847329df,boston_sidewalk_12330,"LINESTRING (-71.0554434000000015 42.3579825999999997, -71.0555051000000049 42.3579682000000020, -71.0563786000000022 42.3577585000000028, -71.0564530999999988 42.3577421999999970)","LINESTRING (-71.0563752392534980 42.3577347563165603, -71.0561617133914041 42.3577855362373654, -71.0558000260000000 42.3578734828938366, -71.0555101486321519 42.3579486985746740, -71.0554928004531092 42.3579529511199837)","{""name"": ""Hawes Street"", ""class"": ""service"", ""subclass"": ""alley"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Hawes Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""alley""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
6191ec57-07d1-4636-81d5-792adbe02967,boston_sidewalk_103004,"LINESTRING (-71.0567219999999935 42.3653643000000031, -71.0567250999999942 42.3653995000000023, -71.0566204999999940 42.3654816000000025)","LINESTRING (-71.0565460837395904 42.3655305028251092, -71.0565676130687081 42.3655133641915498, -71.0567038988687329 42.3654048743794291, -71.0567101391937967 42.3653994624822303, -71.0567135724161147 42.3653958259403893, -71.0567162322700199 42.3653918488093737, -71.0567180562117500 42.3653876208770512, -71.0567190059392715 42.3653832374266131, -71.0567190564727866 42.3653787982938326, -71.0567182183287684 42.3653731493482155, -71.0567171058664968 42.3653631626508158)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
9e6722e8-5308-47fa-aa55-0076f328a3f0,boston_sidewalk_102307,"LINESTRING (-71.0663878999999952 42.3647652000000008, -71.0664557000000059 42.3647786000000011, -71.0664218999999946 42.3648819000000003, -71.0664816000000030 42.3648935000000009, -71.0664603999999969 42.3649574000000015)","LINESTRING (-71.0664790175949435 42.3648926951180655, -71.0664158663921484 42.3648792282264495, -71.0664472719270890 42.3647760735510914, -71.0663800776021475 42.3647625202757752)","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
c69d1947-708d-40cb-894c-6618712ca926,boston_sidewalk_1884,"LINESTRING (-71.0647651999999965 42.3511931999999973, -71.0647718999999967 42.3511701999999985, -71.0647964999999999 42.3510854000000023, -71.0648079000000052 42.3510258000000022, -71.0648115999999987 42.3510056000000006, -71.0648158999999993 42.3509823999999995)","LINESTRING (-71.0648818199106671 42.3509376277866210, -71.0648597947458995 42.3509846738269289, -71.0647722468273315 42.3511716806517811, -71.0647673785962013 42.3511820786036708)","{""class"": ""footway"", ""subclass"": ""crosswalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""crosswalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""crosswalk""}"
fc6d3475-ca3e-4160-a377-f209a43686ce,boston_sidewalk_12701,"LINESTRING (-71.0636667999999929 42.3574740000000034, -71.0636379000000034 42.3574247000000028)","LINESTRING (-71.0636149572918328 42.3573843682671765, -71.0636336628054437 42.3574199251033363, -71.0636663935996467 42.3574820117992630)","{""class"": ""steps"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
