gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
bb02a84e-afce-47f0-b164-6a5f7fd44487,us_boston_streets_7215,"LINESTRING (-71.0752018000000021 42.3506692999999999, -71.0751197999999960 42.3506926000000021, -71.0742843000000022 42.3509162000000003, -71.0737304999999964 42.3510643999999985, -71.0731969999999933 42.3512130000000013, -71.0731628999999998 42.3512224999999987, -71.0730623999999978 42.3512496999999968)","LINESTRING (-71.0730679520420949 42.3512519424965035, -71.0740183720021008 42.3510123857881027, -71.0752126789389962 42.3506853867334030)","{""name"": ""Boylston Street"", ""class"": ""primary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Boylston Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""BOYLSTON STREET"", ""class"": ""tertiary""}"
81a82e27-344f-421f-904a-d0ee0d3b197c,us_boston_streets_3595,"LINESTRING (-71.0575886999999966 42.3534110000000013, -71.0574813000000063 42.3533721000000014, -71.0573909999999955 42.3533456999999984, -71.0572350000000057 42.3533084000000031, -71.0570342000000039 42.3532743000000025, -71.0569380999999964 42.3532506999999967, -71.0568688999999978 42.3532314999999997)","LINESTRING (-71.0569831325039019 42.3532456950805027, -71.0574778810541972 42.3533485110200019, -71.0576247996163062 42.3533938342973997)","{""name"": ""Summer Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Summer Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""SUMMER STREET"", ""class"": ""tertiary""}"
1a111ac3-5d1c-4dd7-9df4-78e1d6eb78d4,us_boston_streets_9306,"LINESTRING (-71.0528249000000045 42.3635345000000001, -71.0528297999999978 42.3635719999999978, -71.0530935000000028 42.3638981000000001)","LINESTRING (-71.0527558907259049 42.3634862779157970, -71.0531160413680993 42.3639179408308024)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""SUN COURT"", ""class"": ""residential""}"
ae5b7a29-b28e-40d2-a5f8-26c02d9b988b,us_boston_streets_2672,"LINESTRING (-71.0516362000000044 42.3571584999999970, -71.0515927000000005 42.3570226000000005, -71.0515855999999957 42.3569829999999996, -71.0515520000000009 42.3568487000000005, -71.0515450999999985 42.3568095999999983, -71.0515381999999960 42.3567704000000020, -71.0515240000000006 42.3566835000000026)","LINESTRING (-71.0516035444667011 42.3571667085692027, -71.0515329748969009 42.3569334370682995, -71.0514922258159061 42.3566875832007028)","{""name"": ""John F. Fitzgerald Surface Road"", ""class"": ""primary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""John F. Fitzgerald Surface Road""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""PURCHASE STREET"", ""class"": ""tertiary""}"
47229b83-55ba-4329-bb44-c4ba1967c6ab,us_boston_streets_7933,"LINESTRING (-71.0711067000000014 42.3583145999999999, -71.0711124999999981 42.3583957999999967, -71.0711191000000042 42.3584825000000009, -71.0711251999999973 42.3587425999999994, -71.0711232999999964 42.3587811000000016)","LINESTRING (-71.0710964507807006 42.3583384441957023, -71.0711294817115942 42.3587878535465023)","{""name"": ""River Street"", ""class"": ""service"", ""subclass"": ""alley"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""River Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""alley""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""PUBLIC ALLEY NO 301"", ""class"": ""residential""}"
7d81b7ff-1ea4-4671-aee0-904a784dad60,us_boston_streets_10742,"LINESTRING (-71.0716294000000062 42.3566907000000015, -71.0703625999999957 42.3569601000000020)","LINESTRING (-71.0716772012358007 42.3566406390610979, -71.0703498404834022 42.3569229695040974)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""CHESTNUT STREET"", ""class"": ""residential""}"
cdbc9a68-3298-494b-b5fc-88c1dfa08caa,us_boston_streets_4978,"LINESTRING (-71.0686309999999963 42.3623990000000035, -71.0688684999999936 42.3624158000000008, -71.0689402999999942 42.3624183000000016, -71.0690381000000002 42.3624268000000015, -71.0692025000000029 42.3624263999999968, -71.0693954999999988 42.3624217999999999, -71.0696633000000020 42.3624282999999977, -71.0699106000000000 42.3624337999999980, -71.0704944000000012 42.3624889999999965, -71.0705339000000009 42.3624940999999993, -71.0705671000000052 42.3624992000000020, -71.0706974999999943 42.3625223000000020)","LINESTRING (-71.0706936916471932 42.3625248723455030, -71.0702461153797032 42.3624596142913035, -71.0698610108397020 42.3624396026151970, -71.0695530667342013 42.3624249497836018, -71.0687993252919057 42.3624176231310017)","{""name"": ""Fruit Street"", ""class"": ""unclassified"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Fruit Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""FRUIT STREET"", ""class"": ""residential""}"
81e4a02d-6660-41de-9e62-4bd2b8787caf,us_boston_streets_8216,"LINESTRING (-71.0616550000000018 42.3650933999999992, -71.0616073999999998 42.3651187999999976, -71.0611621000000042 42.3653596999999991)","LINESTRING (-71.0617768486540058 42.3651181881368970, -71.0612505507795049 42.3653950481280006, -71.0611208029764043 42.3654633019085978)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""CAUSEWAY STREET"", ""class"": ""tertiary""}"
dd5873d0-1256-4252-9ea5-d4bbfc4f4f80,us_boston_streets_2273,"LINESTRING (-71.0614343000000019 42.3633987999999988, -71.0611779999999982 42.3633330999999984, -71.0611234999999937 42.3633207000000027, -71.0610666999999978 42.3633091000000022, -71.0610128999999944 42.3632994000000025, -71.0609666000000004 42.3632929999999988, -71.0609179000000069 42.3632889000000006, -71.0608849000000049 42.3632873000000032, -71.0608509999999995 42.3632875999999996, -71.0608182999999940 42.3632915999999966, -71.0607902999999936 42.3632974000000004)","LINESTRING (-71.0607218055368008 42.3633252558857976, -71.0613141737215983 42.3634782558930993)","{""name"": ""Merrimac Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Merrimac Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""MERRIMAC STREET"", ""class"": ""tertiary""}"
411bd3a0-d08f-4f33-8d79-dd3ac2a1fa0f,us_boston_streets_9469,"LINESTRING (-71.0686057000000062 42.3592812999999992, -71.0686077999999952 42.3593246000000008, -71.0686144000000013 42.3594927999999982, -71.0686163000000022 42.3595275999999998)","LINESTRING (-71.0686048024387986 42.3591262561900024, -71.0686132683615028 42.3592481584161007, -71.0686283604914024 42.3593080050898010)","{""name"": ""Grove Street"", ""class"": ""residential"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Grove Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""GROVE SQUARE"", ""class"": ""residential""}"
3d25ab3a-09b2-4d56-8e41-e88f3ffc02f3,us_boston_streets_9069,"LINESTRING (-71.0613556999999929 42.3525956000000008, -71.0613457999999980 42.3525611999999967, -71.0613333999999952 42.3525624999999977, -71.0611767999999984 42.3525788999999975, -71.0611655999999954 42.3525970000000029)","LINESTRING (-71.0614259146506981 42.3524923577443033, -71.0612187864232965 42.3525102495581010, -71.0611423704653049 42.3525168496904030)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""ESSEX STREET"", ""class"": ""tertiary""}"
4d059def-e85a-4d9f-b6d8-68f7d2797ab7,us_boston_streets_590,"LINESTRING (-71.0582864999999941 42.3645259999999979, -71.0582969000000020 42.3645728999999989, -71.0583101999999940 42.3646177999999978, -71.0583299000000039 42.3646589000000020, -71.0583493000000033 42.3647003000000026, -71.0583794000000069 42.3647542000000001)","LINESTRING (-71.0581925998360049 42.3643834523200979, -71.0581943009721044 42.3643854908082034, -71.0582909094766961 42.3645297794560989)","{""name"": ""North Washington Street"", ""class"": ""primary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""North Washington Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""NORTH WASHINGTON STREET"", ""class"": ""tertiary""}"
67a1e96d-62c4-423c-a1ba-ebed62e893a1,us_boston_streets_4644,"LINESTRING (-71.0585800000000063 42.3655730999999989, -71.0593944000000022 42.3662927999999965)","LINESTRING (-71.0583754396286054 42.3654811599568006, -71.0594377411258051 42.3664069922680966)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""MEDFORD STREET"", ""class"": ""residential""}"
