gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
48645b31-0b06-4e4a-a5aa-040f608c95e1,w863038355@4,"LINESTRING (-71.0613280000000032 42.3608687999999987, -71.0613381999999945 42.3608502000000016, -71.0613483000000059 42.3608298999999988, -71.0613574000000057 42.3608069000000000, -71.0613658999999984 42.3607811999999981, -71.0613742999999971 42.3607512999999969, -71.0613804999999985 42.3607213000000016, -71.0614335000000068 42.3604010999999971, -71.0614525000000015 42.3602861999999973, -71.0614723999999995 42.3601662000000019, -71.0614783000000045 42.3601274999999973, -71.0615183000000030 42.3598563999999982, -71.0615930000000020 42.3593501000000003, -71.0616021999999958 42.3592879999999994, -71.0616176999999993 42.3592237000000011, -71.0616418999999979 42.3591853000000000)","LINESTRING (-71.0615183000000030 42.3598563999999982, -71.0615930000000020 42.3593501000000003, -71.0616021999999958 42.3592879999999994, -71.0616176999999993 42.3592237000000011, -71.0616418999999979 42.3591853000000000)","{""name"": ""Somerset Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Somerset Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""Somerset Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Somerset Street""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
24e4ea10-851d-4381-ae97-561548831e58,w815603025@3,"LINESTRING (-71.0628727999999938 42.3593675999999988, -71.0628872999999999 42.3594002999999972, -71.0629014000000012 42.3594194000000002, -71.0629210000000029 42.3594341000000014, -71.0629476000000011 42.3594466999999995, -71.0629844000000048 42.3594561000000027, -71.0630381999999940 42.3594646000000026)","LINESTRING (-71.0629545999999976 42.3590341000000024, -71.0629421999999948 42.3593976000000012, -71.0629576000000043 42.3594127000000000, -71.0629773999999941 42.3594209999999975, -71.0630012000000022 42.3594228999999984, -71.0631106000000017 42.3594209000000035, -71.0631836000000021 42.3594154000000032, -71.0633459000000016 42.3593947999999969, -71.0635757000000012 42.3593656999999979)","{""name"": ""Derne Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Derne Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
7b76731a-25a7-4080-a9a0-a36560d20916,w426484918@6,"LINESTRING (-71.0571395000000052 42.3602380000000025, -71.0570569000000063 42.3602583999999993, -71.0569074999999941 42.3602941999999985, -71.0568796999999961 42.3603021999999996, -71.0568545999999941 42.3603108000000006, -71.0568281000000042 42.3603225000000023, -71.0568042000000020 42.3603341999999969, -71.0567721999999975 42.3603517999999966, -71.0567367000000019 42.3603767000000033)","LINESTRING (-71.0571625999999981 42.3603195000000028, -71.0571850000000040 42.3603114000000005, -71.0572070000000053 42.3602995999999976, -71.0572295999999994 42.3602861999999973, -71.0572468000000015 42.3602725000000007, -71.0572635000000048 42.3602575999999971, -71.0572777999999943 42.3602439000000004, -71.0572906000000017 42.3602293000000003)","{""name"": ""North Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""North Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""North Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""North Street""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
de0529b0-ad28-4226-a2b8-78caf2b15478,w658046393@4,"LINESTRING (-71.0714466000000016 42.3614409999999992, -71.0712709999999959 42.3614570000000015, -71.0712039000000004 42.3614632000000029, -71.0711596000000014 42.3614699000000030, -71.0711383000000012 42.3614694999999983, -71.0711043000000018 42.3614674000000022, -71.0708714000000015 42.3614906999999974, -71.0708170000000052 42.3614937999999981, -71.0706736000000063 42.3615010999999981, -71.0705729000000019 42.3615076999999971, -71.0705296000000004 42.3615105000000014)","LINESTRING (-71.0714466000000016 42.3614409999999992, -71.0712709999999959 42.3614570000000015, -71.0712039000000004 42.3614632000000029, -71.0711596000000014 42.3614699000000030, -71.0711383000000012 42.3614694999999983, -71.0711043000000018 42.3614674000000022)","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 0.374012772], ""value"": ""crosswalk""}, {""between"": [0.374012772, 0.628614996], ""value"": ""sidewalk""}, {""between"": [0.628614996, 0.95291721], ""value"": ""crosswalk""}, {""between"": [0.95291721, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
55565232-c955-4dae-8faf-b2521771d7c0,w8650703@24,"LINESTRING (-71.0769832000000008 42.3541476999999986, -71.0770133000000044 42.3542056000000002, -71.0770454999999970 42.3542763000000022, -71.0770576000000034 42.3543029000000004)","LINESTRING (-71.0772130000000004 42.3547513999999978, -71.0771993999999978 42.3547245999999973, -71.0770073999999994 42.3543463999999972, -71.0769922000000065 42.3543164000000019, -71.0769806999999929 42.3542935999999983, -71.0769453000000055 42.3542240000000021)","{""class"": ""footway"", ""subclass"": ""crosswalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""crosswalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""trunk_link"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
9f60b4ca-000f-4a0f-934f-f01ee3bb8a69,w236582636@3,"LINESTRING (-71.0500866999999943 42.3597165999999987, -71.0502713000000057 42.3596847999999966)","LINESTRING (-71.0500068000000056 42.3597293999999991, -71.0498843999999963 42.3597492999999972, -71.0498204999999956 42.3597599000000002)","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
c19abe7b-e4c6-4987-a0e7-973d5827a4fb,w817936120@2,"LINESTRING (-71.0521200000000022 42.3636759999999981, -71.0520771999999994 42.3636362000000020, -71.0519101999999947 42.3634811000000013)","LINESTRING (-71.0519867999999946 42.3634836000000021, -71.0519462999999973 42.3634498999999991, -71.0518887000000063 42.3634020000000007)","{""name"": ""Lewis Street"", ""class"": ""residential"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Lewis Street""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
71392e41-09ca-44b5-bd85-908b7b19551d,w8644437@22,"LINESTRING (-71.0708115999999990 42.3587526999999966, -71.0708110000000062 42.3587457000000001, -71.0708029999999980 42.3586420999999973, -71.0707948999999957 42.3584989000000007, -71.0706937000000067 42.3583136000000025, -71.0704733999999974 42.3579111999999967, -71.0704190999999952 42.3578110999999993)","LINESTRING (-71.0707613999999950 42.3594724000000014, -71.0707593000000060 42.3594362999999987, -71.0707244000000031 42.3588701999999984, -71.0707244999999972 42.3588360999999978, -71.0707215999999988 42.3587884000000017, -71.0707160999999985 42.3587549000000010, -71.0706940000000031 42.3585015999999968, -71.0703414000000038 42.3578626999999983, -71.0703237000000030 42.3578392000000008, -71.0702840999999950 42.3577809000000016)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""Charles Street"", ""class"": ""primary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Charles Street""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
d49d4707-2939-4812-a5fa-bc976f2ffbbd,w95035768@3,"LINESTRING (-71.0671616999999998 42.3675290999999987, -71.0671471999999937 42.3675102999999993)","LINESTRING (-71.0672383999999937 42.3676287999999985, -71.0672213999999940 42.3676067999999972)","{""class"": ""steps"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
40449882-7fc1-46c3-9d89-839e5b2a38de,w8690433@9,"LINESTRING (-71.0520705999999933 42.3627140999999980, -71.0520472999999981 42.3627455000000026, -71.0519632999999970 42.3628489000000030, -71.0516937999999953 42.3631894000000031, -71.0516568999999976 42.3631979000000030)","LINESTRING (-71.0526092000000062 42.3620171000000028, -71.0525430000000000 42.3620925000000028, -71.0520158000000066 42.3626926999999966, -71.0519288999999930 42.3627916000000013, -71.0518979000000002 42.3628269000000017, -71.0517052000000007 42.3630465000000029, -71.0515965000000023 42.3631737999999984, -71.0515675999999985 42.3632077999999979)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""Commercial Street"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Commercial Street""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}"
