gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
0c1134e8-d8a1-4dc4-94b9-a1271adb36a8,fc_sidewalk_30281,"LINESTRING (-105.0198565000000031 40.5160107999999966, -105.0199597000000011 40.5160117000000000, -105.0200008999999994 40.5160120999999975, -105.0201064999999971 40.5160120999999975, -105.0201354000000009 40.5160117000000000, -105.0202376999999956 40.5160085999999993)","LINESTRING (-105.0196451389840036 40.5160169518088011, -105.0198300333930064 40.5160195847707030, -105.0198854879729993 40.5160099039296000)","{""class"": ""footway"", ""subclass"": ""crosswalk"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""crosswalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
c993bbc6-ab07-46cd-a154-d48f6fd2f0b7,fc_sidewalk_8889,"LINESTRING (-105.1136218999999983 40.5891777000000005, -105.1135084999999947 40.5891850000000005, -105.1134006999999997 40.5891851000000017, -105.1133382000000012 40.5891864999999967, -105.1132417000000032 40.5891853999999981, -105.1131426999999974 40.5891848999999993, -105.1130366999999950 40.5891848999999993, -105.1117505999999935 40.5891699000000017, -105.1115865999999954 40.5891724999999965, -105.1114254999999957 40.5891705000000016, -105.1112791999999985 40.5891704000000004, -105.1107537000000036 40.5891597000000033, -105.1102669999999932 40.5891542999999970, -105.1101972000000018 40.5891535000000019, -105.1100174999999979 40.5891532999999995, -105.1095925999999992 40.5891497000000001, -105.1093948999999981 40.5891495999999989)","LINESTRING (-105.1101264416460026 40.5891362669265021, -105.1100211149639989 40.5891370089237000)","{""class"": ""cycleway"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 0.0269057, ""value"": 0}, {""start"": 0.0269057, ""end"": 0.052414426, ""value"": 1}, {""start"": 0.052414426, ""end"": 0.481536588, ""value"": 0}, {""start"": 0.481536588, ""end"": 0.519646011, ""value"": 1}, {""start"": 0.519646011, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
ac08ba1c-7686-4c95-bee5-2b229acf2d4c,fc_sidewalk_22242,"LINESTRING (-105.0247925999999978 40.5312101000000027, -105.0247808999999961 40.5312188999999989)","LINESTRING (-105.0247867394370047 40.5310759436767967, -105.0247819846359931 40.5312193683200022)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""sidewalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
36fa661e-acfa-4124-95ef-89119c36b786,fc_sidewalk_30393,"LINESTRING (-105.1337544000000008 40.5543724999999995, -105.1337563999999958 40.5543789999999973, -105.1337771000000032 40.5544452999999976, -105.1337967999999989 40.5545080999999996, -105.1337987999999939 40.5545145999999974, -105.1337987999999939 40.5545201999999989, -105.1337982999999952 40.5545930999999982, -105.1337963999999943 40.5549362000000002, -105.1337962000000061 40.5549760000000035, -105.1337960999999979 40.5549925999999985, -105.1337944999999934 40.5552678000000029, -105.1337943999999993 40.5552914000000015, -105.1337941000000029 40.5553346000000019, -105.1337926000000067 40.5556113000000025, -105.1337924999999984 40.5556300000000007, -105.1337922000000020 40.5556818000000021, -105.1337905999999975 40.5559549000000032, -105.1337903000000011 40.5560140999999987, -105.1337896999999941 40.5561111000000025, -105.1337888999999990 40.5562633999999989)","LINESTRING (-105.1337511096489976 40.5526589840565990, -105.1338477095140007 40.5527474494328999, -105.1338146924459949 40.5582741519882006)","{""class"": ""footway"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 0.003516786, ""value"": ""sidewalk""}, {""start"": 0.003516786, ""end"": 0.073567369, ""value"": ""crosswalk""}, {""start"": 0.073567369, ""end"": 1.0, ""value"": ""sidewalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
eb283afe-2e0e-4ce1-8e47-2ec5da015aaa,fc_sidewalk_5350,"LINESTRING (-105.1057818999999967 40.5470459000000005, -105.1057619000000045 40.5470583000000033, -105.1057483000000019 40.5470679000000018, -105.1057320000000033 40.5470838999999970, -105.1057165999999938 40.5471136999999970, -105.1056451000000038 40.5472463999999988, -105.1056413999999961 40.5472624000000010, -105.1056422999999995 40.5472812000000005, -105.1056465000000060 40.5473032000000018, -105.1056554000000034 40.5473230999999998, -105.1056693999999965 40.5473483000000030, -105.1056769000000060 40.5473698999999996, -105.1056791999999973 40.5473897999999977, -105.1056782999999939 40.5474061000000034, -105.1056741000000017 40.5474242000000018, -105.1056619000000012 40.5474444000000034, -105.1056422999999995 40.5474650000000025, -105.1056195000000031 40.5474809999999977, -105.1055924000000061 40.5474952000000002, -105.1055666999999971 40.5475022999999979, -105.1055405000000036 40.5475071999999983, -105.1055158000000063 40.5475069000000019, -105.1054924000000028 40.5475044000000011, -105.1054685999999947 40.5474984000000021, -105.1054457000000042 40.5474894999999975, -105.1054283999999939 40.5474809999999977, -105.1054129999999986 40.5474703000000005, -105.1053971999999987 40.5474540000000019, -105.1053821999999940 40.5474316000000030, -105.1053732999999966 40.5474114000000014, -105.1053715000000039 40.5473929999999996, -105.1053751999999974 40.5473688000000010, -105.1053821999999940 40.5473485999999994, -105.1053971999999987 40.5473280000000003, -105.1054134999999974 40.5473144999999988, -105.1054330999999991 40.5473010999999985, -105.1054522000000020 40.5472904000000014, -105.1054682000000042 40.5472779999999986, -105.1054802999999964 40.5472584999999981, -105.1055900000000065 40.5470518999999996, -105.1056262999999973 40.5469902000000033)","LINESTRING (-105.1056015005279960 40.5470073835346980, -105.1056037385280035 40.5470252620465033, -105.1055932924769962 40.5470512485850989)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""sidewalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
a40355d3-fc7f-41a9-b52b-d83e0cb2cf1e,fc_sidewalk_16697,"LINESTRING (-105.1201789999999932 40.5747379000000024, -105.1201946999999990 40.5747191000000029, -105.1202020000000061 40.5747187999999994, -105.1202214999999995 40.5747189000000006, -105.1202916999999957 40.5747191000000029, -105.1203373999999968 40.5747191999999970, -105.1203615000000013 40.5747179000000031)","LINESTRING (-105.1201979023680053 40.5747229036429005, -105.1201728179169947 40.5747380709497989, -105.1200862551509942 40.5747399945696969)","{""class"": ""footway"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 0.186092535, ""value"": ""sidewalk""}, {""start"": 0.186092535, ""end"": 1.0, ""value"": ""crosswalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
abf8d958-adf5-47ba-85a2-2c1ab9f31d66,fc_sidewalk_35463,"LINESTRING (-105.0579426000000041 40.5143417999999969, -105.0579484999999949 40.5144013999999970, -105.0579589000000027 40.5145498999999987, -105.0579340000000030 40.5146036000000009, -105.0579297999999966 40.5149954999999977, -105.0579230000000024 40.5155609999999982, -105.0579173999999938 40.5160193000000035, -105.0579256999999984 40.5164775000000006, -105.0579194000000030 40.5167381999999989, -105.0579139000000026 40.5171009999999967, -105.0579132000000016 40.5171427000000008, -105.0579091000000034 40.5175012999999993, -105.0579088000000070 40.5175423000000023, -105.0579058999999944 40.5180802000000000, -105.0579094999999938 40.5182798000000020, -105.0579963999999933 40.5184039000000027, -105.0579982000000001 40.5186009000000027, -105.0579750999999931 40.5186169999999990, -105.0579661999999956 40.5187133000000017, -105.0579661999999956 40.5187950999999984, -105.0579671999999931 40.5188433000000003, -105.0579697999999951 40.5189690999999996, -105.0579505999999981 40.5196570000000023, -105.0579191000000066 40.5197292000000004, -105.0579130999999933 40.5198020999999997, -105.0579129000000052 40.5198393000000010, -105.0579079999999976 40.5198953000000017, -105.0579074999999989 40.5200674000000021, -105.0579029999999960 40.5202620000000024, -105.0579029999999960 40.5203368999999967, -105.0579271999999946 40.5203978999999990, -105.0579256999999984 40.5207100000000011, -105.0579711000000032 40.5208068000000026, -105.0579635999999937 40.5209345999999968, -105.0579483000000067 40.5209722000000028)","LINESTRING (-105.0579335793379983 40.5209747291951032, -105.0579463757340051 40.5209593095366998, -105.0579539402459943 40.5209484728315985, -105.0579585048539997 40.5209380056585999, -105.0579591497580054 40.5208775801770997)","{""class"": ""footway"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 0.644810743, ""value"": ""sidewalk""}, {""start"": 0.644810743, ""end"": 0.671541237, ""value"": ""crosswalk""}, {""start"": 0.671541237, ""end"": 0.82305901, ""value"": ""sidewalk""}, {""start"": 0.82305901, ""end"": 0.837038208, ""value"": ""crosswalk""}, {""start"": 0.837038208, ""end"": 1.0, ""value"": ""sidewalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
fd0b6b97-1c49-48ab-9340-6f751c163f5e,fc_sidewalk_29648,"LINESTRING (-105.0958693000000039 40.5966821999999965, -105.0958672000000007 40.5965587999999968, -105.0958628000000061 40.5965445000000003, -105.0958877000000058 40.5965012999999999, -105.0959344999999985 40.5964668000000017, -105.0960103999999973 40.5964431000000019, -105.0960852999999986 40.5964389000000025, -105.0964015999999930 40.5964444000000029)","LINESTRING (-105.0958574849550047 40.5969892394965015, -105.0958493536320049 40.5969606995615990, -105.0958507791879981 40.5969301467590000, -105.0958511979030021 40.5969010196446973, -105.0958517005710036 40.5968716829916971, -105.0958533771510020 40.5968408383789026, -105.0958551370110001 40.5968138484460965, -105.0958569820050030 40.5967866489786999, -105.0958594123059981 40.5967593659914030, -105.0958622619099998 40.5967330885833988, -105.0958622621059959 40.5967075658506005, -105.0958616749520047 40.5966804921161000, -105.0958633518520031 40.5966563107363996)","{""class"": ""path"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
c801649c-2008-4de5-8156-a5d477212616,fc_sidewalk_38282,"LINESTRING (-105.1048902999999939 40.5745283999999984, -105.1049002000000030 40.5744881000000035, -105.1049016000000051 40.5742296999999965, -105.1048681000000045 40.5738824000000022, -105.1048234999999949 40.5734253999999979, -105.1047398999999984 40.5725718999999998, -105.1047322000000008 40.5724659999999986, -105.1047398999999984 40.5723467999999983, -105.1047468000000009 40.5722986999999975, -105.1047377999999952 40.5722759000000011, -105.1047140999999954 40.5722558000000006, -105.1041709999999938 40.5721508999999969, -105.1040761999999944 40.5721112000000019, -105.1039954000000023 40.5720555999999988, -105.1039298000000031 40.5719745999999972, -105.1038970999999975 40.5718924999999970, -105.1038942999999932 40.5718157000000019, -105.1039193999999952 40.5717161999999973, -105.1039444999999972 40.5716208999999992, -105.1039549000000051 40.5715392999999978, -105.1039569999999941 40.5714101000000014, -105.1039647000000059 40.5709250999999966, -105.1039681999999971 40.5705200000000019, -105.1039542000000040 40.5704897999999972, -105.1039173000000062 40.5704728999999986, -105.1032110999999958 40.5704671000000019, -105.1031734999999969 40.5704798000000011, -105.1031567999999936 40.5705056999999982, -105.1031533000000024 40.5709749000000031, -105.1031476999999938 40.5714085999999980, -105.1031449000000038 40.5715355999999971, -105.1031317000000058 40.5716029000000020, -105.1031009999999952 40.5716706999999985, -105.1030549999999977 40.5717257000000018, -105.1029943000000060 40.5717722999999992, -105.1029302000000030 40.5718073000000032, -105.1028555999999980 40.5718336999999991, -105.1027761999999939 40.5718496000000002, -105.1024491999999952 40.5719148000000018, -105.1023760000000067 40.5719194999999999, -105.1022985999999975 40.5719157999999993, -105.1022324000000054 40.5718989000000008, -105.1021697000000046 40.5718712999999980, -105.1021104000000008 40.5718342999999990, -105.1020644000000033 40.5717807999999991, -105.1020357999999959 40.5717203999999967, -105.1020254000000023 40.5716595000000027, -105.1020302999999956 40.5712734999999967, -105.1020378999999991 40.5706063000000015, -105.1020386000000002 40.5704935999999989, -105.1020268000000044 40.5704671000000019, -105.1019814999999937 40.5704601999999994, -105.1015569000000056 40.5704569999999975, -105.1014858000000061 40.5704437999999996, -105.1013841000000042 40.5704400999999990, -105.1013137000000057 40.5704591000000008, -105.1012439000000001 40.5704549000000014, -105.1010097000000059 40.5704549000000014, -105.1009681999999970 40.5704702000000026, -105.1009573999999986 40.5705051999999995, -105.1009547000000026 40.5708404000000016, -105.1009456000000029 40.5717347000000004, -105.1009449000000018 40.5722515000000001, -105.1009470000000050 40.5723298999999997, -105.1009387999999944 40.5723703000000029, -105.1009308999999945 40.5724087999999981, -105.1008905000000055 40.5728287000000023, -105.1008874999999989 40.5728635999999980, -105.1008841999999959 40.5729017999999968, -105.1008731000000012 40.5730155999999980, -105.1008685000000042 40.5730392999999978, -105.1008640000000014 40.5730622000000025, -105.1008515000000045 40.5731861000000009, -105.1008326999999980 40.5733820000000023, -105.1008312999999958 40.5735546000000014, -105.1008286999999939 40.5736455999999990, -105.1008264000000025 40.5737309000000010, -105.1008259000000038 40.5737761999999975, -105.1008242999999993 40.5739200000000011, -105.1008304000000066 40.5740285999999983, -105.1008348000000012 40.5741062999999968, -105.1008355000000023 40.5741666999999993, -105.1008360999999951 40.5742228000000011, -105.1008348000000012 40.5744399000000016, -105.1008764999999983 40.5744812000000010)","LINESTRING (-105.1008239740800008 40.5742792366740019, -105.1008285947719969 40.5744640104431014)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""sidewalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
23f08b2a-819f-4d45-829b-3a744a59dd44,fc_sidewalk_6320,"LINESTRING (-105.0984743000000066 40.5671301000000000, -105.0984449000000041 40.5671114000000017, -105.0981831999999940 40.5671055999999979, -105.0977685000000008 40.5671024999999972, -105.0977005999999960 40.5671024999999972, -105.0976261999999934 40.5671010000000010, -105.0974920999999966 40.5671133000000026, -105.0974310999999943 40.5671117999999993, -105.0972517000000011 40.5671029000000019, -105.0971815000000049 40.5671066000000025, -105.0970580000000041 40.5671025999999983, -105.0969833999999992 40.5671043999999981, -105.0965230000000048 40.5670981999999967, -105.0964112000000057 40.5671091000000033, -105.0962597000000045 40.5671012999999974, -105.0961754000000070 40.5670913000000013, -105.0961743000000013 40.5670550000000034, -105.0962068999999985 40.5669955999999985, -105.0962301999999937 40.5669515000000018, -105.0962485000000015 40.5668835999999970, -105.0962516000000022 40.5668018000000004, -105.0962516000000022 40.5664982999999992, -105.0962252000000063 40.5664226999999968, -105.0962181000000015 40.5663679000000030, -105.0962169999999958 40.5662644000000014, -105.0961855999999983 40.5662110999999967, -105.0961642000000040 40.5661810000000003, -105.0961621999999949 40.5657550000000029, -105.0961654999999979 40.5649197999999984, -105.0961712999999946 40.5648941999999977, -105.0962351999999953 40.5646885000000026, -105.0962346000000025 40.5646671000000012, -105.0962169999999958 40.5645990000000012, -105.0961733000000038 40.5644129000000007, -105.0961865000000017 40.5637836000000007, -105.0961719999999957 40.5637526000000008)","LINESTRING (-105.0962090186170030 40.5637165866258016, -105.0961772683360067 40.5638537236383030)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""sidewalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""class"": ""footway"", ""subclass"": ""sidewalk""}"
