gers_id,target_id,label,confidence,reasoning,labeler,dataset
06b0d8f9-613b-4cc5-a1be-d44b513d1c69,fc_sidewalk_26456_8826aa532b,match,0.85,Blue segment is a short subsegment that lies directly on the longer red line with same heading and both are footway class,claude_opus_geometry_only,us_fort_collins_sidewalks
06ef3d4d-f1d7-4730-a392-80a1e06c17b9,fc_sidewalk_12955_8826852495,match,0.85,Red segment overlaps and follows the same path as a portion of the blue segment - both are footways with same alignment despite length difference,claude_opus_geometry_only,us_fort_collins_sidewalks
08a4b846-cbbd-4276-8993-2c5433a09f42,fc_sidewalk_26466_8826aa5307,no_match,0.85,Blue and red segments diverge at significant angle (~35 degrees) suggesting different physical paths rather than same feature with offset,claude_opus_geometry_only,us_fort_collins_sidewalks
0c1134e8-d8a1-4dc4-94b9-a1271adb36a8,fc_sidewalk_30281_8826aa515b,match,0.85,Both footway segments follow same horizontal path with slight angular offset and overlap in middle section,claude_opus_geometry_only,us_fort_collins_sidewalks
21b90383-779b-4cce-bcc2-93e39ad72549,fc_sidewalk_36732_8826aa5029,match,0.85,Blue segment is a short subsection that lies directly on the longer red segment path with both being footway class,claude_opus_geometry_only,us_fort_collins_sidewalks
236cf9c1-56c3-42e2-9589-d5d951c44066,fc_sidewalk_28621_8826aa516b,match,0.85,Blue segment overlaps western portion of red L-shaped footway along same path with minimal offset,claude_opus_geometry_only,us_fort_collins_sidewalks
23f08b2a-819f-4d45-829b-3a744a59dd44,fc_sidewalk_6320_88268524d5,match,0.75,Short red segment overlaps bottom portion of long blue footway - same path with subsegment relationship,claude_opus_geometry_only,us_fort_collins_sidewalks
36fa661e-acfa-4124-95ef-89119c36b786,fc_sidewalk_30393_88268524a9,match,0.95,Blue segment overlaps directly on red segment path - same footway with blue being shorter subsegment of longer red line,claude_opus_geometry_only,us_fort_collins_sidewalks
515c4897-7cc3-47d3-95ff-6e8cee2fbc5e,fc_sidewalk_35963_8826aa513b,no_match,0.85,Segments share endpoint but diverge in different directions forming an L-shape rather than overlapping same path,claude_opus_geometry_only,us_fort_collins_sidewalks
6ba6f89e-d462-494e-a783-6b165d43befb,fc_sidewalk_7444_88268524c5,no_match,0.9,Red segment runs perpendicular/angled to the main blue segment path - they intersect but go different directions,claude_opus_geometry_only,us_fort_collins_sidewalks
7780f492-af37-4019-aed7-bb666081622e,fc_sidewalk_17146_88268526b1,no_match,0.85,Red segment is parallel but offset to the side of blue segment - appears to be adjacent sidewalk rather than same physical feature,claude_opus_geometry_only,us_fort_collins_sidewalks
836e24c5-9ff7-48cd-b540-f7f6aa69b8f5,fc_sidewalk_9724_8826852493,match,0.85,Red segment overlaps portion of L-shaped blue footway along horizontal section with minimal offset,claude_opus_geometry_only,us_fort_collins_sidewalks
