gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,ref_data_version,target_data_version,feature_version,hausdorff_distance_m,mean_hausdorff_distance_m,hausdorff_p95_m,buffer_iou_5m,buffer_iou_15m,heading_delta,length_ratio,centroid_distance_m,collinear_gap_ratio,name_levenshtein,name_jaro_winkler,name_token_sort,name_soundex,name_metaphone,has_name_ref,has_name_target,name_is_generic,class_similarity,min_endpoint_proximity_m,max_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_iqr_m,lateral_offset_p95_m,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,ref_coverage,target_coverage,min_coverage,coverage_ratio,graphlet_similarity,endpoint_degree_similarity,sinuosity_ref,sinuosity_target,sinuosity_delta,heading_consistency_ref,heading_consistency_target,heading_consistency_delta,vertex_density_ref,vertex_density_target,vertex_density_ratio,min_length_m,shape_complexity_ref,shape_complexity_target,shape_complexity_delta,name_numeric_match
f82d1965-76ca-4e7e-bb37-91285ba4941a,phila_sidewalk_635817,no_match,brad,2026-01-29T04:41:50.183503+00:00,6e463045,review,0.7499926686,0.09306845888,0.934335864,0,1,True,1769657296717076900_48762635,1769657245894855383_31794689,2026-01-25,4.851481534,4.622506946,4.814264038,0.3477935762,0.713459109,0.1661691914,1,4.752423311,1,0.5,0.5,0.5,0.5,0.5,1,0,0,0.6,0,0,6,4.733748024,0.09898920889,4.836975187,4,4,3,4,0.9333333333,0.3333333333,0,0,1,1,1,1,0.8412674051,1,0.8412674051,0.8412674051,0.9816666667,0.95,1,1.000260749,0.0002607490988,1,0.9954074057,0.00459259426,0.02895420783,0.04343131175,0.6666666667,69.07458879,0,0,0,0.5
52319393-e313-4fef-8829-f5b6ebc601c6,phila_sidewalk_794379,match,brad,2026-01-29T05:01:57.673329+00:00,65c0dfa8,no_match,0.4999261498,0.2338327814,0.2482075899,0,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,0.983182788,0.759605009,0.9830755305,0.8452799331,0.9421799215,2.524407266,1,0.7515330439,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.9,0,0,8,0.7512493451,0.2322805095,0.9600588571,4,3,4,4,0.9333333333,0.3333333333,0,0,1,1,1,1,0.01437480843,1,0.01437480843,0.01437480843,0.975,0.95,1.000000029,1,2.855964465e-08,1,1,0,0.2844311649,0.1896207766,0.6666666667,10.54736741,0,0,0,0.5
53d43e0f-73b4-4477-8855-fbe00ec055e5,phila_sidewalk_585292,no_match,brad,2026-01-29T05:02:04.872010+00:00,65c0dfa8,no_match,0.499925971,0.9114535173,0.9875548344,0,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,4.956496624,3.975413404,4.815920134,0.4587992735,0.7569399383,88.6474301,0.9999999999,0.9833740223,1,0.5,0.5,0.5,0.5,0.5,1,0,0,0.1,0,0,4,2.664911142,1.987706702,4.010538699,3,3,3,3,1,1,0,0,1,1,1,1,0.07610131711,1,0.07610131711,0.07610131711,0.9966666667,1,1,1,0,1,1,0,0.2514760783,0.2514760783,0.9999999999,7.953042744,0,0,0,0.5
0d8dc731-6b93-41b5-a7b9-2513d2db08b7,phila_sidewalk_740247,no_match,brad,2026-01-29T05:02:08.306618+00:00,65c0dfa8,no_match,0.4998914301,0,0.9708654988,0.7785436453,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,2.817534633,2.77097833,2.817534484,0.5513063019,0.8149787292,0.1393417597,1,2.770979386,1,0.5,0.5,0.5,0.5,0.5,1,0,0,0.1,5.660184908,5.660184908,0,2.77097717,0.04655682666,2.812877951,3,2,1,1,0.5714285714,0,0,1,0,1,0,0,0.9708654988,0.2214563547,0.2214563547,0.2281019924,0.965,0.85,1,1,0,1,1,8.469891455e-13,0.05223659492,0.05223659492,1,38.28733483,0,0,0,0.5
0354e4ec-0584-4896-9278-cd59e4376271,phila_sidewalk_577991,match,brad,2026-01-29T05:02:12.319064+00:00,65c0dfa8,no_match,0.4998859465,0.08062172352,0.09950344371,0,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,0.7002335165,0.5922267898,0.6999506954,0.8751405238,0.9543766287,1.732506766,1,0.5998341224,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.9,0,0,4,0.5885464028,0.1228745721,0.6906423809,4,4,3,3,0.8571428571,0,0,0,1,1,1,1,0.0188817202,1,0.0188817202,0.0188817202,0.97,0.9,1.000157333,1,0.0001573334865,1,1,0,0.6119957508,0.2447983003,0.4,8.169991366,0,0,0,0.5
208bb486-a574-40de-8713-7489abaa2f81,phila_sidewalk_590044,match,brad,2026-01-29T05:02:14.965395+00:00,65c0dfa8,no_match,0.4998624027,0.8371655514,0.8591009532,0,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,0.4961633104,0.2756899022,0.4897167115,0.9418859669,0.9760338512,1.545414823,1,0.1879536141,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.9,0,0,4,0.2895596876,0.1475370572,0.4486475708,3,3,3,3,1,1,0,0,1,1,1,1,0.02193540185,1,0.02193540185,0.02193540185,0.9572222222,1,1.007609739,1,0.007609739104,1,1,0,0.476416358,0.1905665432,0.4,10.49502167,1,0,1,0.5
741f980f-61dc-422b-844f-05748bce1e7a,phila_sidewalk_885686,match,brad,2026-01-29T05:02:17.775522+00:00,65c0dfa8,no_match,0.4998373389,0,0.03447123902,0,0.6960553132,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,1.68052794,1.439735992,1.680199626,0.7133707601,0.8890490336,4.077063977,1,1.482616011,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.9,0,0,5,1.462703951,0.2354562304,1.66227199,2,4,4,3,0.9230769231,0.3333333333,0,0,1,1,1,1,0.03447123902,0.6960553132,0.03447123902,0.04952370648,0.985,0.95,1.000311503,1,0.0003115029632,1,1,0,0.4530714284,0.3020476189,0.6666666667,6.621472492,0,0,0,0.5
85b8cd12-faef-4e31-abda-8ff0c7040304,phila_sidewalk_621269,match,brad,2026-01-29T05:02:30.572523+00:00,65c0dfa8,no_match,0.4997615814,0.1840098635,0.2213585691,0,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,0.1144942426,0.06954883182,0.1136001596,0.986339863,0.9950903831,1.005247271,0.9999999999,0.06085682984,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.9,0,0,2,0.05916668429,0.05170950614,0.1051085856,4,4,2,2,0.6666666667,0,0,0,1,1,0,0,0.0373487056,1,0.0373487056,0.0373487056,0.9005555556,0.8,1.00006404,1,6.403992327e-05,1,1,0,0.5089195759,0.3392797172,0.6666666666,5.894841036,0,0,0,0.5
34757ee1-7199-438b-a693-611d3b1b1923,phila_sidewalk_591786,match,brad,2026-01-29T05:02:37.586884+00:00,65c0dfa8,no_match,0.4996344745,0.1638197298,0.1668095426,0,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,0.503347338,0.2382880042,0.5031284876,0.9457178025,0.9792246769,2.885081684,1,0.2177152202,1,0.5,0.5,0.5,0.5,0.5,0,0,0,1,0,0,8,0.2594924989,0.2226263252,0.4747161513,4,4,4,4,1,1,0,0,1,1,1,1,0.002989812782,1,0.002989812782,0.002989812782,0.9488888889,1,1.00000789,1,7.890013101e-06,1,1,0,0.5378507551,0.1792835851,0.3333333333,11.15551097,0,0,0,0.5
989d819a-3dc3-4794-8fd9-1dc775e82b2d,phila_sidewalk_583209,match,brad,2026-01-29T05:02:41.473067+00:00,65c0dfa8,no_match,0.4995898902,0.4806559803,0.5161834592,0,1,True,1769657296717076900_48762635,1769662504198475291_31806470,2026-01-25,1.205341081,0.5924069517,1.139056409,0.8732968754,0.9498176038,5.452515111,1,0.5141617365,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0.9,0,0,4,0.5711826241,0.3761793774,0.9356651842,4,4,3,3,0.8571428571,0,0,0,1,1,1,1,0.03552747889,1,0.03552747889,0.03552747889,0.9633333333,0.9,1.023238103,1,0.02323810341,1,1,0,0.4759365516,0.1903746206,0.4,10.50560202,2,0,2,0.5
