group_id,dataset_id,selected_edges,match_type,num_refs,num_targets,labeler,labeled_at,session_id,label_semantics,ref_ids,target_ids,notes
66e22055,au_sydney_roads,[],1:N,0,0,brad,2026-07-15T02:02:41.922796+00:00,deanchored_v1,pair,,,R1 is separated infra from T1. T2 is underground
7a09bb4b,au_sydney_roads,[],M:N,14,20,brad,2026-07-15T02:14:20.253164+00:00,deanchored_v1,set,"[""046616a3-8cdf-4715-b581-7ae3da862958"", ""19c32ced-28fc-4fe9-8b88-51c5e681caef"", ""3ac45632-a0f9-43d3-9b21-e94e89a0d681"", ""3ecee748-4162-4340-8be8-2c8401cf1f6a"", ""5e2bdfba-7c53-4f81-bcaf-e5bb2d5ed31c"", ""9d334596-1692-4af4-8b8d-45f9a2805cbf"", ""ac2ea482-1191-4384-9d35-78765103d0bb"", ""b2996430-93ba-4aa0-9826-c972117d7a3e"", ""cdff829e-f20e-4687-a11c-b648065932ae"", ""e1f83ec7-7153-426d-af52-4eb601b27a47"", ""e46ccf9d-7645-4fb8-a99f-6cfd412beb51"", ""ed87fbd5-bb87-4c17-967a-b62ffa9c9608"", ""ef1fa0bd-b3d6-4c4a-bd82-4d227d929c71"", ""f84533df-3293-4e4b-a3ef-165c5a362152""]","[""au_sydney_2241765_88be0e24dd"", ""au_sydney_2738214_88be0e24dd"", ""au_sydney_2738215_88be0e24dd"", ""au_sydney_2738216_88be0e24dd"", ""au_sydney_2745904_88be0e26b7"", ""au_sydney_2745905_88be0e26b7"", ""au_sydney_2745906_88be0e26b7"", ""au_sydney_400157_88be0e24d1"", ""au_sydney_400158_88be0e24d1"", ""au_sydney_400160_88be0e24dd"", ""au_sydney_400164_88be0e24dd"", ""au_sydney_444539_88be0e26b5"", ""au_sydney_814535_88be0e24d1"", ""au_sydney_834119_88be0e26b1"", ""au_sydney_834120_88be0e26b1"", ""au_sydney_834182_88be0e26b5"", ""au_sydney_834183_88be0e26b1"", ""au_sydney_834239_88be0e24dd"", ""au_sydney_834249_88be0e24dd"", ""au_sydney_834257_88be0e26b7""]",
8f152b92,au_sydney_roads,"[{""ref_id"": ""371b27fd-0176-4b07-ae29-44561110ec52"", ""target_id"": ""au_sydney_410481_88be0e3423""}, {""ref_id"": ""371b27fd-0176-4b07-ae29-44561110ec52"", ""target_id"": ""au_sydney_866444_88be0e3423""}, {""ref_id"": ""954f385d-1acc-44a0-941b-00d4501255f7"", ""target_id"": ""au_sydney_410481_88be0e3423""}, {""ref_id"": ""954f385d-1acc-44a0-941b-00d4501255f7"", ""target_id"": ""au_sydney_410526_88be0e3423""}, {""ref_id"": ""f729725e-60d3-40c9-ae3c-ef53518d8b5c"", ""target_id"": ""au_sydney_410481_88be0e3423""}]",M:N,3,3,panel_unanimous_v7,2026-07-17T21:00:12.558180+00:00,au_sydney_roads_physical_context_v7_20260715,pair,,,
1de025b8,au_sydney_roads,"[{""ref_id"": ""0b84e324-502f-42b5-8d6b-293032050b49"", ""target_id"": ""au_sydney_2746806_88be0e253b""}, {""ref_id"": ""0b84e324-502f-42b5-8d6b-293032050b49"", ""target_id"": ""au_sydney_2746803_88be0e2515""}, {""ref_id"": ""0b84e324-502f-42b5-8d6b-293032050b49"", ""target_id"": ""au_sydney_2746793_88be0e2515""}, {""ref_id"": ""218bae8f-c55a-44ae-b800-0f59d93debe8"", ""target_id"": ""au_sydney_2746806_88be0e253b""}, {""ref_id"": ""96933bb1-9587-49f4-8728-2ff740ba3b7a"", ""target_id"": ""au_sydney_2746791_88be0e2515""}, {""ref_id"": ""96933bb1-9587-49f4-8728-2ff740ba3b7a"", ""target_id"": ""au_sydney_2746697_88be0e253b""}, {""ref_id"": ""96933bb1-9587-49f4-8728-2ff740ba3b7a"", ""target_id"": ""au_sydney_2746685_88be0e253b""}, {""ref_id"": ""96933bb1-9587-49f4-8728-2ff740ba3b7a"", ""target_id"": ""au_sydney_2746806_88be0e253b""}, {""ref_id"": ""47d4fb92-d2ec-46d0-8e2f-934ff1df32f5"", ""target_id"": ""au_sydney_2746800_88be0e2531""}, {""ref_id"": ""47d4fb92-d2ec-46d0-8e2f-934ff1df32f5"", ""target_id"": ""au_sydney_2746699_88be0e2531""}, {""ref_id"": ""47d4fb92-d2ec-46d0-8e2f-934ff1df32f5"", ""target_id"": ""au_sydney_2746791_88be0e2515""}, {""ref_id"": ""47d4fb92-d2ec-46d0-8e2f-934ff1df32f5"", ""target_id"": ""au_sydney_2746697_88be0e253b""}, {""ref_id"": ""919e3594-31fd-4287-8e3c-8751325642db"", ""target_id"": ""au_sydney_2746697_88be0e253b""}, {""ref_id"": ""919e3594-31fd-4287-8e3c-8751325642db"", ""target_id"": ""au_sydney_2607646_88be0e253b""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_2542403_88be0e2535""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_2542404_88be0e2ecb""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_2542410_88be0e2535""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_824378_88be0e2ec7""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_2542409_88be0e2535""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_2746783_88be0e2531""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_2746800_88be0e2531""}, {""ref_id"": ""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""target_id"": ""au_sydney_2746805_88be0e2531""}, {""ref_id"": ""38a4de6f-ecb2-42de-95b6-3a1ec2b5e045"", ""target_id"": ""au_sydney_2746800_88be0e2531""}, {""ref_id"": ""38a4de6f-ecb2-42de-95b6-3a1ec2b5e045"", ""target_id"": ""au_sydney_2746805_88be0e2531""}, {""ref_id"": ""38a4de6f-ecb2-42de-95b6-3a1ec2b5e045"", ""target_id"": ""au_sydney_2746791_88be0e2515""}, {""ref_id"": ""6e5aa681-16c4-45dc-8e08-1e232bc5ace6"", ""target_id"": ""au_sydney_824378_88be0e2ec7""}, {""ref_id"": ""6e5aa681-16c4-45dc-8e08-1e232bc5ace6"", ""target_id"": ""au_sydney_824377_88be0e2ec7""}, {""ref_id"": ""6e5aa681-16c4-45dc-8e08-1e232bc5ace6"", ""target_id"": ""au_sydney_2792267_88be0e2ee1""}]",M:N,8,18,brad,2026-07-18T01:50:17.788181+00:00,ee6d9adf,pair,,,
750ae089,au_sydney_roads,[],M:N,13,6,brad,2026-07-18T01:52:25.665298+00:00,deanchored_v1,set,"[""20edf2b5-a239-4f39-84bc-e64fdaf3e671"", ""2aaaa9c4-e199-4c0e-bf81-3c00386c7e36"", ""32bc7aad-1107-47b0-93e0-d19c958e0a0b"", ""74ae0423-53c8-411b-8caa-1ca562b687f2"", ""7e587180-002f-4463-9b6d-8d6c94fbc1fa"", ""7ece8c98-c487-4407-b412-7b0386c3a25d"", ""8ac55e11-edab-410b-8a38-73ae4310bdd8"", ""8ad56e66-8526-4aba-b31f-308bc9bdaec8"", ""998c71cd-9042-4d1c-86fe-978fefaf3341"", ""9b094f7c-3ecf-4bf3-b414-8911cb10ebc0"", ""c6fc780e-8abb-4c32-b223-b4547053c29e"", ""e811e215-4f38-4a59-a96f-964ffe0e9a72"", ""ed85d2b8-8a21-4a4e-a229-9831ee29ed5f""]","[""au_sydney_1296741_88be0e24d1"", ""au_sydney_2236114_88be0e24d1"", ""au_sydney_2236115_88be0e24d1"", ""au_sydney_391467_88be0e24d1"", ""au_sydney_453037_88be0e24d1"", ""au_sydney_453039_88be0e24d1""]","T2/T3 looks like it matches both of the parallel roads, which is correct"
53bb11d7,au_sydney_roads,[],1:N,1,15,brad,2026-07-18T01:53:56.079858+00:00,deanchored_v1,set,"[""519e739f-e600-4fa9-98fc-17aece50eb9f""]","[""au_sydney_2613868_88be085ad3"", ""au_sydney_2742959_88be085ad3"", ""au_sydney_2742960_88be085ad3"", ""au_sydney_2742961_88be085ad3"", ""au_sydney_2742968_88be085ad3"", ""au_sydney_2742969_88be085ad3"", ""au_sydney_2742970_88be085ad3"", ""au_sydney_2743127_88be085ad3"", ""au_sydney_2743136_88be085ad3"", ""au_sydney_2744073_88be085ad3"", ""au_sydney_2744075_88be085ad3"", ""au_sydney_2744077_88be085ad3"", ""au_sydney_2744079_88be085ad3"", ""au_sydney_2744080_88be085ad3"", ""au_sydney_2744081_88be085ad3""]",Weird split across the parkway - I assume directional of some kind?
fb8f359f,au_sydney_roads,[],M:N,4,10,brad,2026-07-18T02:37:31.206218+00:00,deanchored_v1,set,"[""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""bd7c1082-f027-4b04-83a8-40d0ce4a0298"", ""d359158f-bbfc-4bcc-9e85-f34981af0854"", ""d4823056-b88b-47ee-8add-5d9b99f2eab5""]","[""au_sydney_2549565_88be08c927"", ""au_sydney_2549608_88be08c923"", ""au_sydney_2549645_88be08c927"", ""au_sydney_2549660_88be08c927"", ""au_sydney_2741796_88be08c927"", ""au_sydney_2741797_88be08c923"", ""au_sydney_2741898_88be08c927"", ""au_sydney_445995_88be08c927"", ""au_sydney_833840_88be08c927"", ""au_sydney_833859_88be08c927""]",
35329743,au_sydney_roads,[],M:N,3,3,brad,2026-07-18T02:40:02.796765+00:00,deanchored_v1,set,"[""a947b6fb-162a-4e6e-9e1c-baf8afa74eaa"", ""dea392e5-3f6f-4ead-9bbb-5dc611f5f18c"", ""f813cd9b-ec5e-4fd0-b91f-2e1bd4dd915d""]","[""au_sydney_2405605_88be0e36ab"", ""au_sydney_2405607_88be0e36ab"", ""au_sydney_2610941_88be0e36ab""]",Layered road near airport
014bb5f5,au_sydney_roads,"[{""ref_id"": ""0052295c-5730-49cb-8f0c-ce15943ecc07"", ""target_id"": ""au_sydney_2244111_88be0e2435""}, {""ref_id"": ""60a9b4ea-ad63-4cb1-927a-996a104d47f2"", ""target_id"": ""au_sydney_2244111_88be0e2435""}, {""ref_id"": ""60a9b4ea-ad63-4cb1-927a-996a104d47f2"", ""target_id"": ""au_sydney_2256317_88be0e25c9""}]",M:N,2,2,panel_unanimous_v7,2026-07-18T18:46:05.975489+00:00,au_sydney_roads_bulk_v7_20260718,pair,,,
7c3464ef,au_sydney_roads,"[{""ref_id"": ""002f2e6e-22ba-4188-9d53-8debe1635c6d"", ""target_id"": ""au_sydney_6745_88be0e2635""}, {""ref_id"": ""002f2e6e-22ba-4188-9d53-8debe1635c6d"", ""target_id"": ""au_sydney_6875_88be0e2635""}]",1:N,1,2,panel_unanimous_v7,2026-07-18T18:46:05.979287+00:00,au_sydney_roads_bulk_v7_20260718,pair,,,
