group_id,dataset_id,selected_edges,match_type,num_refs,num_targets,labeler,labeled_at,session_id,label_semantics,ref_ids,target_ids,notes
147235e8,ke_nairobi_roads,"[{""ref_id"": ""0bfd48c7-89d9-4028-8b82-913a10e36313"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}, {""ref_id"": ""39cd00c0-338c-41b4-ba53-2f4a2c43b307"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}, {""ref_id"": ""5bd1c3f4-318b-449f-bc71-2c363864b6a5"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}, {""ref_id"": ""5f26d339-d99a-4252-94c1-ebe7f5c6056f"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}, {""ref_id"": ""60c9a25f-b697-4667-b937-29d0fec5e779"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}, {""ref_id"": ""651c6812-e431-49e8-8cd7-c5e19bdf5d93"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}, {""ref_id"": ""9c3ed76e-67cc-4d60-bd16-747f313f849a"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}, {""ref_id"": ""d0999d50-568b-4c88-9c31-dfad48a2c935"", ""target_id"": ""ke_nairobi_1153_887a6e42cb""}]",N:1,8,1,panel_unanimous_v3,2026-07-07T03:24:48.970013+00:00,ke_nairobi_roads_w0707,pair,,,
b3810f1f,ke_nairobi_roads,"[{""ref_id"": ""77e14da4-3f6f-4f4c-94f5-5a0b5a97b684"", ""target_id"": ""ke_nairobi_760_887a6e4123""}, {""ref_id"": ""a3d7c68b-3fc1-49c2-aece-787efdd408f9"", ""target_id"": ""ke_nairobi_760_887a6e4123""}]",N:1,2,1,panel_unanimous_v3,2026-07-07T03:24:48.971877+00:00,ke_nairobi_roads_w0707,pair,,,
03f2fce8,ke_nairobi_roads,[],N:1,144,1,brad,2026-07-11T02:06:46.284363+00:00,deanchored_v1,set,"[""052535a8-984e-49b5-949f-4131d48be583"", ""0ad8d929-cace-4092-82c4-ab54f898c8b1"", ""0d5555fd-19e6-45a3-bbd9-27a3074b2607"", ""0f14f613-a2e9-4e67-8ab0-d061ba281663"", ""102cfc92-edd4-470f-9b8c-5ea95d1efee2"", ""1059cdba-ed76-4b60-9ff7-1949f970f67e"", ""1111d2aa-0c98-48b1-a53e-125576a23f6c"", ""116d7afd-de62-4a4b-a165-3387ab966c29"", ""129377df-02ac-4415-8bbc-e0b5175674e6"", ""14dd8aee-6261-4f2c-b43c-6eee7776f092"", ""15131e1a-0c5c-42a2-8739-e972e19eee6d"", ""1528772d-c8b0-41b2-91b9-03fa7bfe41c2"", ""15b7e0e6-8598-46f8-928a-fab7a2ae0063"", ""1940808d-1ad2-4e52-a89b-2815679caed4"", ""1c26ca07-2585-43e8-9889-9400975131f0"", ""1c785373-b88f-424c-87e5-06d59ed6bd53"", ""1c871230-2129-496c-a701-d21d2123452b"", ""1d589f06-3959-46ba-adb2-00a46b1415ae"", ""1f7ebd4a-22ec-4d37-9bf6-06b702b18e37"", ""22d1fcc6-c6d3-4d8e-9fa4-749df73eae5a"", ""22d8e09f-4774-41f4-a374-88129d97f6bd"", ""2649bd2a-d08a-4e74-b2e7-0c81988bdc69"", ""26819d0c-d8cc-45f7-9d0d-40b4511ea10a"", ""28137f3c-0c6f-484d-bc4b-957ec0e75150"", ""286f2d14-21c9-41d6-9e31-670006db90a2"", ""28b51978-e4b1-4c4b-9a9c-0ad095ba56a9"", ""29fefc89-70a3-4587-b6d5-927c537798a1"", ""2b9632be-4046-4181-9871-830d72326876"", ""2c19044f-4bc1-4259-8422-9b3265f7319f"", ""2c1d24a9-1316-4811-ba69-6e8843d994ed"", ""2c1f78f5-e528-48c5-9f9e-757fd5866135"", ""302041c6-ac7a-48f2-8541-c012c7a48431"", ""3294cf24-5aa6-4a34-a245-0a5669bc53a5"", ""32e57ce1-3e89-495a-97ac-073305f86450"", ""3515826c-041e-4f73-8804-574d1b45e07c"", ""389caa4b-d287-4205-8cd5-3cddedac92fb"", ""3a46e6b8-0f19-4b93-9185-edaccd593671"", ""3c8f012e-143d-4a31-a2b3-27a9d6cf8245"", ""3cb165e5-8891-4f64-bf7a-d3b3e271dbfd"", ""3fd6913b-01ae-408e-8980-6f2e4b82cd37"", ""4185d2e6-9520-42b6-9efe-ef6e33c90fd8"", ""44970cc2-a5a0-45a1-b6db-e724b06469c8"", ""45b012ea-435e-4534-98a0-806989eb6226"", ""46c9d43e-f419-4fb2-8377-589785018b38"", ""47b790b6-6ca5-468e-a533-10ea057ab00d"", ""494fee97-899e-4738-ba0e-8fea608e7a6d"", ""4d11a391-055f-4bc4-85f4-6fb793de238c"", ""4d2429de-8932-41c0-9186-c2d46555cdea"", ""5293b987-0836-4a17-b125-fc4aee05a650"", ""531ff88b-4080-4b9f-94b3-9fcf31a76cb2"", ""5371867a-67d7-482e-91b4-fbce3ac18dc6"", ""55450bb9-679e-4c3e-9b5b-f06eba7c6af0"", ""56b7b12c-8f7e-46da-9cb3-f30910d80d31"", ""5922ebc7-d760-4fab-bb55-cf7e62582829"", ""5a0345cb-8f45-4304-a1a9-dc3e4187d757"", ""5bee4b3c-e128-44a1-8172-5c26b5777dc3"", ""5c3a1fe9-98ec-4c36-9089-70786e02be31"", ""5ccb95d4-6758-46d0-b5db-c2c29a2a445d"", ""5d20420b-a9a5-4c95-9a75-3f4dc009fc01"", ""5f964fdd-a741-4e44-ad62-290fb6d85750"", ""6038db6e-6a1e-43ee-9596-6e6fd00a112c"", ""60a9caed-4189-435c-afbe-0807e17941ad"", ""65ed4b45-2271-4196-93e4-98c13f5f7e6a"", ""66d38bb0-faaf-4961-97b1-4e6c17b85ef1"", ""675ddec5-cde2-44ac-bafb-44f118a92b5a"", ""68628897-c2ca-44c0-bf12-ccb469f34d2b"", ""6ae79a22-3455-493d-8c17-f84eddaaf063"", ""6c72b29e-e51b-4ec2-b323-7c581eb6718d"", ""6cda0c79-23d9-47b7-8e57-8156f480840b"", ""6d81c319-c782-4476-b7ce-32d30be6a2ff"", ""721ddf37-f956-46a8-a911-3c27767c683c"", ""75516ae5-1dd4-421d-adf7-96fa1ce0efdd"", ""75ae8a26-87d0-439f-9cfb-26e5cee68d56"", ""7733460f-b04b-41c3-b002-f8f4ea85f417"", ""79c192b5-f4f7-4b13-8677-0ae996cb3df9"", ""7ad74864-71ba-4694-a65b-a927063a99cb"", ""8204bcf2-7528-4699-aed9-f33c78cd09ae"", ""83c38412-e64f-4f62-932b-9c7d743f21b0"", ""853af09f-60b7-4e65-a8db-1fe5e154b7b9"", ""85f05eed-5791-4e9a-adc2-05bf9acab7d6"", ""86833f65-e52d-48da-bf08-0076c41f02c5"", ""887d5ef2-3e7f-4de4-8aa6-70079b34ec4a"", ""894b909f-bc1b-49db-9856-f4cb8b83cafc"", ""8a75a783-b07d-4373-9fab-fb265b47322e"", ""8b61437b-5f3f-42a4-8f42-f478df0b461f"", ""91148c00-316c-4b54-8be2-bde7f3509729"", ""9153d5d2-b54a-4055-87dc-d45fdac1201c"", ""923a7a51-1f32-499b-a5db-e41cdbea1f5d"", ""92d4787c-2fc1-4c1b-aa0e-9c8f8e64de45"", ""9345da81-ed80-40f7-9c56-41daa7905d78"", ""94ec2ea9-6384-4e51-b9c2-d6ff980a7160"", ""96843447-5b7d-4ebb-ab16-0525d3082090"", ""9914df11-8203-4fa9-a902-73aaac50cfe0"", ""99cb85db-a826-43de-87bd-79d0b69ad512"", ""9dfe3657-8448-4c45-99ee-48239ca7c6b2"", ""9f34a916-d86f-4509-8178-1ea041fb799f"", ""a075b97a-7886-46b0-9af7-eddfac5c23bf"", ""a21a5a17-b944-45c6-976c-3ad1b8a4772f"", ""a3f032ae-11c2-4be3-bc47-6333081135be"", ""a433348f-a585-4c4b-9825-633bd46fe59f"", ""a57bc04d-0b70-424b-82a1-963f401e60c7"", ""a75f995f-71db-44f4-9b15-d421908dc770"", ""a818e81b-ee7e-4412-92b1-f21b8144ae24"", ""ac2d58ff-b186-47d4-a8fc-8256687e4238"", ""ad28fb41-5fe3-4566-ae2b-653a562bc1ae"", ""b081cd20-a313-45cd-8996-e7f5cd30926e"", ""b10bb03a-2343-4009-a11d-f18c58df19ea"", ""b315dfaf-de75-488f-b832-436ef05b1c15"", ""b3a6fb05-02e1-442e-921a-6b3288b49095"", ""b3cf9243-d712-4a81-9516-a9a7d015bac1"", ""b581174b-5a46-4be6-bbfb-26264b878ce7"", ""b73bdfe2-e386-4978-990f-9b10bab387d8"", ""b7b5bceb-00c1-4d27-acc7-e8017f5bdf08"", ""baff7cc5-9b58-4b93-8576-77300890f1b9"", ""bc7dcab8-76fb-4857-8f8c-7784a8f5c3d5"", ""bdc35a81-4b83-4e13-80de-6716a7bb90d8"", ""be59d7c0-0a6c-43fc-a7a6-146d61e6197b"", ""c1f213bf-ec3d-4def-9c48-b06f7e28f74e"", ""c2932671-9e56-499e-84fe-68c783b5f832"", ""c51d0be4-a61c-410e-9987-be508cc0b36b"", ""c639782c-d2e8-4d32-a4c0-a9b21ba2b5dc"", ""c8c4a749-c191-40f3-a456-f5f86a387f78"", ""cad59a37-e832-4da8-b4c7-4644187573b3"", ""cb199f71-4d4d-4143-9b60-2c510de7d974"", ""cc9ac11f-cbba-4839-8430-2cf851f36f2b"", ""ceda33d1-69e9-4697-8981-b67f1b327b23"", ""d0f8aa37-db7d-4e89-9bde-bcb6cd0c2566"", ""d2055c39-aa57-4c18-9789-0d7262883a42"", ""d37fe1eb-8e3a-4c2e-a196-ba94834eee8d"", ""d7b3e7d3-a984-4ea9-a518-0c9d24ac282a"", ""d9899e43-d321-4bdb-bda2-5bcf592bf62c"", ""e03e1bf6-17f9-4a6b-b869-2fc66829cab6"", ""e3224f8f-5b4e-4e85-aa81-6b842f478dff"", ""e5715db6-cb7f-4e80-a0dc-71212e4e3278"", ""e6b69e6d-d117-4b3a-bc08-4f2ab5e8c689"", ""eb277834-d4a4-4398-afbf-f0e1d658d312"", ""ec564a87-abcf-4f10-b0b8-2957c0f203ca"", ""eea29191-a431-4373-be02-1f075e7afa10"", ""efaed0b9-26dc-40a1-bd4e-100b9ab50466"", ""f0dce929-4df6-405d-925a-32d3cc193b64"", ""f346cb61-89a5-4a57-a104-756857959774"", ""f925c779-007c-4c24-b371-11832fced37c"", ""fb38cc03-c443-41e8-b5e9-bfa7f8928e7b"", ""fc9ac2a2-7c07-4e0a-b7e3-b279b6fed857""]","[""ke_nairobi_1206_887a6e4737""]",
a4660982,ke_nairobi_roads,[],M:N,51,2,brad,2026-07-11T02:08:03.304210+00:00,deanchored_v1,set,"[""03e3e758-4781-4eb3-ab84-d1b7613640c7"", ""16b48dad-21b4-447c-8113-11f0876ba754"", ""18ae6eb9-cb4f-45ad-b3a0-e4f63876ee87"", ""198f51a2-fce5-4116-b2d3-2d1bdfcd1651"", ""1aef9a09-68cb-4f40-ac12-d869324bcb78"", ""1db3e325-2347-4997-990a-cb8e9580bf1b"", ""1ed45820-f305-421d-8d04-98aa947885a8"", ""1fa8b9db-0245-4d71-8da5-410b9ce78692"", ""1fcccc2b-fce4-4bbf-9f9b-4370aebb44fe"", ""215b75e8-de75-4c96-baa2-538990fa0ffd"", ""266ab7a7-4730-4894-a26d-0477adc47055"", ""2a0f3ef7-7e3c-4a7e-a0d9-2bb85d98c7fe"", ""2cb186c4-a2c4-449d-9085-4b41a8039159"", ""2ed9442c-89eb-462c-a0b2-715ca2d52bfd"", ""357e007c-004a-46f5-8c91-6419e90d6770"", ""3671018d-3128-48dd-8736-db919b9d2b7a"", ""37744f0d-4be6-429b-8b81-d6d3c85c380a"", ""37cd2cc1-2fd8-4a41-8656-79cc806c50ed"", ""3e564d64-57d3-4245-a30c-4550a2613a9c"", ""3ef5ac8b-eeb2-4331-bd5a-ecce2e9fef67"", ""3fb8fc09-fb8d-40d7-95f9-651c7b348d63"", ""45208d19-4eb3-4a7a-98f8-cb4699ad8f18"", ""472385f4-3d4f-4774-98cd-8c735c1f1cb7"", ""48404e23-dd34-4a6c-a18e-b35c8c9853d5"", ""55f3c2a8-cb97-4523-9cc4-825e3d605de8"", ""5a1f7ca8-55f1-4abf-b302-962bdea96767"", ""5dbffc2c-6f7f-4da2-8af6-b12ccc1e6594"", ""61b425c9-03db-4444-add4-f6c79d3cb567"", ""663f9889-2d7c-4a68-9260-6837618c0820"", ""6aa9066a-640e-4b42-a736-e573fa354446"", ""7522ede5-61cb-47a3-8d4c-30e94a8f3f23"", ""7ef2a7b0-7436-4b83-8b11-8afd61491a1e"", ""80a4d3ee-bfac-4d27-ae64-5939cee5e56f"", ""8cdbf498-b955-4eff-a590-5c01169490cc"", ""9cc34b79-e15a-4e98-914d-7ed4a3628bb6"", ""a4eed0e7-d4a2-4b69-bd83-c38e7c0c9171"", ""abf31400-0d1f-440b-966d-a957d6fe7b32"", ""bab14a46-d680-4187-9fdf-ed4595d58ecb"", ""be3fbe70-f8f8-49ac-9853-cc398af3ab36"", ""c7901a80-a71b-4fa5-ae9f-c891e753dd56"", ""ca297bc6-cf29-4835-be6b-db9bbb5068da"", ""d4606380-bc49-41ca-8f22-169d18a35b4e"", ""d740d0ea-d6a2-4996-9654-fa38a71a3962"", ""d7f06a6d-2149-47d2-88d8-924cd981b169"", ""e070ea6b-2324-41bc-857f-38e2eb435b03"", ""e2b7b6e5-8708-4d74-b7c4-9019f61177f9"", ""e5934a61-c1ac-422e-b64f-00e5c7420733"", ""e82a65f3-2989-4791-aa84-17bb4274096b"", ""ec33875f-a0b6-4c0c-9e23-663157bcc9ae"", ""efafe1a1-f35a-48ae-93bf-9f253d4ac3d2"", ""fb127731-a93e-448d-8182-06664f100790""]","[""ke_nairobi_1246_887a6e445d"", ""ke_nairobi_782_887a6e4627""]",
d8fae822,ke_nairobi_roads,[],N:1,2,1,brad,2026-07-11T02:08:54.487676+00:00,deanchored_v1,set,"[""ee997859-7c99-4716-873c-8750a66d6a64"", ""fd5a7248-a831-4e8b-a457-8e259ed3b9d7""]","[""ke_nairobi_51316_887a6e50b1""]",
02c705df,ke_nairobi_roads,"[{""ref_id"": ""0d999bbe-d79e-4903-9df3-09cc20beb35a"", ""target_id"": ""ke_nairobi_56794_887a6e5489""}]",N:1,1,1,panel_unanimous_v7,2026-07-18T22:01:26.014467+00:00,ke_nairobi_roads_bulk_v7_20260718,pair,,,
1e2eff8f,ke_nairobi_roads,"[{""ref_id"": ""6cb0c80c-ee6b-4c3b-a632-30269799b112"", ""target_id"": ""ke_nairobi_57094_887a6e4129""}, {""ref_id"": ""fd9da35e-ae4d-418d-91dd-0cca129d6c4e"", ""target_id"": ""ke_nairobi_57094_887a6e4129""}]",N:1,2,1,panel_unanimous_v7,2026-07-18T22:01:26.017653+00:00,ke_nairobi_roads_bulk_v7_20260718,pair,,,
6ea23265,ke_nairobi_roads,"[{""ref_id"": ""72a468cd-36c6-4de0-a7fa-cace5d0e62ca"", ""target_id"": ""ke_nairobi_11206_887a6e4503""}, {""ref_id"": ""7b0a1299-68f4-4eb6-b8e8-15cc071555fa"", ""target_id"": ""ke_nairobi_11206_887a6e4503""}, {""ref_id"": ""9ba4ebac-906f-402e-a4fe-64c6a5e63533"", ""target_id"": ""ke_nairobi_11206_887a6e4503""}, {""ref_id"": ""e6b5cf31-6ccf-4baf-844c-364e6a87bbec"", ""target_id"": ""ke_nairobi_11206_887a6e4503""}]",N:1,4,1,panel_unanimous_v7,2026-07-18T22:01:26.018511+00:00,ke_nairobi_roads_bulk_v7_20260718,pair,,,
725c0a69,ke_nairobi_roads,"[{""ref_id"": ""ae325474-3346-4cd5-ba8f-90853e4f1943"", ""target_id"": ""ke_nairobi_31086_887a6e198b""}, {""ref_id"": ""ca18979e-99e8-4dba-a888-d43fd71a8fc7"", ""target_id"": ""ke_nairobi_31086_887a6e198b""}]",N:1,2,1,panel_unanimous_v7,2026-07-18T22:01:26.019330+00:00,ke_nairobi_roads_bulk_v7_20260718,pair,,,
8b687a7a,ke_nairobi_roads,"[{""ref_id"": ""6558e07b-154c-4ef7-acc4-be311711c666"", ""target_id"": ""ke_nairobi_8619_887a6e4ad3""}, {""ref_id"": ""ca3edc6b-0b4e-4145-9947-f63f2fb8ae97"", ""target_id"": ""ke_nairobi_8619_887a6e4ad3""}]",N:1,2,1,panel_unanimous_v7,2026-07-18T22:01:26.020133+00:00,ke_nairobi_roads_bulk_v7_20260718,pair,,,
