group_id,dataset_id,selected_edges,match_type,num_refs,num_targets,labeler,labeled_at,session_id,label_semantics,ref_ids,target_ids,notes
22f7b622,sg_singapore_footpaths,"[{""ref_id"": ""5f0bf275-ca5a-4746-ada5-e191de1f58ef"", ""target_id"": ""sg_footpath_27971_886526ac99""}, {""ref_id"": ""5f0bf275-ca5a-4746-ada5-e191de1f58ef"", ""target_id"": ""sg_footpath_28065_886520db25""}, {""ref_id"": ""5f0bf275-ca5a-4746-ada5-e191de1f58ef"", ""target_id"": ""sg_footpath_40493_886520db25""}]",1:N,1,3,panel_unanimous_v3,2026-07-06T15:48:17.787803+00:00,sg_singapore_footpaths_earlysignal1,pair,,,
f32c87a9,sg_singapore_footpaths,"[{""ref_id"": ""20525ce7-1bc9-4b40-8441-72662c3b9700"", ""target_id"": ""sg_footpath_103241_88652636c7""}, {""ref_id"": ""20525ce7-1bc9-4b40-8441-72662c3b9700"", ""target_id"": ""sg_footpath_104947_88652636c7""}]",1:N,1,2,panel_unanimous_v3,2026-07-06T15:48:17.790460+00:00,sg_singapore_footpaths_earlysignal1,pair,,,
2965a425,sg_singapore_footpaths,"[{""ref_id"": ""3150c0ed-6d52-4c70-859c-da2a55e806c3"", ""target_id"": ""sg_footpath_51878_8865263631""}, {""ref_id"": ""3150c0ed-6d52-4c70-859c-da2a55e806c3"", ""target_id"": ""sg_footpath_82071_886526363d""}]",1:N,1,2,panel_unanimous_v3,2026-07-07T03:24:43.798957+00:00,sg_singapore_footpaths_w0707,pair,,,
464fbff6,sg_singapore_footpaths,[],1:N,0,0,panel_unanimous_none_v3,2026-07-07T03:24:43.802348+00:00,sg_singapore_footpaths_w0707,pair,,,
53815b1d,sg_singapore_footpaths,[],1:N,0,0,panel_unanimous_none_v3,2026-07-07T03:24:43.803170+00:00,sg_singapore_footpaths_w0707,pair,,,
90d7c266,sg_singapore_footpaths,"[{""ref_id"": ""12b86718-0d91-4d54-86d4-b466ce90a353"", ""target_id"": ""sg_footpath_129971_8865263609""}, {""ref_id"": ""12b86718-0d91-4d54-86d4-b466ce90a353"", ""target_id"": ""sg_footpath_129974_8865263609""}, {""ref_id"": ""12b86718-0d91-4d54-86d4-b466ce90a353"", ""target_id"": ""sg_footpath_53_8865263609""}]",1:N,1,3,panel_unanimous_v3,2026-07-07T03:24:43.803935+00:00,sg_singapore_footpaths_w0707,pair,,,
92dc5090,sg_singapore_footpaths,[],1:N,1,3,brad,2026-07-11T02:13:01.615571+00:00,deanchored_v1,set,"[""20525ce7-1bc9-4b40-8441-72662c3b9700""]","[""sg_footpath_103241_88652636c7"", ""sg_footpath_104947_88652636c7"", ""sg_footpath_4663_88652636c7""]",
1128d46c,sg_singapore_footpaths,"[{""ref_id"": ""a25b5929-52de-453b-ab54-57555f37d911"", ""target_id"": ""sg_footpath_15982_8865263647""}, {""ref_id"": ""a25b5929-52de-453b-ab54-57555f37d911"", ""target_id"": ""sg_footpath_47145_8865263647""}]",1:N,1,2,panel_unanimous_v7,2026-07-18T22:01:42.681446+00:00,sg_singapore_footpaths_bulk_v7_20260718,pair,,,
34056e9d,sg_singapore_footpaths,"[{""ref_id"": ""f1e5c003-a90f-4329-85ba-07ebb9e4761f"", ""target_id"": ""sg_footpath_4911_886520d817""}, {""ref_id"": ""f1e5c003-a90f-4329-85ba-07ebb9e4761f"", ""target_id"": ""sg_footpath_79610_886520d817""}]",1:N,1,2,panel_unanimous_v7,2026-07-18T22:01:42.684619+00:00,sg_singapore_footpaths_bulk_v7_20260718,pair,,,
74061a52,sg_singapore_footpaths,"[{""ref_id"": ""143dddd7-3b53-44aa-a94c-6171a677fa82"", ""target_id"": ""sg_footpath_178_886520d901""}, {""ref_id"": ""143dddd7-3b53-44aa-a94c-6171a677fa82"", ""target_id"": ""sg_footpath_79093_886520d901""}]",1:N,1,2,panel_unanimous_v7,2026-07-18T22:01:42.685458+00:00,sg_singapore_footpaths_bulk_v7_20260718,pair,,,
78b20b22,sg_singapore_footpaths,"[{""ref_id"": ""f0abcbc8-c0f8-4707-b9e2-7951edaf03ef"", ""target_id"": ""sg_footpath_71462_886520ca13""}, {""ref_id"": ""f6cee58e-0a2f-44a7-909d-41a0601f6b58"", ""target_id"": ""sg_footpath_71462_886520ca13""}]",N:1,2,1,panel_unanimous_v7,2026-07-18T22:01:42.686230+00:00,sg_singapore_footpaths_bulk_v7_20260718,pair,,,
cef68496,sg_singapore_footpaths,"[{""ref_id"": ""523d2b69-80fb-4c18-8d0d-71d9bebdd2cb"", ""target_id"": ""sg_footpath_3361_886526366b""}, {""ref_id"": ""523d2b69-80fb-4c18-8d0d-71d9bebdd2cb"", ""target_id"": ""sg_footpath_3370_886526366b""}]",1:N,1,2,panel_unanimous_v7,2026-07-18T22:01:42.686993+00:00,sg_singapore_footpaths_bulk_v7_20260718,pair,,,
