group_id,dataset_id,selected_edges,match_type,num_refs,num_targets,labeler,labeled_at,session_id,label_semantics,ref_ids,target_ids,notes
45ba7148,sg_singapore_roads,"[{""ref_id"": ""0fbe43d8-53cd-4657-9eda-52fead4c5774"", ""target_id"": ""sg_road_77e2360d353e_886526ac8b""}, {""ref_id"": ""c50f4485-7bbf-4c71-a238-0002dcaa8158"", ""target_id"": ""sg_road_77e2360d353e_886526ac8b""}]",N:1,2,1,panel_unanimous_v3,2026-07-06T15:48:20.312875+00:00,sg_singapore_roads_earlysignal1,pair,,,
73b5224b,sg_singapore_roads,"[{""ref_id"": ""22201049-ecb0-47da-a59b-78a34059d100"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""269f7799-0626-4bd1-98c2-539dd27c9857"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""41a73ebb-8d5a-4e38-bdf0-e1ad6142f140"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""43c7450c-7b6e-485d-b8db-feca16a35bc9"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""43cdda57-f5fe-4da0-ac7d-9dd4b1ee646e"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""45261271-2db6-4fb9-a049-970f2b71f502"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""4c064dbc-14af-40b5-990f-984cc9b66967"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""4c064dbc-14af-40b5-990f-984cc9b66967"", ""target_id"": ""sg_road_98c528981fae_8865263621""}, {""ref_id"": ""5551a0d7-8a37-444a-be0b-c8ad7fd4d553"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""569f1575-ef64-4a2d-82a8-347b504efae6"", ""target_id"": ""sg_road_98c528981fae_8865263621""}, {""ref_id"": ""5a27821e-4f8a-45ba-89f1-69433a330c6d"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""68f0423d-e072-4ff1-9f28-b888a8267ec1"", ""target_id"": ""sg_road_fcf3cc682aca_886526362b""}, {""ref_id"": ""736ff405-5e6a-4dc9-8d4c-429f4018d590"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""736ff405-5e6a-4dc9-8d4c-429f4018d590"", ""target_id"": ""sg_road_fcf3cc682aca_886526362b""}, {""ref_id"": ""7641597e-3263-4677-b4e0-16b279cf075e"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""767f8d05-130d-4ad9-ae5f-7b20a0b37f0c"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""78738782-8c31-48d5-949e-2c172be3f6d4"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""922d5793-3ae4-4c64-9033-98ef8413cd25"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""922d5793-3ae4-4c64-9033-98ef8413cd25"", ""target_id"": ""sg_road_98c528981fae_8865263621""}, {""ref_id"": ""996e65b8-029a-481f-b800-14040ec1d3ac"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""a259fcf5-bce5-4eeb-8890-f9c47179627e"", ""target_id"": ""sg_road_6d908844136d_8865263621""}, {""ref_id"": ""ac764e97-62a2-4313-82eb-9c899baff6cc"", ""target_id"": ""sg_road_98c528981fae_8865263621""}, {""ref_id"": ""babae0fa-794e-43e7-b504-e45590fffbd0"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""be7b60a4-c2ed-4c2b-bab2-c012b5fc77cc"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""be7b60a4-c2ed-4c2b-bab2-c012b5fc77cc"", ""target_id"": ""sg_road_98c528981fae_8865263621""}, {""ref_id"": ""c0ea03fd-e55e-4d0f-b0ef-214cc090c93f"", ""target_id"": ""sg_road_80023f00f2c7_886526362b""}, {""ref_id"": ""c4b3adb4-79ed-444f-863d-4820116aabd3"", ""target_id"": ""sg_road_98c528981fae_8865263621""}, {""ref_id"": ""ce6f1301-d00f-43fd-88f2-b50d21e32b57"", ""target_id"": ""sg_road_cb3512f82588_886526362b""}, {""ref_id"": ""ce6f1301-d00f-43fd-88f2-b50d21e32b57"", ""target_id"": ""sg_road_fcf3cc682aca_886526362b""}, {""ref_id"": ""cfbb86f8-e632-4176-a0a3-69d0842afc8e"", ""target_id"": ""sg_road_cb3512f82588_886526362b""}, {""ref_id"": ""edd930c2-bf67-4010-abea-6825b90bd48e"", ""target_id"": ""sg_road_98c528981fae_8865263621""}]",M:N,26,5,panel_unanimous_v3,2026-07-06T15:48:20.316448+00:00,sg_singapore_roads_earlysignal1,pair,,,
bde6d341,sg_singapore_roads,"[{""ref_id"": ""d2831730-97c6-45eb-ac26-98a9f0fa183c"", ""target_id"": ""sg_road_da6b71b593e7_8865263655""}, {""ref_id"": ""ea61a1c4-e6c4-4fff-8aed-b3a3c87e9bf8"", ""target_id"": ""sg_road_da6b71b593e7_8865263655""}]",N:1,2,1,panel_unanimous_v3,2026-07-06T15:48:20.318396+00:00,sg_singapore_roads_earlysignal1,pair,,,
7cd478a6,sg_singapore_roads,"[{""ref_id"": ""78da56de-0f72-41e6-8a6d-0d9859e1584c"", ""target_id"": ""sg_road_79c458536c6d_886520d987""}]",1:N,1,1,panel_unanimous_v3,2026-07-07T03:24:42.862517+00:00,sg_singapore_roads_w0707,pair,,,
c543592a,sg_singapore_roads,"[{""ref_id"": ""e9cdbf88-e0c2-424d-8bfc-556bba652110"", ""target_id"": ""sg_road_14f4e4b63dd9_886520d901""}, {""ref_id"": ""e9cdbf88-e0c2-424d-8bfc-556bba652110"", ""target_id"": ""sg_road_20d2d30e21fa_886520d901""}, {""ref_id"": ""e9cdbf88-e0c2-424d-8bfc-556bba652110"", ""target_id"": ""sg_road_95355d6c8c31_886520d901""}, {""ref_id"": ""e9cdbf88-e0c2-424d-8bfc-556bba652110"", ""target_id"": ""sg_road_b4a4e46c0ab2_886520d901""}, {""ref_id"": ""e9cdbf88-e0c2-424d-8bfc-556bba652110"", ""target_id"": ""sg_road_d8709a4c7947_886520d901""}]",1:N,1,5,panel_unanimous_v3,2026-07-07T03:24:42.865963+00:00,sg_singapore_roads_w0707,pair,,,
eecac4f3,sg_singapore_roads,"[{""ref_id"": ""5a71385b-6def-4e5f-ad1d-bcb1ed92edd0"", ""target_id"": ""sg_road_91366436c5b5_886520d9c5""}, {""ref_id"": ""a270869e-9eed-47f9-a11c-dfd9f9439a73"", ""target_id"": ""sg_road_91366436c5b5_886520d9c5""}]",N:1,2,1,panel_unanimous_v3,2026-07-07T03:24:42.866838+00:00,sg_singapore_roads_w0707,pair,,,
3b02c3af,sg_singapore_roads,[],M:N,19,8,brad,2026-07-11T02:13:50.250947+00:00,deanchored_v1,set,"[""01d0b6fc-f94d-4e37-8a75-8aedd2681358"", ""13d2a7ab-7ff5-4500-acf8-9ab130faafdc"", ""33081de4-4a60-444b-a9cf-48ce28a85028"", ""38690273-9d60-4658-8417-f524a72c0fd4"", ""656dfb4a-24e8-413b-87d7-7401f87e2393"", ""657b1581-59ed-4ab2-bb64-1e0bf1b90ef0"", ""6de20390-a5f4-482f-93ec-54a9f82a6217"", ""85fe9b50-9412-41a6-a488-a21a4a712b87"", ""8979b31e-f082-4f50-9043-dd66c6c84f27"", ""b45a7e32-64e6-4909-ba21-daf053c0aab6"", ""b802b54f-5ce2-47e3-9aaa-f6cb2269651f"", ""b81a9280-0af6-4425-bb76-aff169015307"", ""bb5470d2-5f42-48d9-bb13-b0bbd74440e2"", ""bf5aa168-d6be-4853-801b-ff9329051c04"", ""d9769ef0-4cd1-42ed-8b7e-76e090a00a15"", ""e75817c1-2ca6-4a38-9b19-434c48818268"", ""ed387590-4292-48c3-89c4-67a67e2de5ad"", ""fc3518fc-19ad-4a83-9686-49fb75d3063f"", ""fdc40ebb-1c4a-4301-9a74-6bf6a53987a8""]","[""sg_road_152f1cc09df4_8865263661"", ""sg_road_17ad243ee831_8865263667"", ""sg_road_2af1dd1b925d_8865263667"", ""sg_road_4c29f08514e8_8865263667"", ""sg_road_4efce3243da7_8865263661"", ""sg_road_8cfc85c18f2c_8865263667"", ""sg_road_931311e804a8_8865263667"", ""sg_road_b0164aca2f1d_8865263667""]",
0206934b,sg_singapore_roads,[],M:N,24,5,brad,2026-07-11T02:15:29.472907+00:00,deanchored_v1,set,"[""22201049-ecb0-47da-a59b-78a34059d100"", ""269f7799-0626-4bd1-98c2-539dd27c9857"", ""41a73ebb-8d5a-4e38-bdf0-e1ad6142f140"", ""43c7450c-7b6e-485d-b8db-feca16a35bc9"", ""45261271-2db6-4fb9-a049-970f2b71f502"", ""4c064dbc-14af-40b5-990f-984cc9b66967"", ""5551a0d7-8a37-444a-be0b-c8ad7fd4d553"", ""569f1575-ef64-4a2d-82a8-347b504efae6"", ""5a27821e-4f8a-45ba-89f1-69433a330c6d"", ""68f0423d-e072-4ff1-9f28-b888a8267ec1"", ""736ff405-5e6a-4dc9-8d4c-429f4018d590"", ""7641597e-3263-4677-b4e0-16b279cf075e"", ""922d5793-3ae4-4c64-9033-98ef8413cd25"", ""996e65b8-029a-481f-b800-14040ec1d3ac"", ""ac764e97-62a2-4313-82eb-9c899baff6cc"", ""b8c7253f-503a-4ccb-aa69-816318811d8e"", ""babae0fa-794e-43e7-b504-e45590fffbd0"", ""be7b60a4-c2ed-4c2b-bab2-c012b5fc77cc"", ""c0ea03fd-e55e-4d0f-b0ef-214cc090c93f"", ""c4b3adb4-79ed-444f-863d-4820116aabd3"", ""ce6f1301-d00f-43fd-88f2-b50d21e32b57"", ""cfbb86f8-e632-4176-a0a3-69d0842afc8e"", ""d9efc277-0ce1-4140-9e29-eaee48fb5237"", ""edd930c2-bf67-4010-abea-6825b90bd48e""]","[""sg_road_6d908844136d_8865263621"", ""sg_road_80023f00f2c7_886526362b"", ""sg_road_98c528981fae_8865263621"", ""sg_road_cb3512f82588_886526362b"", ""sg_road_fcf3cc682aca_886526362b""]",
5dc2107f,sg_singapore_roads,[],M:N,4,4,brad,2026-07-11T02:15:52.521348+00:00,deanchored_v1,set,"[""2fe76bc2-8a29-4360-9ea7-09fb1674b33b"", ""77754624-441e-4f94-b6f3-f2b6a9745ff9"", ""b4ddeb55-3738-4d59-8c4e-f144aa830dd3"", ""d7d58067-cf73-49b5-bace-52655d5bbefd""]","[""sg_road_058e096a8799_886520d9cd"", ""sg_road_139a9954acb5_886520d9cd"", ""sg_road_1d9e36a65994_886520d9cd"", ""sg_road_ea1a13baaa3d_886520d9cd""]",
ae47a8f3,sg_singapore_roads,[],1:N,0,0,brad,2026-07-15T02:21:08.762558+00:00,deanchored_v1,pair,,,
