group_id,dataset_id,selected_edges,match_type,num_refs,num_targets,labeler,labeled_at,session_id,label_semantics,ref_ids,target_ids,notes
b7f57035,us_philadelphia_sidewalks,[],M:N,5,7,brad,2026-07-15T01:59:03.476055+00:00,deanchored_v1,set,"[""02a37113-8067-479c-8d2f-d42f78d1962d"", ""3e03b7fc-77f7-4279-8dfa-57e81f1158da"", ""7cba215b-6fec-42fb-b96c-3dec4b190ed1"", ""ce6d1dfe-999c-491c-90cd-f90236685215"", ""fa666b49-bc35-4113-8994-4e735a41f622""]","[""phila_sidewalk_596267_882a1348b9"", ""phila_sidewalk_627535_882a1348b9"", ""phila_sidewalk_629453_882a1348b9"", ""phila_sidewalk_634901_882a1348b9"", ""phila_sidewalk_639883_882a1348b9"", ""phila_sidewalk_659868_882a1348b9"", ""phila_sidewalk_673046_882a1348b9""]",R5 is a bridge and has layer=1 - do we capture that? Does T7 have anything about that? R2 does not match T7
8f948c89,us_philadelphia_sidewalks,[],1:N,1,37,brad,2026-07-15T02:23:53.565962+00:00,deanchored_v1,set,"[""8f199261-da78-40e2-b1fd-30c95122290c""]","[""phila_sidewalk_1003803_882a134e25"", ""phila_sidewalk_1004912_882a134e2d"", ""phila_sidewalk_1013032_882a134e25"", ""phila_sidewalk_1013434_882a134f1b"", ""phila_sidewalk_799808_882a134e25"", ""phila_sidewalk_800328_882a134e25"", ""phila_sidewalk_810612_882a134e25"", ""phila_sidewalk_815193_882a134e25"", ""phila_sidewalk_815209_882a134e25"", ""phila_sidewalk_815234_882a134e25"", ""phila_sidewalk_818321_882a134f1b"", ""phila_sidewalk_821690_882a134e25"", ""phila_sidewalk_827410_882a134e25"", ""phila_sidewalk_876313_882a134e25"", ""phila_sidewalk_879895_882a134e25"", ""phila_sidewalk_890576_882a134e25"", ""phila_sidewalk_896043_882a134e25"", ""phila_sidewalk_923320_882a134f1b"", ""phila_sidewalk_930637_882a134e25"", ""phila_sidewalk_932401_882a134e25"", ""phila_sidewalk_937913_882a134f1b"", ""phila_sidewalk_937977_882a134e25"", ""phila_sidewalk_939001_882a134e25"", ""phila_sidewalk_941598_882a134e25"", ""phila_sidewalk_947226_882a134f1b"", ""phila_sidewalk_947764_882a134e2d"", ""phila_sidewalk_950599_882a134e25"", ""phila_sidewalk_950627_882a134e25"", ""phila_sidewalk_956041_882a134e25"", ""phila_sidewalk_987107_882a134e25"", ""phila_sidewalk_990569_882a134f1b"", ""phila_sidewalk_991478_882a134e25"", ""phila_sidewalk_994017_882a134f1b"", ""phila_sidewalk_994020_882a134f1b"", ""phila_sidewalk_994042_882a134e25"", ""phila_sidewalk_994220_882a134f1b"", ""phila_sidewalk_996135_882a134e25""]",
ee358f5a,us_philadelphia_sidewalks,"[{""ref_id"": ""bbd7f448-a5c5-4dcd-afaa-9adf85fb249f"", ""target_id"": ""phila_sidewalk_584053_882a134d09""}, {""ref_id"": ""bbd7f448-a5c5-4dcd-afaa-9adf85fb249f"", ""target_id"": ""phila_sidewalk_615836_882a134d09""}, {""ref_id"": ""bbd7f448-a5c5-4dcd-afaa-9adf85fb249f"", ""target_id"": ""phila_sidewalk_667958_882a134d09""}]",1:N,1,3,panel_unanimous_v7,2026-07-17T19:21:06.978274+00:00,us_philadelphia_sidewalks_physical_context_v8_20260717,pair,,,
08fac6b1,us_philadelphia_sidewalks,"[{""ref_id"": ""25d70657-a3d1-4c14-8efc-4fc6d46a404d"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""30d53dcd-8ca2-44c1-8cc7-fefe29267d81"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""39b1426c-7131-484d-991c-a6e190f8356b"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""435f8749-70f0-42f4-bf1c-7de5b3e5a24f"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""437ff6e5-7d2a-4bc6-8f62-ebf50a7632ed"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""46a8b189-ef62-4a4a-b297-ce955ec0c736"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""4ce5db46-efc6-4caa-827b-a0078360fe50"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""566ca579-6ff1-4dd6-87cf-0d611aef0c75"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""58f0b54e-9054-4152-8128-7c72bf23d609"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""6d17dd4f-a470-49d7-8d95-3bab427cfe2e"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""87d36e5b-49ba-4f73-ba4d-cd1304ab82e8"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""962cd22d-21ce-4bff-bccd-831997d400d8"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""9eff379b-5bdc-4854-87ff-2a13913da2b0"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""a45dd6e8-145e-46a0-bac9-225b7261720c"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""ac82fc53-1a5c-4164-91cf-e45a39e5653c"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""ba7d74e3-8bf5-42c6-b17c-350478f5f431"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""c245e5b9-5797-4c02-8ef3-01630b00734a"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""c355b410-3a7b-4980-8fa6-c4ca30cc113d"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""c9c10ba3-0852-4dd3-8b23-a7e7aa1e6f8e"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""d0c3a54b-4602-44f3-8a65-5893d5b9b08d"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""d5dc9010-cb9a-4939-8441-d14ee19f0189"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""d76c8679-77c8-472b-b9d1-46e71c1d691c"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""d9789603-dc33-44c5-ae64-5661a2bd3a71"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""db24ba3c-f2d4-444c-bb19-8109810340d2"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""e3df53ea-c1ff-4f7e-a3da-3b93f9bce020"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""f03725a1-f4cf-489d-81b7-328fef719b7b"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}, {""ref_id"": ""f32e337c-0c72-4bfe-8380-8d0639b4f690"", ""target_id"": ""phila_sidewalk_600905_882a13483d""}]",N:1,27,1,panel_unanimous_v7,2026-07-18T22:02:44.031901+00:00,us_philadelphia_sidewalks_bulk_v7_20260718,pair,,,
0c46e3cb,us_philadelphia_sidewalks,"[{""ref_id"": ""01a4bab7-8155-408d-b133-58ea60e9d91d"", ""target_id"": ""phila_sidewalk_561555_882a13413d""}, {""ref_id"": ""01a4bab7-8155-408d-b133-58ea60e9d91d"", ""target_id"": ""phila_sidewalk_606407_882a13413d""}, {""ref_id"": ""01a4bab7-8155-408d-b133-58ea60e9d91d"", ""target_id"": ""phila_sidewalk_651732_882a134135""}]",1:N,1,3,panel_unanimous_v7,2026-07-18T22:02:44.035124+00:00,us_philadelphia_sidewalks_bulk_v7_20260718,pair,,,
3dc6242b,us_philadelphia_sidewalks,"[{""ref_id"": ""5e9e4943-c828-44e2-821e-7088e1ef91ff"", ""target_id"": ""phila_sidewalk_648523_882a134d47""}, {""ref_id"": ""5e9e4943-c828-44e2-821e-7088e1ef91ff"", ""target_id"": ""phila_sidewalk_657673_882a134d47""}]",1:N,1,2,panel_unanimous_v7,2026-07-18T22:02:44.035968+00:00,us_philadelphia_sidewalks_bulk_v7_20260718,pair,,,
471a3f26,us_philadelphia_sidewalks,"[{""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_1001125_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_1014821_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_1019740_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_1020211_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_806905_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_806919_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_811481_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_811482_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_811485_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_811493_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_820165_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_820198_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_820208_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_824982_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_825731_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_869303_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_869306_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_873062_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_873080_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_877760_882a134525""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_877763_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_882018_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_926155_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_939390_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_943773_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_948129_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_953091_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_957218_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_957703_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_987470_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_996809_882a134e1b""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_996850_882a134e19""}, {""ref_id"": ""3e000357-371d-47c7-acb9-6148ef72adf7"", ""target_id"": ""phila_sidewalk_996854_882a134e19""}]",1:N,1,33,panel_unanimous_v7,2026-07-18T22:02:44.036752+00:00,us_philadelphia_sidewalks_bulk_v7_20260718,pair,,,
86b49770,us_philadelphia_sidewalks,"[{""ref_id"": ""8eebbebf-3ae3-4d79-a41c-6f41a30fcac7"", ""target_id"": ""phila_sidewalk_551222_882a134d47""}, {""ref_id"": ""8eebbebf-3ae3-4d79-a41c-6f41a30fcac7"", ""target_id"": ""phila_sidewalk_620778_882a134d47""}, {""ref_id"": ""8eebbebf-3ae3-4d79-a41c-6f41a30fcac7"", ""target_id"": ""phila_sidewalk_678743_882a134d47""}]",1:N,1,3,panel_unanimous_v7,2026-07-18T22:02:44.037544+00:00,us_philadelphia_sidewalks_bulk_v7_20260718,pair,,,
90bab0bb,us_philadelphia_sidewalks,"[{""ref_id"": ""0107555f-6220-47e9-bb39-a0c357192fcf"", ""target_id"": ""phila_sidewalk_564072_882a134b1b""}, {""ref_id"": ""0107555f-6220-47e9-bb39-a0c357192fcf"", ""target_id"": ""phila_sidewalk_626262_882a134b1b""}, {""ref_id"": ""0107555f-6220-47e9-bb39-a0c357192fcf"", ""target_id"": ""phila_sidewalk_626808_882a134b1b""}]",1:N,1,3,panel_unanimous_v7,2026-07-18T22:02:44.038332+00:00,us_philadelphia_sidewalks_bulk_v7_20260718,pair,,,
a2862948,us_philadelphia_sidewalks,"[{""ref_id"": ""83a130ac-260c-4e43-b45c-41498f09656b"", ""target_id"": ""phila_sidewalk_626006_882a134021""}, {""ref_id"": ""83a130ac-260c-4e43-b45c-41498f09656b"", ""target_id"": ""phila_sidewalk_672620_882a134021""}]",1:N,1,2,panel_unanimous_v7,2026-07-18T22:02:44.039125+00:00,us_philadelphia_sidewalks_bulk_v7_20260718,pair,,,
