group_id,dataset_id,selected_edges,match_type,num_refs,num_targets,labeler,labeled_at,session_id,label_semantics,ref_ids,target_ids,notes
2d0aa21a,us_usfs_flathead,"[{""ref_id"": ""99a05b87-9710-432c-a8ac-f148f0b35c0b"", ""target_id"": ""us_usfs_flathead_26628933_88289b51b5""}]",N:1,1,1,panel_unanimous_v3,2026-07-06T15:48:12.613455+00:00,us_usfs_flathead_earlysignal1,pair,,,
2e9224ee,us_usfs_flathead,"[{""ref_id"": ""4b628779-f329-4080-8010-c5f6223f9642"", ""target_id"": ""us_usfs_flathead_26365868_8812cb6b03""}, {""ref_id"": ""6ca6dcff-91d6-46fe-8e64-3db975497a5c"", ""target_id"": ""us_usfs_flathead_26365868_8812cb6b03""}]",N:1,2,1,panel_unanimous_v3,2026-07-06T15:48:12.617122+00:00,us_usfs_flathead_earlysignal1,pair,,,
bdb2b55e,us_usfs_flathead,"[{""ref_id"": ""148af2ea-fcc9-4330-97f3-ae466b194f37"", ""target_id"": ""us_usfs_flathead_26364921_88289b691d""}, {""ref_id"": ""148af2ea-fcc9-4330-97f3-ae466b194f37"", ""target_id"": ""us_usfs_flathead_26369143_88289b6917""}]",1:N,1,2,panel_unanimous_v3,2026-07-06T15:48:12.618596+00:00,us_usfs_flathead_earlysignal1,pair,,,
dde73dce,us_usfs_flathead,"[{""ref_id"": ""2c24a321-18f8-41e6-8b17-c4c048d7b7a9"", ""target_id"": ""us_usfs_flathead_26715838_8812cb4ae9""}, {""ref_id"": ""2c24a321-18f8-41e6-8b17-c4c048d7b7a9"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}, {""ref_id"": ""3c34e397-a4b1-4516-9959-3cae5ca07b57"", ""target_id"": ""us_usfs_flathead_26426983_8812cb688d""}, {""ref_id"": ""3c34e397-a4b1-4516-9959-3cae5ca07b57"", ""target_id"": ""us_usfs_flathead_26714624_8812cb6b15""}, {""ref_id"": ""3c34e397-a4b1-4516-9959-3cae5ca07b57"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}, {""ref_id"": ""65ee2736-4f77-486f-b925-8ad956fc6d99"", ""target_id"": ""us_usfs_flathead_26426983_8812cb688d""}, {""ref_id"": ""69c20a4f-65b8-43e7-a852-fb9107f8193a"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}, {""ref_id"": ""82b6604c-7f2c-4b38-aeb4-a9445af8035e"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}, {""ref_id"": ""96d33d5b-4cdf-4708-af22-eb3be93bc0fd"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}, {""ref_id"": ""bed63186-be36-4f86-b1c2-e0334c180f05"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}, {""ref_id"": ""d69374fb-046c-4a19-bda9-3a77d7ff3e42"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}, {""ref_id"": ""f8186e3f-ae76-4b95-bfb2-58cd000f2c32"", ""target_id"": ""us_usfs_flathead_26717200_8812cb4ea1""}]",M:N,9,4,panel_unanimous_v3,2026-07-06T15:48:12.619876+00:00,us_usfs_flathead_earlysignal1,pair,,,
ffd96faf,us_usfs_flathead,"[{""ref_id"": ""01696a64-dd43-477b-9c98-c02c2d7539ec"", ""target_id"": ""us_usfs_flathead_26625810_88289b46cd""}, {""ref_id"": ""bdada1d2-e2f8-4a7b-838e-031cf4c8d042"", ""target_id"": ""us_usfs_flathead_26625810_88289b46cd""}, {""ref_id"": ""e9ed42f0-7f1b-49b7-97b4-9b176e692f83"", ""target_id"": ""us_usfs_flathead_26625810_88289b46cd""}]",N:1,3,1,panel_unanimous_v3,2026-07-06T15:48:12.621045+00:00,us_usfs_flathead_earlysignal1,pair,,,
1455da36,us_usfs_flathead,"[{""ref_id"": ""3dfd61fd-822a-433d-93e2-95bbf1881c24"", ""target_id"": ""us_usfs_flathead_26713863_8812ca3335""}, {""ref_id"": ""afedf6da-3445-4c5a-a7f4-2e6f30e41920"", ""target_id"": ""us_usfs_flathead_26713863_8812ca3335""}]",N:1,2,1,panel_unanimous_v7,2026-07-18T22:02:47.390576+00:00,us_usfs_flathead_bulk_v7_20260718,pair,,,
1750bb54,us_usfs_flathead,"[{""ref_id"": ""398da802-5ec2-4764-b218-767faf2c822c"", ""target_id"": ""us_usfs_flathead_26547643_8812ca3301""}, {""ref_id"": ""a48c3107-f482-4e46-a0c2-b02cb87e5030"", ""target_id"": ""us_usfs_flathead_26547643_8812ca3301""}, {""ref_id"": ""d615caa6-d608-4ffd-9fbb-a2ca1e91b3ba"", ""target_id"": ""us_usfs_flathead_26547643_8812ca3301""}]",N:1,3,1,panel_unanimous_v7,2026-07-18T22:02:47.393923+00:00,us_usfs_flathead_bulk_v7_20260718,pair,,,
64f2d8d4,us_usfs_flathead,"[{""ref_id"": ""05a13188-bbf1-467b-b4d5-c4af7aca88d6"", ""target_id"": ""us_usfs_flathead_26627532_88289b49bd""}, {""ref_id"": ""05a13188-bbf1-467b-b4d5-c4af7aca88d6"", ""target_id"": ""us_usfs_flathead_26717117_8812cb4899""}, {""ref_id"": ""2b5c4c48-ce14-4cef-a3de-62e88f9f7632"", ""target_id"": ""us_usfs_flathead_26367111_88289b486d""}, {""ref_id"": ""2b5c4c48-ce14-4cef-a3de-62e88f9f7632"", ""target_id"": ""us_usfs_flathead_26627532_88289b49bd""}, {""ref_id"": ""2b5c4c48-ce14-4cef-a3de-62e88f9f7632"", ""target_id"": ""us_usfs_flathead_26716225_8812cb6b21""}, {""ref_id"": ""611845bd-8037-48cb-9ead-a8e4014fb9fa"", ""target_id"": ""us_usfs_flathead_26627532_88289b49bd""}, {""ref_id"": ""ae318b63-4c40-4daf-8c84-2d784067eec9"", ""target_id"": ""us_usfs_flathead_26540441_8812cb68bd""}, {""ref_id"": ""b9f64d4e-348f-4be8-8d7f-fa8a58a3b4fc"", ""target_id"": ""us_usfs_flathead_26717117_8812cb4899""}, {""ref_id"": ""f3622da0-ecd2-455e-85c8-ab5d9a5deebc"", ""target_id"": ""us_usfs_flathead_26540441_8812cb68bd""}, {""ref_id"": ""f3622da0-ecd2-455e-85c8-ab5d9a5deebc"", ""target_id"": ""us_usfs_flathead_26716225_8812cb6b21""}, {""ref_id"": ""f6e7ffcf-d35c-46b6-9b75-243ca2540028"", ""target_id"": ""us_usfs_flathead_26627532_88289b49bd""}]",M:N,7,5,panel_unanimous_v7,2026-07-18T22:02:47.394760+00:00,us_usfs_flathead_bulk_v7_20260718,pair,,,
83fd9a99,us_usfs_flathead,"[{""ref_id"": ""86c937cd-e744-4a6e-9bce-a780abe5f64b"", ""target_id"": ""us_usfs_flathead_26473685_8812cb485d""}]",1:N,1,1,panel_unanimous_v7,2026-07-18T22:02:47.395526+00:00,us_usfs_flathead_bulk_v7_20260718,pair,,,
a6b5e94b,us_usfs_flathead,"[{""ref_id"": ""23420c4b-fd1a-49ce-ad7f-88931d21e673"", ""target_id"": ""us_usfs_flathead_26623181_8812cb488d""}, {""ref_id"": ""5d562775-c2a7-4198-8ca4-33bb4d0522a2"", ""target_id"": ""us_usfs_flathead_26623181_8812cb488d""}]",N:1,2,1,panel_unanimous_v7,2026-07-18T22:02:47.396293+00:00,us_usfs_flathead_bulk_v7_20260718,pair,,,
