source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
au_sydney_roads_breadth_v7_20260714,66e22055,majority,B,"[[""d910f21d-02b5-417c-85ae-e0b3c419f8cb"", ""au_sydney_831180_88be0e3435""]]",human_review,3,3,muse=NONE,0.835,dissent:muse=NONE,af832c3686dffafc046a8e568ef10115bbca1947aa1f914f429faad474dfe04e,cd4d41524d7b50e21ebc16e7019aa2141670559a8c23c79786bc4405bfdd5a8e,d9e7c4a86b454b9d08d369a7bacb0cd7bc270d8267930f2bd0c8fe5a74387944,41a480c26eed648ef8b226415a0e5b2eaf2d3771ad27ba3aa619b415839ad56b,ebffa075695783b9706cec0e4abea8240d5203858e638cd343490635b335f9ff,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
au_sydney_roads_breadth_v7_20260714,7a09bb4b,majority,E,"[[""046616a3-8cdf-4715-b581-7ae3da862958"", ""au_sydney_834239_88be0e24dd""], [""046616a3-8cdf-4715-b581-7ae3da862958"", ""au_sydney_834249_88be0e24dd""], [""19c32ced-28fc-4fe9-8b88-51c5e681caef"", ""au_sydney_444539_88be0e26b5""], [""3ac45632-a0f9-43d3-9b21-e94e89a0d681"", ""au_sydney_834257_88be0e26b7""], [""3ecee748-4162-4340-8be8-2c8401cf1f6a"", ""au_sydney_834120_88be0e26b1""], [""5e2bdfba-7c53-4f81-bcaf-e5bb2d5ed31c"", ""au_sydney_2244301_88be0e24d1""], [""5e2bdfba-7c53-4f81-bcaf-e5bb2d5ed31c"", ""au_sydney_400157_88be0e24d1""], [""5e2bdfba-7c53-4f81-bcaf-e5bb2d5ed31c"", ""au_sydney_400158_88be0e24d1""], [""5e2bdfba-7c53-4f81-bcaf-e5bb2d5ed31c"", ""au_sydney_400160_88be0e24dd""], [""5e2bdfba-7c53-4f81-bcaf-e5bb2d5ed31c"", ""au_sydney_814535_88be0e24d1""], [""9d334596-1692-4af4-8b8d-45f9a2805cbf"", ""au_sydney_400164_88be0e24dd""], [""ac2ea482-1191-4384-9d35-78765103d0bb"", ""au_sydney_834183_88be0e26b1""], [""b2996430-93ba-4aa0-9826-c972117d7a3e"", ""au_sydney_834182_88be0e26b5""], [""cdff829e-f20e-4687-a11c-b648065932ae"", ""au_sydney_2745904_88be0e26b7""], [""cdff829e-f20e-4687-a11c-b648065932ae"", ""au_sydney_2745905_88be0e26b7""], [""cdff829e-f20e-4687-a11c-b648065932ae"", ""au_sydney_2745906_88be0e26b7""], [""e1f83ec7-7153-426d-af52-4eb601b27a47"", ""au_sydney_2241765_88be0e24dd""], [""e46ccf9d-7645-4fb8-a99f-6cfd412beb51"", ""au_sydney_2738214_88be0e24dd""], [""e46ccf9d-7645-4fb8-a99f-6cfd412beb51"", ""au_sydney_2738215_88be0e24dd""], [""e46ccf9d-7645-4fb8-a99f-6cfd412beb51"", ""au_sydney_2738216_88be0e24dd""], [""ed87fbd5-bb87-4c17-967a-b62ffa9c9608"", ""au_sydney_834119_88be0e26b1""], [""f84533df-3293-4e4b-a3ef-165c5a362152"", ""au_sydney_2241765_88be0e24dd""]]",human_review,3,3,muse=B,0.695,dissent:muse=B,ead39abcd343af78890211f23b3b0bc731d1216dade39113560079f96cd2589c,fa8d7864ff69d7aa3ad5581a7170723f6a67703c5d5305e45cce0d0902d273dd,b65cefe0a4d8a0fe23fa1e094544b3a7b0cd8f1915c5cd9e31960f41835f3835,0a162dac24b6ff5fc2bec9c8771c3d684778b4b044534f8604d8ce5ec402af11,1496b667cfc7991b13077f4019766de1106f3c21f0f66f59d50bfcc286debf61,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
au_sydney_roads_physical_context_v7_20260715_no_physical,fb8f359f,majority,NONE,[],human_review,3,3,muse=A,0.695,dissent:muse=A,535023c3ccdd7e915298b1ff439ea3ba93cbb474d3a6ccd8d01c7c6f2a18828d,eebe4c7c8506069ac17a3cfd4bcbfb2459fd8713458553b16bb840c43079a168,5eb093059fd663b67573cec26e3334790a857713a9bd2b34026e3ae755cc6b6d,0603d3d0028bf8e3257e363476af37675bb1596b894bc46c1aa9a86a74148394,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
au_sydney_roads_physical_context_v7_20260715_no_coincidence,fb8f359f,unanimous,NONE,[],human_review,3,3,,0.763,unanimous_none,4d6c950c705caf7f504997a0a00f51be22cd9fc89cb8b1d722c303553295921f,84fe739f433290f79ad3b9722189954c919702032efba10fb10711f97c3c6ef6,5eb093059fd663b67573cec26e3334790a857713a9bd2b34026e3ae755cc6b6d,0603d3d0028bf8e3257e363476af37675bb1596b894bc46c1aa9a86a74148394,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
au_sydney_roads_physical_context_v7_20260715_minimal,fb8f359f,unanimous,A,"[[""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_2549565_88be08c927""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_2549645_88be08c927""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_2549660_88be08c927""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_2741796_88be08c927""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_2741797_88be08c923""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_2741898_88be08c927""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_445995_88be08c927""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_833840_88be08c927""], [""b425e679-549c-40f7-9d35-fd19fc9a4845"", ""au_sydney_833859_88be08c927""], [""bd7c1082-f027-4b04-83a8-40d0ce4a0298"", ""au_sydney_445995_88be08c927""], [""bd7c1082-f027-4b04-83a8-40d0ce4a0298"", ""au_sydney_833859_88be08c927""], [""d359158f-bbfc-4bcc-9e85-f34981af0854"", ""au_sydney_833859_88be08c927""], [""d4823056-b88b-47ee-8add-5d9b99f2eab5"", ""au_sydney_2549608_88be08c923""], [""d4823056-b88b-47ee-8add-5d9b99f2eab5"", ""au_sydney_2549660_88be08c927""]]",human_review,3,3,,0.763,low_confidence,535023c3ccdd7e915298b1ff439ea3ba93cbb474d3a6ccd8d01c7c6f2a18828d,de8c01c64677da5169b00806ddc5d5c1237959fa341cf42035382fd75c3aba4c,5eb093059fd663b67573cec26e3334790a857713a9bd2b34026e3ae755cc6b6d,0603d3d0028bf8e3257e363476af37675bb1596b894bc46c1aa9a86a74148394,5eb093059fd663b67573cec26e3334790a857713a9bd2b34026e3ae755cc6b6d,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
au_sydney_roads_physical_context_v8_20260717,66e22055,unanimous,NONE,[],human_review,3,3,,0.763,unanimous_none,51805afc7ef1775ff2dab911498e5f053f22f4a7bd767a7d5779e7cbe2177157,73e926b0525ec1ead7ade2cec3d195577cfb6239bac7c34f274bb33372e22e7d,d9e7c4a86b454b9d08d369a7bacb0cd7bc270d8267930f2bd0c8fe5a74387944,41a480c26eed648ef8b226415a0e5b2eaf2d3771ad27ba3aa619b415839ad56b,NONE,f2d7d3789e08faacc05420ad1bf3aba0fce092eef1ab0264d769c7ff3a039113,d435d9ab07a20fe17beb7651e80941cf35feed533fa667b94104857ff461ec19
au_sydney_roads_physical_context_v8_20260717,750ae089,none,NONE,[],human_review,3,3,codex=A; muse=B,0.62,no_majority,d7d91150d9c080270329cf325bc4ca8ac1e7db81718a2e341222c6d814e8c7d3,ab399fce00fb78a2e8c114ed5dd1db1acaad4edaeed0e8eabcfa9a31919a42ea,0aca488538bf6086af1efcfa18cd73e34aede1f3133b2d8a1e39c2eb654d0d26,d1401d8b95d7be4acca59d6462cc381cb992bd092c6ed482c345d5e6cc029ecf,NONE,f2d7d3789e08faacc05420ad1bf3aba0fce092eef1ab0264d769c7ff3a039113,d435d9ab07a20fe17beb7651e80941cf35feed533fa667b94104857ff461ec19
au_sydney_roads_physical_context_v8_20260717,53bb11d7,unanimous,I,"[[""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2613868_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2742959_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2742968_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2742969_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2742970_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2743127_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2743136_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2744073_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2744075_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2744077_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2744079_88be085ad3""], [""519e739f-e600-4fa9-98fc-17aece50eb9f"", ""au_sydney_2744081_88be085ad3""]]",human_review,3,3,,0.823,class-mismatch,d001965eab46d36e091edb3acb17d7b9ac8c3c7497fb2b2d95001fa608a36db5,8a0ebd850bdab26343c250a20c82fd5a057df42f7bc7dc27e9262aa69f83bc72,ce5aca9c3b1414f5eb1529b68e776d64ba4bae41d0ff3e5b6fa0cd6922b06386,c52a6cad116759444d8d6feb6070a6b14336d7c35ceae1fc214594bf3f2ed795,87f40d14f3596fb1b072263a71000534f8b98a39e175502bbd46681ebdc3f638,f2d7d3789e08faacc05420ad1bf3aba0fce092eef1ab0264d769c7ff3a039113,d435d9ab07a20fe17beb7651e80941cf35feed533fa667b94104857ff461ec19
au_sydney_roads_physical_context_v8_20260717,1de025b8,none,C,"[[""0b84e324-502f-42b5-8d6b-293032050b49"", ""au_sydney_2746793_88be0e2515""], [""0b84e324-502f-42b5-8d6b-293032050b49"", ""au_sydney_2746803_88be0e2515""], [""218bae8f-c55a-44ae-b800-0f59d93debe8"", ""au_sydney_2746806_88be0e253b""], [""38a4de6f-ecb2-42de-95b6-3a1ec2b5e045"", ""au_sydney_2746791_88be0e2515""], [""38a4de6f-ecb2-42de-95b6-3a1ec2b5e045"", ""au_sydney_2746805_88be0e2531""], [""47d4fb92-d2ec-46d0-8e2f-934ff1df32f5"", ""au_sydney_2746697_88be0e253b""], [""47d4fb92-d2ec-46d0-8e2f-934ff1df32f5"", ""au_sydney_2746699_88be0e2531""], [""47d4fb92-d2ec-46d0-8e2f-934ff1df32f5"", ""au_sydney_2746800_88be0e2531""], [""6e5aa681-16c4-45dc-8e08-1e232bc5ace6"", ""au_sydney_2792267_88be0e2ee1""], [""6e5aa681-16c4-45dc-8e08-1e232bc5ace6"", ""au_sydney_824377_88be0e2ec7""], [""6e5aa681-16c4-45dc-8e08-1e232bc5ace6"", ""au_sydney_824378_88be0e2ec7""], [""919e3594-31fd-4287-8e3c-8751325642db"", ""au_sydney_2607646_88be0e253b""], [""96933bb1-9587-49f4-8728-2ff740ba3b7a"", ""au_sydney_2746685_88be0e253b""], [""96933bb1-9587-49f4-8728-2ff740ba3b7a"", ""au_sydney_2746697_88be0e253b""], [""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""au_sydney_2542403_88be0e2535""], [""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""au_sydney_2542404_88be0e2ecb""], [""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""au_sydney_2542409_88be0e2535""], [""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""au_sydney_2542410_88be0e2535""], [""f68a05ab-b8f2-453e-bb81-7081ca8168ad"", ""au_sydney_2746783_88be0e2531""]]",human_review,3,3,codex=NONE; muse=B,0.62,no_majority,bd75a6349623b86ccd27afdc4e84bcdf4c948baca872e37d826a15519820436e,3c84a539ab9e1fe8c9279d13c06c934080ddbeb2559bb81eb4e79b6c4d048bef,2071999cde65f5f9aed43c052423cefc371552c59f1abe78fbf700e45fb505de,58aa7b68f9ffa0fdb0dcfcafb5ec74d1a00b0d2ca5e763814a03b8d39b85306b,9e6897453025c76da9c12582156cbf96d691511dab9f922c3100cb794a80acfd,f2d7d3789e08faacc05420ad1bf3aba0fce092eef1ab0264d769c7ff3a039113,d435d9ab07a20fe17beb7651e80941cf35feed533fa667b94104857ff461ec19
au_sydney_roads_physical_context_v8_20260717,8f152b92,unanimous,B,"[[""371b27fd-0176-4b07-ae29-44561110ec52"", ""au_sydney_410481_88be0e3423""], [""371b27fd-0176-4b07-ae29-44561110ec52"", ""au_sydney_866444_88be0e3423""], [""954f385d-1acc-44a0-941b-00d4501255f7"", ""au_sydney_410481_88be0e3423""], [""954f385d-1acc-44a0-941b-00d4501255f7"", ""au_sydney_410526_88be0e3423""], [""f729725e-60d3-40c9-ae3c-ef53518d8b5c"", ""au_sydney_410481_88be0e3423""]]",human_review,3,3,,0.867,low_confidence,07de7bbd1500476725dd8b4730e7966a404bec369e26183f2319b18e2435d6c5,72d7b0fab7849f42be97b73e2b8bd2208c0115c89f6e124280f215b9ffb8929d,a01e1fc04037b48bb1832e3b8ebcb2f051756eed2206e5ca8435171db145f3bb,a6301bba4e53cc81a2fc35f2b623194c5b77954a6641c43bbb2490577c5dd256,0cf59d9bc9278effe8add468c728967bfd45eeadf286787cbc530305d05f54a7,f2d7d3789e08faacc05420ad1bf3aba0fce092eef1ab0264d769c7ff3a039113,d435d9ab07a20fe17beb7651e80941cf35feed533fa667b94104857ff461ec19
