source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
br_sao_paulo_roads_breadth_v7_20260714,7cc10db3,majority,C,"[[""a00cee78-8870-452e-9d55-7cc3b5f87e66"", ""sp_road_7350_88a8100eed""]]",human_review,3,3,claude=A,0.92,dissent:claude=A,359bc9910f80b3d3e475fa7ecab66ee0edc73e9b22a3d85d6cd1db15074138aa,d832bf6a6698255820f2ebb228161e6e06eef3fdc3584e2da28fcd25a932206e,957cf5d3c7d17da4f38378bf557a3406bd91941c669af389577c6df246b85e01,1a7174ac02acd64842bf4e838c9111a6cf3ecaa24c8a3e582471bbc0b19abb54,54bb91f3b9323fe5a3acdca1e3575f62ef584a005296ec0271d447f165cc7b2e,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
br_sao_paulo_roads_breadth_v7_20260714,e67638a5,majority,D,"[[""058d7bd6-311c-439b-b1cd-bc8b423a7741"", ""sp_road_25376_88a8100c07""], [""0c00c235-f29a-4851-bac4-10bc4c96a6a6"", ""sp_road_143162_88a8100c07""], [""17a483f4-bcc7-4104-bc31-8c679c3d53ad"", ""sp_road_4451_88a8100c07""], [""43a168ac-c8fc-427a-92ae-ceadac4a9fd2"", ""sp_road_32081_88a8100c07""], [""43a168ac-c8fc-427a-92ae-ceadac4a9fd2"", ""sp_road_80426_88a8100c07""], [""4ae39b13-b805-48a4-b312-8afdfdc5ba6f"", ""sp_road_28188_88a8100c01""], [""4ae39b13-b805-48a4-b312-8afdfdc5ba6f"", ""sp_road_70035_88a8100c03""], [""4ae39b13-b805-48a4-b312-8afdfdc5ba6f"", ""sp_road_99411_88a8100c03""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_141899_88a8100c21""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_50245_88a8100c21""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_52612_88a8100c2b""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_72666_88a8100c2b""], [""75f54647-cc03-4fb2-8cdc-ec6287173132"", ""sp_road_216441_88a8100c07""], [""88cae0f9-466e-43be-98be-131c586c94c1"", ""sp_road_143162_88a8100c07""], [""94036b2e-6bcf-48fa-b3a1-503df2b6ab1f"", ""sp_road_204638_88a8100c01""], [""bdab2679-d94b-458b-b3b9-32b65f48d2c8"", ""sp_road_195488_88a8100c07""], [""bdab2679-d94b-458b-b3b9-32b65f48d2c8"", ""sp_road_222174_88a8100c07""], [""e84436f3-7c22-4927-aec2-5812c02c260e"", ""sp_road_19838_88a8100c21""], [""eb05a766-75b8-4080-97c6-4d647bb6dc4b"", ""sp_road_44336_88a8100c2b""]]",human_review,3,2,,0.7,below_quorum:2,81e99764455967b1144b4a95e8d5d2d57c2efcb279b4a1f432538b6c5332fac0,3d497ccd79b8f0c26a3cee71c0cb8c3e43ae9274af6016b0e98f8ea02bb50cc1,e9db8adeeb9edd21a2f005660053dfe130d1da5dfee5ee0f2fc775eae79c63c4,202e6d6ff4604abd56ef04253c5030beb011ba6a7000469a0b2352a2baa6507e,5497c9e21d032175a2a0cd8b83ee74ffb3f4cc2d5cdd527884151f6024da3c6d,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
br_sao_paulo_roads_breadth_v7_retry1_20260714,e67638a5,unanimous,D,"[[""058d7bd6-311c-439b-b1cd-bc8b423a7741"", ""sp_road_25376_88a8100c07""], [""0c00c235-f29a-4851-bac4-10bc4c96a6a6"", ""sp_road_143162_88a8100c07""], [""17a483f4-bcc7-4104-bc31-8c679c3d53ad"", ""sp_road_4451_88a8100c07""], [""43a168ac-c8fc-427a-92ae-ceadac4a9fd2"", ""sp_road_32081_88a8100c07""], [""43a168ac-c8fc-427a-92ae-ceadac4a9fd2"", ""sp_road_80426_88a8100c07""], [""4ae39b13-b805-48a4-b312-8afdfdc5ba6f"", ""sp_road_28188_88a8100c01""], [""4ae39b13-b805-48a4-b312-8afdfdc5ba6f"", ""sp_road_70035_88a8100c03""], [""4ae39b13-b805-48a4-b312-8afdfdc5ba6f"", ""sp_road_99411_88a8100c03""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_141899_88a8100c21""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_50245_88a8100c21""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_52612_88a8100c2b""], [""4dc1ea89-2f4f-44dd-80b6-78fc03ae45ce"", ""sp_road_72666_88a8100c2b""], [""75f54647-cc03-4fb2-8cdc-ec6287173132"", ""sp_road_216441_88a8100c07""], [""88cae0f9-466e-43be-98be-131c586c94c1"", ""sp_road_143162_88a8100c07""], [""94036b2e-6bcf-48fa-b3a1-503df2b6ab1f"", ""sp_road_204638_88a8100c01""], [""bdab2679-d94b-458b-b3b9-32b65f48d2c8"", ""sp_road_195488_88a8100c07""], [""bdab2679-d94b-458b-b3b9-32b65f48d2c8"", ""sp_road_222174_88a8100c07""], [""e84436f3-7c22-4927-aec2-5812c02c260e"", ""sp_road_19838_88a8100c21""], [""eb05a766-75b8-4080-97c6-4d647bb6dc4b"", ""sp_road_44336_88a8100c2b""]]",human_review,3,3,,0.81,low_confidence,81e99764455967b1144b4a95e8d5d2d57c2efcb279b4a1f432538b6c5332fac0,953d6ecd8ecfa82120ed376224a74324e4d37742e40bdfa196a039432defd9da,e9db8adeeb9edd21a2f005660053dfe130d1da5dfee5ee0f2fc775eae79c63c4,202e6d6ff4604abd56ef04253c5030beb011ba6a7000469a0b2352a2baa6507e,5497c9e21d032175a2a0cd8b83ee74ffb3f4cc2d5cdd527884151f6024da3c6d,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
br_sao_paulo_roads_bulk_v7_20260718,0955d1e6,none,O,"[[""18615239-abeb-4923-b22a-e2b2ef73d231"", ""sp_road_96947_88a8100ecb""], [""2a32feed-344f-4e4e-8e1c-a469594aa4d1"", ""sp_road_106886_88a8100ecb""], [""b284c6d4-64be-48a8-9d0c-a10caf670a66"", ""sp_road_25444_88a8100ecb""], [""b48c03a3-a1d8-402e-8908-27faeb76370c"", ""sp_road_106886_88a8100ecb""], [""b48c03a3-a1d8-402e-8908-27faeb76370c"", ""sp_road_96947_88a8100ecb""]]",human_review,3,3,codex=E; muse=B,0.68,no_majority,d39324f063d1b20f0b05b1a9686b2cc9dad8a67775aeef59c69cae7f2a656321,b2f8966dd701bddcda38d2e6b3a54f8cd1d7073aad511582216d4e9877f1513b,d953e8e573275e5a914e80f8dd7ecf3d95ff127f981289502ad266ade65f9aa9,4f305a8a75c5e20cce2e823a597e82682bbcaa1f0eb4e8ea846187594536439f,d9a0012f648c165636b656f307316f96342d1c22d5f8a8d62a16ed3e38e9c365,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
br_sao_paulo_roads_bulk_v7_20260718,1009cc1e,unanimous,A,"[[""00076af1-9990-4163-ae24-6c4bfcd4174a"", ""sp_road_214373_88a8104493""], [""b27586d8-f18c-4dd2-9f28-7a837d35b102"", ""sp_road_214373_88a8104493""]]",auto_accept,3,3,,0.983,unanimous,81ca4dd0e07d156665411b0764f35abe1550256ce0eab3206038e3982556cc84,5bada43d0ab60805388ce0d2cfd3127626649fc1bfb6caeb9687d66bd9299273,4dd896938fd5785b7266653a5a33e95cdab9ba35154720d9d7dca10961824275,dc60115011c3a1cc3c265f45438227e31589338fdbe90432bbf92aaa6aefc66f,4dd896938fd5785b7266653a5a33e95cdab9ba35154720d9d7dca10961824275,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
br_sao_paulo_roads_bulk_v7_20260718,17a3e63e,majority,A,"[[""825221da-88eb-4764-9cb6-b755640bab0d"", ""sp_road_68699_88a8103b6b""], [""b8d61bbd-b43f-42f4-8912-2f9c3291aac8"", ""sp_road_68699_88a8103b6b""]]",human_review,3,3,muse=NONE,0.83,dissent:muse=NONE,9322266308e2cbed6ac6a25f614dcfc0c9f2504d0e12376e22f97aa1c20a7771,35a32acd457b85c50b286b9174dfdf8952ff62b459eff5088b591bb13ee85f39,2b6b0f314b494ad7ba88e103d47ba58ac3cb39ec41cb61f3aae764b2c66917f2,cd16a48b1dfa9b866b549764d1f5955be08f61efde05f9ff642703346b049f2c,2b6b0f314b494ad7ba88e103d47ba58ac3cb39ec41cb61f3aae764b2c66917f2,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
br_sao_paulo_roads_bulk_v7_20260718,201a7526,unanimous,NONE,[],human_review,3,3,,0.82,unanimous_none,34c96a67317c3706690a3125f3772d7a674a140226eb4468877c03211646514a,273a094477a4482afd4024a1642efd1535dcf8e24cd65d04ec663773856195a4,4fcc02d8fa3aff7743da7cf67055a1df3fda1ad4ece29f44a4d1dbeb86a26fa1,96be53f0c83be2365bc6321bda94f5cd90158feec6993fefd9aec637ba6d58fc,NONE,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
br_sao_paulo_roads_bulk_v7_20260718,24dd0359,none,L,"[[""14b178e5-3a32-429b-b7b5-d0b7edc2c051"", ""sp_road_218560_88a8100d19""], [""30d61d2d-9a27-451f-a487-6d3b0855bc33"", ""sp_road_131353_88a8100d19""], [""30d61d2d-9a27-451f-a487-6d3b0855bc33"", ""sp_road_133808_88a8100d19""], [""30d61d2d-9a27-451f-a487-6d3b0855bc33"", ""sp_road_155754_88a8100d19""], [""30d61d2d-9a27-451f-a487-6d3b0855bc33"", ""sp_road_168528_88a8100d19""], [""30d61d2d-9a27-451f-a487-6d3b0855bc33"", ""sp_road_193940_88a8100d19""], [""30d61d2d-9a27-451f-a487-6d3b0855bc33"", ""sp_road_35351_88a8100d19""], [""34c851c6-cabe-451b-8444-7b2d54e48a83"", ""sp_road_131353_88a8100d19""], [""34c851c6-cabe-451b-8444-7b2d54e48a83"", ""sp_road_155754_88a8100d19""], [""34c851c6-cabe-451b-8444-7b2d54e48a83"", ""sp_road_35351_88a8100d19""], [""3e058b7b-6424-43ae-b0f7-389d4db12c01"", ""sp_road_218560_88a8100d19""], [""7152c709-8c7d-47ba-a9dd-066e21c126c2"", ""sp_road_218560_88a8100d19""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_106818_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_109729_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_117170_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_11729_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_118083_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_126644_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_128405_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_129586_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_131779_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_133808_88a8100d19""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_140352_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_144093_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_168528_88a8100d19""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_179142_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_181772_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_193940_88a8100d19""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_22615_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_37229_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_7022_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_76502_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_85737_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_89833_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_9116_88a8100d1b""], [""9e7cadb4-54e5-4b04-987a-73468257d25c"", ""sp_road_92390_88a8100d1b""]]",human_review,3,1,,0.88,no_majority,4e970b001e7520024e071f77db592793ccdfb000743c64666a3a18cd20b1cca1,5fa50411e3fbcaa72a025fd001c8a9c27fd7d8b49fe016cded1bf1dcb92559f6,3c07cc097807106a13740c1ca329e84319a532a7179f1f534e807af1203eb12f,77d0a7e0334d451e37ceac4df7987e3c31adc9c8209b39610d40a2329bd9c1c7,3bbf5275123305b58fc147cbf547ee5d78e68edb2bf7744aa67bb3a5be09029d,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
br_sao_paulo_roads_bulk_v7_20260718,452c7c49,unanimous,A,"[[""0004a771-4520-4919-b298-01f8407d05c6"", ""sp_road_17004_88a810073d""], [""1460ab80-b7e4-4f7c-a291-bf699716b69c"", ""sp_road_17004_88a810073d""]]",auto_accept,3,3,,0.973,unanimous,76d92c07692e6a40d7edd664b1fc5aea2e6d35c4b32609d61957d8334916cd45,64236d45047335c790b85ab44ac2d181528aa07c1f3783e95cbab968754f3719,c5531e8d80643d75a1a40987c953f28a5832da81f2f418a7e6e06f79b92872e4,7ab2e3790978313cdf890324a351788e130aed905e699158194c6fe9cbb65789,c5531e8d80643d75a1a40987c953f28a5832da81f2f418a7e6e06f79b92872e4,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
br_sao_paulo_roads_bulk_v7_20260718,46b3f6d2,unanimous,A,"[[""1f7a990c-fb87-4e0b-b20b-15265985aa02"", ""sp_road_142070_88a8100c43""], [""1f7a990c-fb87-4e0b-b20b-15265985aa02"", ""sp_road_57116_88a8100c5d""], [""296b27bb-e5c2-4712-9b65-6b9546f98fcd"", ""sp_road_142070_88a8100c43""], [""296b27bb-e5c2-4712-9b65-6b9546f98fcd"", ""sp_road_57116_88a8100c5d""]]",human_review,3,3,,0.81,low_confidence,876cd5af01748ad0e7fee5c989065e185a69c29030e86ea0f80489665b13db17,aa747c239f86da7d26dfb04e3f20b79c003856e26cbfe4f3b96852fa81a91ccb,f53b1cdc73141f142ce09edc9760363b0e1e1d5fb92dbedf0b50717de4125d61,0e12d138582d33ef8ceb6ff4c36ec23e378aa8bc12a0cd319e921b2d8ffa635f,f53b1cdc73141f142ce09edc9760363b0e1e1d5fb92dbedf0b50717de4125d61,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
