source_batch,group_id,provider,model,choice,confidence,reasoning,edge_set,latency_s,timestamp,error,abstain_reason,invocation_route,evidence_delivery,pack_feedback,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,attempt,none_reason,desired_edges
co_bogota_bike_network_bulk_v7_20260718,21766729,claude,claude-opus-4-8,NONE,0.52,"Pixel analysis shows the red cycleway T1 runs centered between the two blue reference roads, offset ~6-7m from EACH centerline (R1 above, R2 below) throughout the overlap. R1 (Carrera 91, residential) and R2 (service) are two distinct corridors (corr R0 vs R1), not split carriageways of one facility — R2 curves into a service loop while R1 runs straight — so the single cycleway cannot be the same physical traveled way as both; Option A is impossible. Between B and C, the cycleway sits equidistant from both roads with a substantial lateral offset from each roadway centerline, a positive MI-4 indication that this cycleway-class facility is a physically separate cycle track in its own alignment rather than a same-pavement bike lane belonging to either road. It therefore matches neither R1 nor R2. All displayed edges are no-matches.",[],137.21,2026-07-18T11:36:53.862950+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""9e71dddfc6206c82bd0f057c0cb9f916587f0f3264e7e098e163b2ae63dc0340"",""assets"":[{""bytes"":41612,""path"":""option_A.png"",""sha256"":""7f948132e9fa7a79462c943975b94c810020aef054ea3bb88c931ff210573d4a""},{""bytes"":40872,""path"":""option_B.png"",""sha256"":""4c9b3545540ad8c37d3dcbf9411cbf7bd5bc53310eb8a044ddc76325d80fb963""},{""bytes"":41184,""path"":""option_C.png"",""sha256"":""979205be24151ba5997bc288d98f7ca41a12de369ab3ed0d327f2dd556947d02""},{""bytes"":39886,""path"":""overview.png"",""sha256"":""501f547dc6f8a384330392b71147755f340faaab925e4494898a1312787eec67""}],""delivery_mode"":""prompt_path_read"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""claude:Read""}",,b40bc35267488ecc6cbccd3765177f95af6c205a95b524c4b173c7bd2c30bba0,499cc45e84cf617741c787715ccdd80f5955af7123cddfbcdb15ab5a54dd9234,00f2d8a88cdb9de04f952e83c0ada8871c8666ff7c114df800c8b5f571edf4f7,646dddf10a4a692ed287422b05cbea8490071867c484886ee87603130daef275,NONE,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,all_edges_no_match,
co_bogota_bike_network_bulk_v7_20260718,21766729,codex,gpt-5.6-sol,C,0.9,"T1 follows the same aligned traveled way as R2 with complete target coverage and matching corridor geometry. R1 is a distinct parallel mainline, so accepting it would conflate neighboring facilities; the cycleway class alone does not defeat the structurally supported R2 match.","[[""bd12e673-0eb7-4e9c-8d66-41fb65ce3760"", ""bog_bike_55594_8866e42997""]]",85.27,2026-07-18T11:36:01.926642+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""9e71dddfc6206c82bd0f057c0cb9f916587f0f3264e7e098e163b2ae63dc0340"",""assets"":[{""bytes"":41612,""path"":""option_A.png"",""sha256"":""7f948132e9fa7a79462c943975b94c810020aef054ea3bb88c931ff210573d4a""},{""bytes"":40872,""path"":""option_B.png"",""sha256"":""4c9b3545540ad8c37d3dcbf9411cbf7bd5bc53310eb8a044ddc76325d80fb963""},{""bytes"":41184,""path"":""option_C.png"",""sha256"":""979205be24151ba5997bc288d98f7ca41a12de369ab3ed0d327f2dd556947d02""},{""bytes"":39886,""path"":""overview.png"",""sha256"":""501f547dc6f8a384330392b71147755f340faaab925e4494898a1312787eec67""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""codex:-i""}",,b40bc35267488ecc6cbccd3765177f95af6c205a95b524c4b173c7bd2c30bba0,499cc45e84cf617741c787715ccdd80f5955af7123cddfbcdb15ab5a54dd9234,00f2d8a88cdb9de04f952e83c0ada8871c8666ff7c114df800c8b5f571edf4f7,646dddf10a4a692ed287422b05cbea8490071867c484886ee87603130daef275,c17e97498fe1c6951da01e249f92c82394f2b87140b1a748bd5498dc8f878a3b,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
co_bogota_bike_network_bulk_v7_20260718,21766729,muse,meta/muse-spark-1.1,NONE,0.78,"Both edges R1->T1 and R2->T1 pair target cycleway T1 with road refs (R1 residential Carrera 91, R2 service). Overview shows R1 and R2 are distinct parallel facilities ~5-10m apart, not shared pavement, with T1 positioned intermediately between them. In option B, order north-south is R1/T1/R2-dashed; in option C, R1-dashed/T1/R2. T1 is not coincident with either road centerline but offset, indicating a physically separated track in the road/service strip, not a same-pavement painted/sharrow/flexpost lane. Per MI-4 a raised/curbed cycle track is a separate feature and matches only a corresponding cycleway, not a road; per MI-1/MI-6 replacement changes role. Low conf 0.144 aligns. No evidence of same-pavement bike lane; therefore both edges are no-match. No option represents empty set.",[],73.04,2026-07-18T11:35:49.695673+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""9e71dddfc6206c82bd0f057c0cb9f916587f0f3264e7e098e163b2ae63dc0340"",""assets"":[{""bytes"":41612,""path"":""option_A.png"",""sha256"":""7f948132e9fa7a79462c943975b94c810020aef054ea3bb88c931ff210573d4a""},{""bytes"":40872,""path"":""option_B.png"",""sha256"":""4c9b3545540ad8c37d3dcbf9411cbf7bd5bc53310eb8a044ddc76325d80fb963""},{""bytes"":41184,""path"":""option_C.png"",""sha256"":""979205be24151ba5997bc288d98f7ca41a12de369ab3ed0d327f2dd556947d02""},{""bytes"":39886,""path"":""overview.png"",""sha256"":""501f547dc6f8a384330392b71147755f340faaab925e4494898a1312787eec67""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""opencode:-f""}",,b40bc35267488ecc6cbccd3765177f95af6c205a95b524c4b173c7bd2c30bba0,499cc45e84cf617741c787715ccdd80f5955af7123cddfbcdb15ab5a54dd9234,00f2d8a88cdb9de04f952e83c0ada8871c8666ff7c114df800c8b5f571edf4f7,646dddf10a4a692ed287422b05cbea8490071867c484886ee87603130daef275,NONE,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,all_edges_no_match,
co_bogota_bike_network_bulk_v7_20260718,24186713,claude,claude-opus-4-8,A,0.96,"R1 is a single cycleway centerline spanning the corridor; T1 and T2 are two consecutive segments of the same cycleway that tile R1's extent (T2 the western ~0.52, T1 the eastern ~0.40). Both are same-direction, same-role ALONG matches on the same traveled way — a legitimate 1:N split-representation (MI-2). No parallel/separated-facility indication and no conflict between the two, so both edges are kept (SA-2). Option A contains exactly {R1-T1, R1-T2}.","[[""119aec07-2b9a-4241-bfe5-cc0eb23b2aee"", ""bog_bike_53870_8866e429d3""], [""119aec07-2b9a-4241-bfe5-cc0eb23b2aee"", ""bog_bike_56354_8866e429d3""]]",17.61,2026-07-18T11:37:11.509977+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""36847efd6a19f0b96ff0de45d82c3ad15bd7671dd9f1c689ce02206f83950d83"",""assets"":[{""bytes"":46635,""path"":""option_A.png"",""sha256"":""1c19a94136d41041dea8123899bbe907921571c0c36dc75ce01b6f255f479e48""},{""bytes"":45943,""path"":""option_B.png"",""sha256"":""c8615b7e0f17e0650fa0e9e35598b4f47922013882cbfc8dbdeee0bbbbffee2e""},{""bytes"":46184,""path"":""option_C.png"",""sha256"":""d6d8a44ea991901d3f044f7c21324dbc71d15ee108ee5544e3b33a787cc8f077""},{""bytes"":45209,""path"":""overview.png"",""sha256"":""7938b0c93c9f842e772933deeade9e777f06dde827443343a187dba715fac2fb""}],""delivery_mode"":""prompt_path_read"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""claude:Read""}",,c038f6c3114bdce3c23cf0bae91cb1c17e80ddb1ec56a0347450ec0d4f52ba06,dff52bca0c3e39cfbb74491d0dfb826812143e1bcdda2b3674a7ef218fb4f405,eaa72bde1becb32dc395c3429406cd2e5c836f7876fbe5e15cbf0379afc5408d,f04ab6ef1c6352b0dd0b0800f5e8b0ad06f9824c8816778410a914d8c3126b50,eaa72bde1becb32dc395c3429406cd2e5c836f7876fbe5e15cbf0379afc5408d,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
co_bogota_bike_network_bulk_v7_20260718,24186713,codex,gpt-5.6-sol,A,0.99,"T2 and T1 are consecutive, fully aligned target segments that partition the same cycleway represented by R1; both edges are legitimate segmentation-based 1:N matches.","[[""119aec07-2b9a-4241-bfe5-cc0eb23b2aee"", ""bog_bike_53870_8866e429d3""], [""119aec07-2b9a-4241-bfe5-cc0eb23b2aee"", ""bog_bike_56354_8866e429d3""]]",9.65,2026-07-18T11:37:03.552446+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""36847efd6a19f0b96ff0de45d82c3ad15bd7671dd9f1c689ce02206f83950d83"",""assets"":[{""bytes"":46635,""path"":""option_A.png"",""sha256"":""1c19a94136d41041dea8123899bbe907921571c0c36dc75ce01b6f255f479e48""},{""bytes"":45943,""path"":""option_B.png"",""sha256"":""c8615b7e0f17e0650fa0e9e35598b4f47922013882cbfc8dbdeee0bbbbffee2e""},{""bytes"":46184,""path"":""option_C.png"",""sha256"":""d6d8a44ea991901d3f044f7c21324dbc71d15ee108ee5544e3b33a787cc8f077""},{""bytes"":45209,""path"":""overview.png"",""sha256"":""7938b0c93c9f842e772933deeade9e777f06dde827443343a187dba715fac2fb""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""codex:-i""}",,c038f6c3114bdce3c23cf0bae91cb1c17e80ddb1ec56a0347450ec0d4f52ba06,dff52bca0c3e39cfbb74491d0dfb826812143e1bcdda2b3674a7ef218fb4f405,eaa72bde1becb32dc395c3429406cd2e5c836f7876fbe5e15cbf0379afc5408d,f04ab6ef1c6352b0dd0b0800f5e8b0ad06f9824c8816778410a914d8c3126b50,eaa72bde1becb32dc395c3429406cd2e5c836f7876fbe5e15cbf0379afc5408d,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
co_bogota_bike_network_bulk_v7_20260718,24186713,muse,meta/muse-spark-1.1,A,0.99,"Both candidate edges are same physical cycleway with different segmentation. R1 overlaps 39.8% (85.5m) with T1 and 51.7% (111.2m) with T2, sum ~91.5% tiling R1, each target fully covered (tgt_aln=1.0). Same class cycleway, collinear in overview along highway frontage, no parallel-facility or role conflict per MI-1, MI-2, MI-4. Edges are identity-compatible and non-conflicting, so 1:N M:N structure must be preserved per SA-2. Exact accepted set {R1->T1,R1->T2} equals Option A.","[[""119aec07-2b9a-4241-bfe5-cc0eb23b2aee"", ""bog_bike_53870_8866e429d3""], [""119aec07-2b9a-4241-bfe5-cc0eb23b2aee"", ""bog_bike_56354_8866e429d3""]]",21.84,2026-07-18T11:37:15.736709+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""36847efd6a19f0b96ff0de45d82c3ad15bd7671dd9f1c689ce02206f83950d83"",""assets"":[{""bytes"":46635,""path"":""option_A.png"",""sha256"":""1c19a94136d41041dea8123899bbe907921571c0c36dc75ce01b6f255f479e48""},{""bytes"":45943,""path"":""option_B.png"",""sha256"":""c8615b7e0f17e0650fa0e9e35598b4f47922013882cbfc8dbdeee0bbbbffee2e""},{""bytes"":46184,""path"":""option_C.png"",""sha256"":""d6d8a44ea991901d3f044f7c21324dbc71d15ee108ee5544e3b33a787cc8f077""},{""bytes"":45209,""path"":""overview.png"",""sha256"":""7938b0c93c9f842e772933deeade9e777f06dde827443343a187dba715fac2fb""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""opencode:-f""}",,c038f6c3114bdce3c23cf0bae91cb1c17e80ddb1ec56a0347450ec0d4f52ba06,dff52bca0c3e39cfbb74491d0dfb826812143e1bcdda2b3674a7ef218fb4f405,eaa72bde1becb32dc395c3429406cd2e5c836f7876fbe5e15cbf0379afc5408d,f04ab6ef1c6352b0dd0b0800f5e8b0ad06f9824c8816778410a914d8c3126b50,eaa72bde1becb32dc395c3429406cd2e5c836f7876fbe5e15cbf0379afc5408d,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
co_bogota_bike_network_bulk_v7_20260718,243af541,claude,claude-opus-4-8,A,0.93,"R1 is a long reference cycleway ('Alameda el Porvenir') whose corridor covers the whole path. T1 and T2 are two consecutive, non-overlapping target cycleway segments that tile the same curved traveled way — T2 covers the upper span and T1 the lower span, meeting end-to-end. Both are same-facility, same-role ALONG matches to R1 (each tgt_aln=1.0, full overlap ~113-116m), differing only in segmentation. This is legitimate 1:N split structure (MI-2/SA-2): R1 matches each constituent target split. There is no lateral parallel offset or role conflict; the two targets are collinear continuations, not competing carriageways. Both edges e1 and e2 are accepted, matching Option A exactly.","[[""d40ab8f0-2527-404e-b7a4-e92f20cb24a1"", ""bog_bike_55017_8866e09167""], [""d40ab8f0-2527-404e-b7a4-e92f20cb24a1"", ""bog_bike_55745_8866e09167""]]",29.38,2026-07-18T11:37:45.150482+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""b4397faf39ceb9997791d05f2f4e72a12e0ad965d7b1c5d5499d84926e4c7a17"",""assets"":[{""bytes"":28719,""path"":""option_A.png"",""sha256"":""6f771683433c01856473bd29819bd7cbef06b2fd123b5f0f6e0a9d527b40c4c0""},{""bytes"":28017,""path"":""option_B.png"",""sha256"":""00366af3fdee38e178d9f206694ad5e26038a9b4413ba91f99255324f81cce81""},{""bytes"":28370,""path"":""option_C.png"",""sha256"":""c236d949ff7bdce173ef1126c5f2939608eca586ae962703737b52aa4c2918e7""},{""bytes"":27439,""path"":""overview.png"",""sha256"":""24997afb19863ddfa0649c6b9e70583f34dd07c9a14bec3d4959917a0de88856""}],""delivery_mode"":""prompt_path_read"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""claude:Read""}",,cce2cfe0043d60574f826e0fb992765174247e2e8ccd96f8aca57334294a438a,0bae6d8206275ac13f700af4591472ec2bc08a898de9b64a893b07c74e1f8ba0,604f792abd0c1f7db0039fe73b9803cae685f9ca1e58c44e53ea67e5187206d9,5c69cc318ca72f72c3d366feb69bf13c62226222c8a8ccb46fbd5428ced8569e,604f792abd0c1f7db0039fe73b9803cae685f9ca1e58c44e53ea67e5187206d9,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
co_bogota_bike_network_bulk_v7_20260718,243af541,codex,gpt-5.6-sol,A,0.99,"T1 and T2 are contiguous target segments that partition the same aligned cycleway represented by R1; both are same-direction, same-role overlaps and form a legitimate 1:N match.","[[""d40ab8f0-2527-404e-b7a4-e92f20cb24a1"", ""bog_bike_55017_8866e09167""], [""d40ab8f0-2527-404e-b7a4-e92f20cb24a1"", ""bog_bike_55745_8866e09167""]]",9.07,2026-07-18T11:37:24.840009+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""b4397faf39ceb9997791d05f2f4e72a12e0ad965d7b1c5d5499d84926e4c7a17"",""assets"":[{""bytes"":28719,""path"":""option_A.png"",""sha256"":""6f771683433c01856473bd29819bd7cbef06b2fd123b5f0f6e0a9d527b40c4c0""},{""bytes"":28017,""path"":""option_B.png"",""sha256"":""00366af3fdee38e178d9f206694ad5e26038a9b4413ba91f99255324f81cce81""},{""bytes"":28370,""path"":""option_C.png"",""sha256"":""c236d949ff7bdce173ef1126c5f2939608eca586ae962703737b52aa4c2918e7""},{""bytes"":27439,""path"":""overview.png"",""sha256"":""24997afb19863ddfa0649c6b9e70583f34dd07c9a14bec3d4959917a0de88856""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""codex:-i""}",,cce2cfe0043d60574f826e0fb992765174247e2e8ccd96f8aca57334294a438a,0bae6d8206275ac13f700af4591472ec2bc08a898de9b64a893b07c74e1f8ba0,604f792abd0c1f7db0039fe73b9803cae685f9ca1e58c44e53ea67e5187206d9,5c69cc318ca72f72c3d366feb69bf13c62226222c8a8ccb46fbd5428ced8569e,604f792abd0c1f7db0039fe73b9803cae685f9ca1e58c44e53ea67e5187206d9,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
co_bogota_bike_network_bulk_v7_20260718,243af541,muse,meta/muse-spark-1.1,A,0.99,"Both edges pass MI-1 to MI-6: R1 (Alameda el Porvenir, cycleway) and T1/T2 (cycleway) are co-linear, same-direction, same-role, same facility. tgt_aln=1.0 for both, overlap ~113-116m each, ref_aln ~0.09 each because R1 is very long. T1 and T2 are contiguous sequential pieces forming a continuous subline of R1 - classic segmentation difference. No evidence of separate parallel carriageways or different roles. SA-2 requires preserving legitimate M:N structure, so both edges must be kept. Option A contains all and only the valid edges.","[[""d40ab8f0-2527-404e-b7a4-e92f20cb24a1"", ""bog_bike_55017_8866e09167""], [""d40ab8f0-2527-404e-b7a4-e92f20cb24a1"", ""bog_bike_55745_8866e09167""]]",18.68,2026-07-18T11:37:34.450389+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""b4397faf39ceb9997791d05f2f4e72a12e0ad965d7b1c5d5499d84926e4c7a17"",""assets"":[{""bytes"":28719,""path"":""option_A.png"",""sha256"":""6f771683433c01856473bd29819bd7cbef06b2fd123b5f0f6e0a9d527b40c4c0""},{""bytes"":28017,""path"":""option_B.png"",""sha256"":""00366af3fdee38e178d9f206694ad5e26038a9b4413ba91f99255324f81cce81""},{""bytes"":28370,""path"":""option_C.png"",""sha256"":""c236d949ff7bdce173ef1126c5f2939608eca586ae962703737b52aa4c2918e7""},{""bytes"":27439,""path"":""overview.png"",""sha256"":""24997afb19863ddfa0649c6b9e70583f34dd07c9a14bec3d4959917a0de88856""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""opencode:-f""}",,cce2cfe0043d60574f826e0fb992765174247e2e8ccd96f8aca57334294a438a,0bae6d8206275ac13f700af4591472ec2bc08a898de9b64a893b07c74e1f8ba0,604f792abd0c1f7db0039fe73b9803cae685f9ca1e58c44e53ea67e5187206d9,5c69cc318ca72f72c3d366feb69bf13c62226222c8a8ccb46fbd5428ced8569e,604f792abd0c1f7db0039fe73b9803cae685f9ca1e58c44e53ea67e5187206d9,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
co_bogota_bike_network_bulk_v7_20260718,256c9595,claude,claude-opus-4-8,A,0.68,"R1 is a long L-shaped footway; T1 and T2 are two cycleway segments that lie directly coincident on R1's western span (red overlaying the blue centerline). In options B and C the two targets occupy adjacent, non-overlapping portions of R1's western corridor (T1 lower-left, T2 just to its right), so they tile the same traveled way rather than competing. This is legitimate 1:N structure (MI-2): one reference centerline matching each constituent target split along the corridor. The footway/cycleway class difference reads as a shared pedestrian/cycle path on the same pavement, and there is no positive indication of physical separation (lateral offset, layer/bridge stack, or a competing separately-mapped representation) to defeat the same-way reading. Both edges are same-direction, same-role coincident sublines; the small ref_aln fractions just reflect that each target covers only a portion of the much longer R1. Accept both edges.","[[""25f3a9bb-c763-4c6f-96a9-6dc2d8f3ac32"", ""bog_bike_54614_8866e091cb""], [""25f3a9bb-c763-4c6f-96a9-6dc2d8f3ac32"", ""bog_bike_54907_8866e091cb""]]",30.1,2026-07-18T11:38:15.283737+00:00,,,,"{""asset_count"":4,""asset_set_sha256"":""18d1c1945c2eb633cce4c3f3d9cecf4c789cbfa2c74ae041afebead57c5ebc1b"",""assets"":[{""bytes"":51691,""path"":""option_A.png"",""sha256"":""69204235569d6c631417388e1ce2be96b7a4cf8964e8d82d59ea720bb0814144""},{""bytes"":51199,""path"":""option_B.png"",""sha256"":""d42d183ead2dad8e04674b98a562b617356d50cd9f7b79ceb6b89ecdabe253f9""},{""bytes"":51535,""path"":""option_C.png"",""sha256"":""a48ac607790143836aecbd894a0116e3e5e6759150ebc285a92cd22797673b08""},{""bytes"":50463,""path"":""overview.png"",""sha256"":""242d43164d68adfa2a9ff9fa94a2e92d39ce6aeb3ff692a5647ce752c1abff58""}],""delivery_mode"":""prompt_path_read"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""claude:Read""}",,640c2f397405ea1074b738c4b7abaf53e0834af0dfdb5d4a255a2c1a67804813,a22a3fa8f3e590d1d0d8ee51eaf7778f2f01b90587a2aa7e6643518b124f30c5,d4442ea3fcbbd55dcd7c02cff0534cdaec3f97e4f9b2f3d0a04cbf1a52815e13,7f2b46e84d92f788f56cdc8b1e67bbfb6fb5599208b5a1bd9cef88895229a6d8,d4442ea3fcbbd55dcd7c02cff0534cdaec3f97e4f9b2f3d0a04cbf1a52815e13,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1,,
