source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
gb_london_roads_physical_context_v7_20260715_minimal,1b90f03b,majority,A,"[[""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_5E3AA631-174C-4084-A984-2B994900312F_88194e6831""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_80CE17D8-D8C6-47A2-B298-B4C7C46932BB_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_A0ECA804-659D-48FE-BED5-CC1EA70C2FF4_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_A597FACE-56A6-44F4-B8C3-457F42D9AC8B_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_B4F8B997-74C0-4F8D-A4CF-5C47EA91A6B0_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_BADAA977-95B4-46BD-BCAA-5B02226195E8_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_D2476A0D-47F0-4949-8F58-F2351897E030_88194e6831""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_D5A545B2-0C96-4CAD-8D8A-5250DAFA74E3_88194e6839""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_5E3AA631-174C-4084-A984-2B994900312F_88194e6831""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_BA3BFB22-8790-4A46-B1F3-BF46A635025D_88194e6835""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_C5537016-4D63-4BBA-9F99-07F1F1718E68_88194e6835""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_D72314B0-8E50-4236-BA28-E9206BDBBDC9_88194e6831""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_EA6EC5D7-851F-459E-A5EC-8890C4FF59F6_88194e6831""], [""b8259d73-5539-4498-8e1a-3c440fd0266d"", ""gb_london_BADAA977-95B4-46BD-BCAA-5B02226195E8_88194e6839""]]",human_review,3,3,codex=NONE,0.67,dissent:codex=NONE,4a780678a63aa86aa05f8d7fc5b95677eb03825d23e6e02b9877b4bf77c83c83,9fe52ed17f4c6198f75aa232822523d9ad34a6646bafd82d42807c68c7d63666,d3f322c2ab46e9fa8729ed99f5198d54d42069d6285b4151052b0719c1c7fef7,ed29fe5ff0cc1ddc42cd0d61a1c494cfefd0136e7a8a85a098dff44f266b42c0,d3f322c2ab46e9fa8729ed99f5198d54d42069d6285b4151052b0719c1c7fef7,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v7_20260715,91570f54,unanimous,A,"[[""e313e3a2-3dcf-4c1e-907a-dbf42b6b9049"", ""gb_london_266E2CA7-EE39-4907-92E6-39CEAE0FC2B8_88194ad339""], [""e5b3e829-d6c4-4439-9b3c-3359997f4eb4"", ""gb_london_266E2CA7-EE39-4907-92E6-39CEAE0FC2B8_88194ad339""]]",auto_accept,3,3,,0.9,unanimous,19cb6ee74c9b3c949ebcf0dd3187338149bd265a17de6b7a1510ba0d846ce446,5abe762c961120b7e6b824444abc2c20f97e6b9a9b2b781109575bd8dbb6867b,85f0d20886da254fd94c8f4d8d5fb49cf13616b46a973d3e425b2b0a3bda531d,265f48d76b6ff33ff271170891f05f3df701203fcb2ee3b1d2434a6902c6b71c,85f0d20886da254fd94c8f4d8d5fb49cf13616b46a973d3e425b2b0a3bda531d,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v7_20260715,ea25e0bd,majority,D,"[[""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_08B59B91-D382-48EF-B805-D31B8A9EEDD5_88195d3607""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_10B69C08-6648-4AFB-975F-84C4129E4D08_88195d3605""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_8A6B20A8-55A2-4C37-A33E-B4E0989363DA_88195d3607""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_B34D12A4-DCA4-430A-B3B4-CF43A8AC0330_88195d3607""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_CC969CF0-F276-4DC8-9BED-5589DE336F90_88195d3605""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_CF0530B6-32C3-4B03-A723-D0985A23E8CB_88195d3605""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_E7C1263F-7522-450D-89C6-CA04BDB0EB87_88195d3605""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_E9B54D2E-B83A-42D2-AEDB-12B627034C04_88195d3607""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_EB8119FF-9E39-4FC4-A7A3-CDED7B11CE70_88195d3605""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_EC422786-6CB2-411E-9B53-02DB55C23FAD_88195d3607""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_F02343C4-2CC0-4CB8-90C1-F47677648F48_88195d3607""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_F10022FF-D7B7-4A43-B487-40CCA99DA4EB_88195d3605""], [""76099e41-1997-4c59-b752-cc1363b16509"", ""gb_london_FCBA4F11-0E68-4C92-B7A6-41294AF7870E_88195d3605""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_2812C224-76D6-4A7E-B72E-7476ACA8D520_88195d3607""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_412BFBE3-74F3-4FFB-9044-5877864652C2_88195d3607""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_653BD5AB-2F22-45AE-BF5A-1D58B4EF4EFD_88195d3607""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_813E5E80-509A-4D1F-ABAC-0EABAF1CFC55_88195d3607""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_81C9DF79-6F42-49C2-A058-386C5C4FC048_88195d3607""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_BC6AD7A0-DCBF-495D-A77E-D2592435B974_88195d3607""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_BE3D12C3-A2C9-4A57-B2F0-4625EC986F83_88195d3607""], [""92b61edd-18df-40e0-b26f-7af52d93a013"", ""gb_london_FE1186FB-74C2-43A5-8E86-CBAAB75A8C14_88195d3607""], [""bb442e90-562a-4442-9b34-8d5d567843cb"", ""gb_london_A96B4F23-2141-4FF4-BFA2-BCEC9CC50E97_88195d3607""], [""bb442e90-562a-4442-9b34-8d5d567843cb"", ""gb_london_D704F688-5A36-4EA5-AD39-DC62540B62C0_88195d3607""], [""e081495c-5a17-4985-af39-c9afca4b0936"", ""gb_london_2812C224-76D6-4A7E-B72E-7476ACA8D520_88195d3607""], [""e081495c-5a17-4985-af39-c9afca4b0936"", ""gb_london_75DACDC4-652C-46B0-90FF-E4F02FBBCBA7_88195d3607""], [""e081495c-5a17-4985-af39-c9afca4b0936"", ""gb_london_8052F9BC-9573-4F75-8ADE-75650097B3EE_88195d3607""], [""e081495c-5a17-4985-af39-c9afca4b0936"", ""gb_london_A743C28C-B87B-4876-826F-54F88E768ADB_88195d3607""]]",human_review,3,3,muse=NONE,0.71,dissent:muse=NONE,76265c6f5bd05f2b2a06d1530b6199bc9f15dbee6d6e7b0b6c08224bf6b1f4e7,91665d6f5308f7ff5097fc04df5db3fe6e751c8c0d3f7cd5e085e9f99e6d1a8d,e535d082705a62b6895a6247ac618a2058eacdf49c3d37654e23bb5c04276919,786ee64420d872120f48f7198a0b19963c82ce557132d841f80c52e5092b4243,3b36f16c88139e7988fa3545d11d1d68ac05ceef508e6dde7013f13dfd1354b8,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v7_20260715,729f879b,majority,A,"[[""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_10B69C08-6648-4AFB-975F-84C4129E4D08_88195d3605""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_3EF59AD0-45C2-4280-AA2B-E37087E438F2_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_42778A95-0476-41D5-8EDD-24A7E74EA6EE_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_4D76C43C-6FFD-448F-B1CF-7F94A043CD57_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_8A6B20A8-55A2-4C37-A33E-B4E0989363DA_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_A96934EB-4A38-4A1D-B835-66017C799552_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_B34D12A4-DCA4-430A-B3B4-CF43A8AC0330_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_B6323211-9B1F-41E7-8C71-E5450CA4B05F_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_B79CE100-B2A4-473E-A61F-3210AA337306_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_C84FDB53-87D7-45CA-9550-B45A559360E3_88195d3605""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_CC969CF0-F276-4DC8-9BED-5589DE336F90_88195d3605""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_D704F688-5A36-4EA5-AD39-DC62540B62C0_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_DAE65DD0-308F-4303-B125-258FB5D0D0CB_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_E7C1263F-7522-450D-89C6-CA04BDB0EB87_88195d3605""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_E9B54D2E-B83A-42D2-AEDB-12B627034C04_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_EB8119FF-9E39-4FC4-A7A3-CDED7B11CE70_88195d3605""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_F02343C4-2CC0-4CB8-90C1-F47677648F48_88195d3607""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_F10022FF-D7B7-4A43-B487-40CCA99DA4EB_88195d3605""], [""915ef620-6501-4897-93bf-d74fa1db3c6f"", ""gb_london_FCBA4F11-0E68-4C92-B7A6-41294AF7870E_88195d3605""]]",human_review,3,3,codex=G,0.68,dissent:codex=G,0717412f3f5ac19d524a7d19724465c16a95a40b89c4675615c97489148669eb,b474066a7fe1a85523d1efb2471ff0ccd4eb3bca7ed96f804d2185e0311e41ae,b2bbb461f4a0ee37b1e92b1b782c870a696757da15b9d3e8aaf07337cb8a89eb,238fa30b8b5ef69491ed7d83e66b71ed1f4e9c9eb0c8afc07893eed661f277d7,b2bbb461f4a0ee37b1e92b1b782c870a696757da15b9d3e8aaf07337cb8a89eb,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v7_20260715,e8a39e6d,majority,NONE,[],human_review,3,3,codex=B,0.57,dissent:codex=B,e27e72adf2d1e2ba10323eea95fd43773b052aaf594c4905d904e111019238db,143fb359a63cda78d7477bc0e82132faf3d52d21b4d5fd325ee720b0d8f9504a,1bf86bbe7a600cebbaa84999c7158d5bc197b208f7af9c5688db12f83f79fb95,733d883353d772c8c77dd7f771b4b7de67eaa7181e1ea5ed3a5b25d2de91eea5,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v7_20260715,1b90f03b,unanimous,NONE,[],human_review,3,3,,0.763,unanimous_none,c116d387d3078fe3079aa2bf46712abe9624d31eaf15aa01813f4d745d13abcd,3ff07c9842cc26933bcb640cc6c7733bee1b46a4a3090045212663556168b205,d3f322c2ab46e9fa8729ed99f5198d54d42069d6285b4151052b0719c1c7fef7,ed29fe5ff0cc1ddc42cd0d61a1c494cfefd0136e7a8a85a098dff44f266b42c0,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v7_20260715_no_physical,1b90f03b,majority,NONE,[],human_review,3,3,muse=G,0.725,dissent:muse=G,4a780678a63aa86aa05f8d7fc5b95677eb03825d23e6e02b9877b4bf77c83c83,4842f975f0ea916d39c9416697a775791a978b5b5b492785ecb895c487f6a67a,d3f322c2ab46e9fa8729ed99f5198d54d42069d6285b4151052b0719c1c7fef7,ed29fe5ff0cc1ddc42cd0d61a1c494cfefd0136e7a8a85a098dff44f266b42c0,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v7_20260715_no_coincidence,1b90f03b,unanimous,NONE,[],human_review,3,3,,0.773,unanimous_none,c116d387d3078fe3079aa2bf46712abe9624d31eaf15aa01813f4d745d13abcd,51b078930b1ad5f66cee5f33bd70ba631b6c0c91d38d87596170b413a7f53c27,d3f322c2ab46e9fa8729ed99f5198d54d42069d6285b4151052b0719c1c7fef7,ed29fe5ff0cc1ddc42cd0d61a1c494cfefd0136e7a8a85a098dff44f266b42c0,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
gb_london_roads_physical_context_v8_20260717_minimal,1b90f03b,unanimous,A,"[[""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_5E3AA631-174C-4084-A984-2B994900312F_88194e6831""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_80CE17D8-D8C6-47A2-B298-B4C7C46932BB_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_A0ECA804-659D-48FE-BED5-CC1EA70C2FF4_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_A597FACE-56A6-44F4-B8C3-457F42D9AC8B_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_B4F8B997-74C0-4F8D-A4CF-5C47EA91A6B0_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_BADAA977-95B4-46BD-BCAA-5B02226195E8_88194e6839""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_D2476A0D-47F0-4949-8F58-F2351897E030_88194e6831""], [""42997380-c1df-4f11-b049-c958f44f1ef3"", ""gb_london_D5A545B2-0C96-4CAD-8D8A-5250DAFA74E3_88194e6839""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_5E3AA631-174C-4084-A984-2B994900312F_88194e6831""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_BA3BFB22-8790-4A46-B1F3-BF46A635025D_88194e6835""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_C5537016-4D63-4BBA-9F99-07F1F1718E68_88194e6835""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_D72314B0-8E50-4236-BA28-E9206BDBBDC9_88194e6831""], [""6e240aa8-3647-4538-9748-395445020c3d"", ""gb_london_EA6EC5D7-851F-459E-A5EC-8890C4FF59F6_88194e6831""], [""b8259d73-5539-4498-8e1a-3c440fd0266d"", ""gb_london_BADAA977-95B4-46BD-BCAA-5B02226195E8_88194e6839""]]",auto_accept,3,3,,0.893,unanimous,7ea015144346fc2b597f9382a3e3074a3358cea1ec6261b8f778efc8e2db4573,f88d41636aaed2e2bc11141cc0a5ce3b9fc2233d2f6de503dfd03c20d4941f98,d3f322c2ab46e9fa8729ed99f5198d54d42069d6285b4151052b0719c1c7fef7,ff73a6957a8ab2a96d016479951a0e7b286a377590fd7242a5731ae0e95a487d,d3f322c2ab46e9fa8729ed99f5198d54d42069d6285b4151052b0719c1c7fef7,f2d7d3789e08faacc05420ad1bf3aba0fce092eef1ab0264d769c7ff3a039113,d435d9ab07a20fe17beb7651e80941cf35feed533fa667b94104857ff461ec19
gb_london_roads_physical_context_v8_20260717,91570f54,unanimous,A,"[[""e313e3a2-3dcf-4c1e-907a-dbf42b6b9049"", ""gb_london_266E2CA7-EE39-4907-92E6-39CEAE0FC2B8_88194ad339""], [""e5b3e829-d6c4-4439-9b3c-3359997f4eb4"", ""gb_london_266E2CA7-EE39-4907-92E6-39CEAE0FC2B8_88194ad339""]]",auto_accept,3,3,,0.9,unanimous,6fb8629c9b07dfcb1c4cb0adae35f8f161b1a29e8fef46b93fec6e64cd114ad9,2c78bb4a3424ba7be17e963b0280ba8a873804b0e5d8d9b948c6355a62396ce6,85f0d20886da254fd94c8f4d8d5fb49cf13616b46a973d3e425b2b0a3bda531d,265f48d76b6ff33ff271170891f05f3df701203fcb2ee3b1d2434a6902c6b71c,85f0d20886da254fd94c8f4d8d5fb49cf13616b46a973d3e425b2b0a3bda531d,f2d7d3789e08faacc05420ad1bf3aba0fce092eef1ab0264d769c7ff3a039113,d435d9ab07a20fe17beb7651e80941cf35feed533fa667b94104857ff461ec19
