source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
hk_hongkong_roads_breadth_v7_20260714,4eed5e80,majority,A,"[[""635d37a9-2b4a-4e21-87a9-087bb930110b"", ""hk_hongkong_103785_88411c86b1""], [""635d37a9-2b4a-4e21-87a9-087bb930110b"", ""hk_hongkong_103984_88411c86b1""], [""635d37a9-2b4a-4e21-87a9-087bb930110b"", ""hk_hongkong_144878_88411c86b1""]]",human_review,3,3,claude=NONE,0.85,dissent:claude=NONE,a055dcfeaf00b25994d3c27935bac97c944487eecfa44f5ebff0d88c4e0ac390,17ec9df3ce22c3b214175171d107c63dbc4e014189c7c2843321a30839f3dc5d,079898fae04ef4514888ceee78ed4758d21cde90f762c73bbdd2253c965b982c,f28739ab671347664b5d4b2cb9cdf795b8e3a0bcf3232dcb9b42c3ea4a5980a3,079898fae04ef4514888ceee78ed4758d21cde90f762c73bbdd2253c965b982c,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
hk_hongkong_roads_breadth_v7_20260714,da49a4e0,none,D,"[[""0880f21f-b085-4a42-8318-2492dea0edfe"", ""hk_hongkong_4565_8841034927""], [""0880f21f-b085-4a42-8318-2492dea0edfe"", ""hk_hongkong_4624_88411c86cd""], [""1668cb29-2b10-4446-830c-1a6ff6f3a737"", ""hk_hongkong_5017_8841034921""], [""405ff5e9-2191-48c5-a335-25f2deba9c4e"", ""hk_hongkong_4623_8841034921""], [""49f795c6-9aa7-4bf8-b632-0f3db758bdbf"", ""hk_hongkong_2190_8841034921""], [""49f795c6-9aa7-4bf8-b632-0f3db758bdbf"", ""hk_hongkong_5041_8841034927""], [""49f795c6-9aa7-4bf8-b632-0f3db758bdbf"", ""hk_hongkong_5410_8841034925""], [""49f795c6-9aa7-4bf8-b632-0f3db758bdbf"", ""hk_hongkong_824_8841034925""], [""76abd77a-6492-4cef-8986-4ec7ddb9ea32"", ""hk_hongkong_4598_8841034921""], [""7ef29969-8cdc-4d55-820c-24bbab4674a0"", ""hk_hongkong_5096_8841034927""], [""85518adc-6e92-43e5-8728-bc7466da413d"", ""hk_hongkong_4638_8841034921""], [""85518adc-6e92-43e5-8728-bc7466da413d"", ""hk_hongkong_5610_8841034921""], [""9a34eaed-6935-4155-a57b-54890b343c0f"", ""hk_hongkong_3562_8841034929""], [""c9d02605-39cd-4a03-9b7e-d94c73723e27"", ""hk_hongkong_2190_8841034921""], [""c9d02605-39cd-4a03-9b7e-d94c73723e27"", ""hk_hongkong_4558_8841034921""], [""c9d02605-39cd-4a03-9b7e-d94c73723e27"", ""hk_hongkong_5080_8841034921""], [""f2de6c58-d4c9-447f-8603-f01e60959fdf"", ""hk_hongkong_4274_8841034927""], [""f6066120-c5c5-4a00-aaa9-762c920aca05"", ""hk_hongkong_5463_8841034927""]]",human_review,3,3,codex=B; muse=C,0.6,no_majority,bdae191c49302695532371d634e6c01f685735ebbaf9993ff772c4d673e23695,9fa464c89506b6d2e2cc4d03ba5331449b5e2220e74e77d0bd6ba05256420486,8037f42aabade293f707dd88ac12cddd1a8491691f60b35ab4c0c62082c9edbd,e6ba131acaa818b2158c6271c112d973607daeb98e04bcdd7b9b573935931fa4,2ea590e29d4f2526964485022af9c599a0ac0068eca90479f9747838567517c8,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
hk_hongkong_roads_physical_context_v7_20260715,18ef284e,majority,H,"[[""33ddfccf-799e-454b-9a4b-03a0561fd872"", ""hk_hongkong_103698_88411c86a7""], [""51ad28a2-921b-466f-92b4-39a4e006a35a"", ""hk_hongkong_103700_88411c86a7""], [""627de561-3b68-4b08-a874-dbf137d8da3a"", ""hk_hongkong_103497_88411c84cd""], [""627de561-3b68-4b08-a874-dbf137d8da3a"", ""hk_hongkong_103710_88411c84cd""], [""8accae85-717f-4aa0-b868-e31b79206d32"", ""hk_hongkong_103703_88411c86ab""], [""8accae85-717f-4aa0-b868-e31b79206d32"", ""hk_hongkong_279837_88411c86a3""], [""8accae85-717f-4aa0-b868-e31b79206d32"", ""hk_hongkong_279838_88411c86a3""], [""9b9b2dd9-c3e5-4375-a17d-f25242164d1a"", ""hk_hongkong_103697_88411c86a7""], [""f6ba38b1-f6db-462e-a80c-8257fb673770"", ""hk_hongkong_103716_88411c86a7""]]",human_review,3,3,codex=NONE,0.8,dissent:codex=NONE,8353a463e76a055095bff00dc10b2dbe0d33b09e798bbff43a8fe98ce718144a,0ca92667bb8660410d641ea9bfea60e6873d51b2bf4396304ded4e54d65613a4,fb0a5630d93b5761fe72d64de79677ddb7624e7bbca18f7734075b1d5e7c2e65,50ffb5628e2bfa9be3c58cfd3f0eec55f4631abd77fb8e4cfea0b7d74b12c72b,adc75f2bdbb4b862c8866630fca4d0fbf37ed3d31aadd70a78521b9976f00e25,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
hk_hongkong_roads_physical_context_v7_20260715,4eed5e80,majority,NONE,[],human_review,3,3,muse=A,0.805,dissent:muse=A,d49182e5ac7ae5e9dc939399459b95b1f2ca9bb28350ff3b3459cd9b57f05d39,58e40d1668df0e8baf0dd80490ca71475f6b712b4035f7748fd3ad7aa042685b,079898fae04ef4514888ceee78ed4758d21cde90f762c73bbdd2253c965b982c,f28739ab671347664b5d4b2cb9cdf795b8e3a0bcf3232dcb9b42c3ea4a5980a3,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
hk_hongkong_roads_physical_context_v7_20260715,8582dd97,unanimous,A,"[[""671479be-5791-4240-ab08-88b1b6e0a2f2"", ""hk_hongkong_126634_88411cb157""], [""671479be-5791-4240-ab08-88b1b6e0a2f2"", ""hk_hongkong_93430_88411cb157""], [""671479be-5791-4240-ab08-88b1b6e0a2f2"", ""hk_hongkong_96591_88411cb157""], [""671479be-5791-4240-ab08-88b1b6e0a2f2"", ""hk_hongkong_97222_88411cb10b""], [""7efe408a-0611-4946-9fc6-509bd58029bf"", ""hk_hongkong_126634_88411cb157""], [""7efe408a-0611-4946-9fc6-509bd58029bf"", ""hk_hongkong_93470_88411cb119""], [""7efe408a-0611-4946-9fc6-509bd58029bf"", ""hk_hongkong_96593_88411cb119""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_109144_88411cb10b""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_109145_88411cb10b""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_57386_88411cb10b""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_57826_88411cb10b""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_58537_88411cb10b""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_59908_88411cb10b""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_97222_88411cb10b""], [""8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d"", ""hk_hongkong_97311_88411cb10b""]]",human_review,3,3,,0.79,low_confidence,887ea04fdd60c39c9a284c069cd8c2bc7f46a6b8a2409f40932bcaa7d8cad700,1fe3fc3fee34e0733d04aaa1f6193178d90d8e2f1265e80c0b67ba0bf1837e0d,9b1c292fae4735369c8b46efb38cd6e0fe6e8d3b29378097df4d040b9668950e,9ea03d8e2efd699468911079b01f9b5e19578ec2800bc07bfdb2ea575663ed1a,9b1c292fae4735369c8b46efb38cd6e0fe6e8d3b29378097df4d040b9668950e,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
hk_hongkong_roads_physical_context_v7_20260715,00e8e9fd,majority,NONE,[],human_review,3,3,muse=A,0.765,dissent:muse=A,527c5fa29ff1fefff83fd177d3a41554481c96afbf4671a8d75698fb939feae3,0b367be8d5d722a0e17c85c66587965655d18162401c8fea6cb9a977e4543849,c7e1254f06fdf082018e1f82e33177abe806dfff7e029060572c82969356ee39,17f24fb147ecb96db4d916543163e5ec136aa8eda3ffa8c5963fd77641df5d5d,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
hk_hongkong_roads_physical_context_v7_20260715,b049e0de,majority,B,"[[""084cb4c7-05c4-414b-83c7-bdf6eeb45b60"", ""hk_hongkong_4770_88410349e1""], [""0dcfc925-5f1f-4e94-aec2-b08993c22307"", ""hk_hongkong_1064_88410349e1""], [""14e72bdf-fc1a-41fa-b5f1-b372629b7484"", ""hk_hongkong_275804_88410349e1""], [""14e72bdf-fc1a-41fa-b5f1-b372629b7484"", ""hk_hongkong_275805_88410349e1""], [""70f48110-62cc-40c9-a1a6-ac2e74e99e51"", ""hk_hongkong_2392_88410349e1""], [""70f48110-62cc-40c9-a1a6-ac2e74e99e51"", ""hk_hongkong_475_88410349e1""], [""7320585e-3a9e-40dd-b522-c89059f83644"", ""hk_hongkong_6194_88410349e3""], [""d6ba9e41-6c90-4479-96aa-648a0b08d154"", ""hk_hongkong_1064_88410349e1""], [""f901cedf-934e-405d-bea9-8d089d6808b0"", ""hk_hongkong_1064_88410349e1""]]",human_review,3,3,claude=NONE,0.74,dissent:claude=NONE,503e9fd6ad81176d3b1981664b31283e72772f7adf653ca7f487b362615f1330,bfa8122306558c3de3b58a840975262ce8502ec6b1c24d5f6443706fd69c856b,58092b4fecdf9d957bfd9478d649502cfca4339035e4e644031f974eb5e57b6d,ce183653fe3ccca8f06aae8cff72579961a75d21c7f3b3cd4b19d40ef9d2d643,5347ef247e1b2f07698bdc59b14fdf102b566c87036fd1107a1780c9fa0e45c2,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
hk_hongkong_roads_physical_context_v7_20260715,cd320a3c,majority,NONE,[],human_review,3,3,muse=B,0.795,dissent:muse=B,92735eb7145c35b658ced4b8138a80723f6600f9fd866105e7955637a9a68024,ad12710d5955393f03f82a8361d421d342b9c8769e06951a1e25f20c6762fc6b,790835fc9c316ec5f71dc527f40892a115b6a045aaa90ac62847c1643f5c548c,cf1f1616cfc6d151d6ef08537f8c9ea769b08ddd7ee2e6dd8870f3a4e791da19,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
hk_hongkong_roads_physical_context_v7_20260715,b8b5da4a,unanimous,NONE,[],human_review,3,3,,0.787,unanimous_none,b44663fcf6411e8c64fcf2e4917fbbaf85b7af861212104bc8216196f6322320,c90e081a7e98de6ac311e9dd0a815fdd7b13d9369a0f316741b2216e0915134a,988313784accf1977295bde4b08c2fed2338270056eeff22ec28455407241653,d5944ff797dc4063ef771e10a9a5a71499869cbd626a23d06b11cf8bf7690e2f,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
hk_hongkong_roads_physical_context_v7_20260715,e0099fb8,unanimous,A,"[[""3d5fa4cb-4300-48cb-a78a-4c45027aa44e"", ""hk_hongkong_100271_88411c8633""], [""3d5fa4cb-4300-48cb-a78a-4c45027aa44e"", ""hk_hongkong_109174_88411c86ed""], [""3d5fa4cb-4300-48cb-a78a-4c45027aa44e"", ""hk_hongkong_271844_88411c86ed""]]",auto_accept,3,3,,0.947,unanimous,8f9d572fd52752f3790bbad2f007dbf2ba93673e71848bd041f5b5700f61e503,8bbb48932a44c1fa8a7da4e173f5081c739f0430f74d34938a3b2a5bf94155e9,7a48f777cd2fb11290b0601aa90a984aa43a69b8b72ef0172b1f382bab75aa8d,63cec2a2454cbd0bfcc786c72dedc103ff0fab15632ca1a5431bea42e1aab36b,7a48f777cd2fb11290b0601aa90a984aa43a69b8b72ef0172b1f382bab75aa8d,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
