source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
sg_singapore_footpaths_w0707,2965a425,unanimous,A,"[[""3150c0ed-6d52-4c70-859c-da2a55e806c3"", ""sg_footpath_51878_8865263631""], [""3150c0ed-6d52-4c70-859c-da2a55e806c3"", ""sg_footpath_82071_886526363d""]]",auto_accept,3,3,,0.943,unanimous,,,,,,,
sg_singapore_footpaths_w0707,464fbff6,unanimous,NONE,[],human_review,3,3,,0.943,unanimous_none,,,,,,,
sg_singapore_footpaths_w0707,53815b1d,unanimous,NONE,[],human_review,3,3,,0.95,unanimous_none,,,,,,,
sg_singapore_footpaths_w0707,90d7c266,unanimous,A,"[[""12b86718-0d91-4d54-86d4-b466ce90a353"", ""sg_footpath_129971_8865263609""], [""12b86718-0d91-4d54-86d4-b466ce90a353"", ""sg_footpath_129974_8865263609""], [""12b86718-0d91-4d54-86d4-b466ce90a353"", ""sg_footpath_53_8865263609""]]",auto_accept,3,3,,0.93,unanimous,,,,,,,
sg_singapore_footpaths_w0707,d4d4a468,majority,B,"[[""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_14998_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_19261_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_21138_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_30006_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_65976_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_65978_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_65979_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_68408_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_68411_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_68412_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_75351_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_76081_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_76423_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_76432_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_79416_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81477_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81485_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81530_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81531_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81532_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81533_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81534_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81535_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81595_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81596_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81666_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81690_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81691_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81692_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81693_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81694_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81695_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81708_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81709_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81795_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81796_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81797_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81799_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81800_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81801_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81802_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_81803_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82232_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82233_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82234_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82235_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82282_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82283_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82284_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82285_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82286_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82301_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82303_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82325_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82326_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82327_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82429_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82570_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82572_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82597_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82598_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82599_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82600_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82601_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82624_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82625_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82678_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82679_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82680_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82681_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82717_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82718_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82719_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82720_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82721_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82722_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82723_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82797_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82798_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82800_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82801_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82802_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82803_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82804_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82805_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82807_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82810_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82811_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82812_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82855_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82871_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82872_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82873_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82874_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82875_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82876_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82877_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82878_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82879_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82946_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82948_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82949_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82950_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82951_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82952_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82957_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_82959_886520cb13""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83001_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83002_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83003_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83004_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83234_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83235_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83236_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83237_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83238_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83239_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83240_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83241_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83242_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83243_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83244_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83245_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83246_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83247_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83248_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83249_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83250_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83254_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83255_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83256_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83257_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83258_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83259_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_83830_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_84165_886520c84d""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_84867_886520c841""], [""47171411-4965-4273-8fa7-0a85a7f45abb"", ""sg_footpath_87364_886520cb13""]]",human_review,3,3,opencode=A,0.625,dissent:opencode=A,,,,,,,
sg_singapore_footpaths_bulk_v7_20260718,1128d46c,unanimous,A,"[[""a25b5929-52de-453b-ab54-57555f37d911"", ""sg_footpath_15982_8865263647""], [""a25b5929-52de-453b-ab54-57555f37d911"", ""sg_footpath_47145_8865263647""]]",auto_accept,3,3,,0.957,unanimous,d7a7b2e8424e7d4cd2d01205ec96dfda5fbfa10a474630a87d5551bf67ff70d4,c3f9a129eaa1823fdfe0ab15d65ef1c4d9779f007dea2d99ff21574e1dbc6d80,a3b2298c69a4b5156deae6d2f5360fae37f10cbaac8d3c713c8dbaa29d623da2,ed0e547977adfe78fb9e6ec89995a4395c99086ae649cf4084fa611ecb6b9d42,a3b2298c69a4b5156deae6d2f5360fae37f10cbaac8d3c713c8dbaa29d623da2,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
sg_singapore_footpaths_bulk_v7_20260718,18736eaf,unanimous,A,"[[""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_10035_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_10136_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_10339_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_10415_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_10445_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_10489_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_10827_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_1977_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_1979_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_1985_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_1988_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_1989_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_21649_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_30129_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_32454_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_3490_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_36451_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_4804_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_4806_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_4815_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_4901_886526ac39""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_5188_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_5572_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_60299_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_6043_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_6056_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_8205_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_8208_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_8212_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_8214_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_8216_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_87981_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_87982_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_9143_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_9146_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_91932_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_91939_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_9794_886526ac15""], [""7781f11c-41d6-4051-b468-1035ecf1527a"", ""sg_footpath_9929_886526ac15""]]",auto_accept,3,3,,0.927,unanimous,4c239c54b6ad3bf46ed29e005cb0ed458a011e018976dc113315eefaba1dc46c,3550b2af79109fdfbe87f51fe9790938c9d91a6fe51c0ec7ce521f6bfd8cc6e5,8212913e94b6afc9c37cdbd7ca116b59a3112351fc4e748ccb42bbb05b4212a1,14f03d96f485907e9f89b00cd01df8abee6332a5d0684b9d385809c65a63d24c,8212913e94b6afc9c37cdbd7ca116b59a3112351fc4e748ccb42bbb05b4212a1,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
sg_singapore_footpaths_bulk_v7_20260718,2c4f3a8b,unanimous,A,"[[""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_2479_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_2589_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_2752_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_33219_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_34148_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_35958_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_65983_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81427_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81478_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81696_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81697_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81698_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81699_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81700_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81701_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_81798_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82182_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82183_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82396_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82397_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82753_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82754_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82755_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82756_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82758_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82759_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82856_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82863_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82868_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82869_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82870_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82960_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82961_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82962_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82963_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_82964_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_83148_886520cb13""], [""a53ec142-a1fe-4e4e-9c69-6f0ea994a53e"", ""sg_footpath_83149_886520cb13""]]",human_review,3,3,,0.833,low_confidence,2238e4b3912ad0074ab924bbb1a809cce6bd025dc66e059c79ba7ffa19bcb444,39a2cfbaffaaa8be891b0f6ad5178348b2cd25ca34e0020a8b02e613ad8204ed,2b00f63b90494a137a26069eeb78ede14cfb3c7fe91b90cbf37fa70c1ab68269,6128090741b523ba1540ba20845cf4552390ae92c60c5a9043e3a8e18ec9da23,2b00f63b90494a137a26069eeb78ede14cfb3c7fe91b90cbf37fa70c1ab68269,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
sg_singapore_footpaths_bulk_v7_20260718,34056e9d,unanimous,A,"[[""f1e5c003-a90f-4329-85ba-07ebb9e4761f"", ""sg_footpath_4911_886520d817""], [""f1e5c003-a90f-4329-85ba-07ebb9e4761f"", ""sg_footpath_79610_886520d817""]]",auto_accept,3,3,,0.977,unanimous,a45d4ac39f45c4794ce4853df1e056bb20a38a076d04fbea43d8c6e1465d04cc,3ee58fe8b0e6ff7a0988ea4be9f036f2a779890271f48a61eb0a1654a831f9f7,cb787f942c779ac6630d14d0ff2af26fc7b36ce7cdbe1084d32d3d54ef3bbc5d,649c13e91d3e7ebe8fb823fc5b29f296b1750e1c6f42833b605c5dcff62b0a7a,cb787f942c779ac6630d14d0ff2af26fc7b36ce7cdbe1084d32d3d54ef3bbc5d,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
sg_singapore_footpaths_bulk_v7_20260718,47218ea2,majority,NONE,[],human_review,3,3,codex=A,0.805,dissent:codex=A,e2e02838f5802b5005e2a6addfc97cbd79b79d1785ff863a85dfc42a8cfee904,5a12bc19f8c2c81157d1c716fd5caf1c71430ca0fa33351df7b4f6beaea57302,60ca1ed8d5f8596a046f416837c1ed5ad8de4187eda76f9f7b651cf33b443caa,ff9fc46e25361942734f278258e9e25e18b527f65d904d89cb36549d14e4298d,NONE,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
