source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
us_frisco_trails_breadth_v7_20260714,011d466d,unanimous,A,"[[""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_167_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_168_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_169_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_170_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_171_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_172_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_173_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_257_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_258_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_259_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_260_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_261_8826c80c13""], [""ed3a72cb-3d73-4a4d-a3dd-738112036b14"", ""frisco_trail_262_8826c80c13""]]",auto_accept,3,3,,0.953,unanimous,7360a438795102d000500a41e21ea20f4ccd02e545b69c0d5b8c66dee9b5aeff,7233b3e118c67359cb2e1370085edab5b7fdb4b720cc1935f194cce6dc6d08da,b9b58e75478943e2135de74c34f6f54650716f5571055521b581ef371f8be863,c1f2db4be3b58d402ebc666b60ff4246a4e8d0501235833d816ee3e2994563bb,b9b58e75478943e2135de74c34f6f54650716f5571055521b581ef371f8be863,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
us_frisco_trails_breadth_v7_20260714,e3cfbfc7,majority,A,"[[""1f144054-a462-4ef8-8084-666de177873b"", ""frisco_trail_21_8826c8774b""], [""47cc17a4-d800-41d1-b566-f02f880ce061"", ""frisco_trail_21_8826c8774b""], [""49b43ce4-8b41-4002-a6d6-a96ba9f5a298"", ""frisco_trail_218_8826c87749""], [""49b43ce4-8b41-4002-a6d6-a96ba9f5a298"", ""frisco_trail_21_8826c8774b""], [""4d3fbdd7-03e0-4e7e-9961-682f6995b54b"", ""frisco_trail_21_8826c8774b""], [""8fab41a9-2f90-47e5-9861-b31ac58d2990"", ""frisco_trail_21_8826c8774b""]]",human_review,3,3,codex=J,0.84,dissent:codex=J,582a452a071267a564816b092ffe50af47b73cf6e1fb659548de618797fd6486,e0be805e52632695e7424ea8815a0599f0565f522fb8f3795b0903b2bea41bc8,ce5407beafc16b5b7c96bbff635fb90c51ee3f704de8a557bf0c36c0d744c10b,23a47bbab4a059410ff22a4ea0ac1b917812f051bda0a5bcf858d84a84c074ef,7f3e1ebb395a56c3361352b6c912eeae5b8a406dc74bdc26640d8e93bb80da71,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
us_frisco_trails_bulk_v7_20260718,05a7a801,unanimous,A,"[[""28620855-3c49-4861-a489-b199d2ca2dd4"", ""frisco_trail_330_8826c80c13""], [""28620855-3c49-4861-a489-b199d2ca2dd4"", ""frisco_trail_402_8826c80cc5""]]",auto_accept,3,3,,0.957,unanimous,d99e1c2134e4ff45929fd2bddd9629e44000a6f2e28bce9e8aac134d60a342c1,9612d36cdeae647595ec517fffacfff4c808881ddbbc8bede415f59aa8dda1e4,09e3fe0a3bc60a0c6e68352edea14ca868926b1bfe11a7b069d928ac4d38a828,3dd76b6d238ea304a66d98f0b38b64f2fbcd2c7a2cf72cd463aedbeca031b252,09e3fe0a3bc60a0c6e68352edea14ca868926b1bfe11a7b069d928ac4d38a828,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_frisco_trails_bulk_v7_20260718,1730ec40,unanimous,A,"[[""e6b27e17-8bdb-4a68-8fce-b4681749557b"", ""frisco_trail_272_8826c872d9""], [""e6b27e17-8bdb-4a68-8fce-b4681749557b"", ""frisco_trail_273_8826c872d9""], [""e6b27e17-8bdb-4a68-8fce-b4681749557b"", ""frisco_trail_274_8826c872dd""], [""e6b27e17-8bdb-4a68-8fce-b4681749557b"", ""frisco_trail_32_8826c872d9""], [""e6b27e17-8bdb-4a68-8fce-b4681749557b"", ""frisco_trail_33_8826c872d9""], [""e6b27e17-8bdb-4a68-8fce-b4681749557b"", ""frisco_trail_52_8826c872d9""], [""e6b27e17-8bdb-4a68-8fce-b4681749557b"", ""frisco_trail_53_8826c872dd""]]",human_review,3,3,,0.91,class-mismatch,f9c0905f20770d980f1f3030b28485d536b975ce41970ee30531faabc781c442,37ceb4c97e3598181d8d0cfe05cac06f6d6950743704db2c7d59cd5769f40b59,4a71cdb07a0624f3b2f3b1b028bd651d90aec3dc3966106829503ce02d99a0df,ab0c3b2025a226cf71b92fe7072fea770c1c33b6fcf038786ef700a679ca11d0,4a71cdb07a0624f3b2f3b1b028bd651d90aec3dc3966106829503ce02d99a0df,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_frisco_trails_bulk_v7_20260718,1b53cb2f,unanimous,A,"[[""a9b6c6f8-5956-475f-8984-b2cf843f175d"", ""frisco_trail_125_8826c80dcd""], [""a9b6c6f8-5956-475f-8984-b2cf843f175d"", ""frisco_trail_416_8826c80dc1""]]",human_review,3,3,,0.853,low_confidence,11b1ae8e844eb07d80784055f41d452ee26187f5cfeadeda4ca652cf84152aef,6469b067170f863e7f21f94870796d2ab0fb983b392bea04d5edf40366037114,e9b9a39df5f1ee3a664ceea491f4996c1d33f170fe317f82f064ef8022d5f294,d94bf33570d7b6aae2ea2c8bb04cf2f6fe6db4c6d5952d3afae355d2e4767483,e9b9a39df5f1ee3a664ceea491f4996c1d33f170fe317f82f064ef8022d5f294,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_frisco_trails_bulk_v7_20260718,20b203f6,none,A,"[[""22f80f36-4da0-4dfa-a69e-54768e94c4f7"", ""frisco_trail_307_8826c872c3""], [""b4db9e0a-6578-48e2-ba83-2cf851acb53a"", ""frisco_trail_307_8826c872c3""], [""b4db9e0a-6578-48e2-ba83-2cf851acb53a"", ""frisco_trail_44_8826c872c3""]]",human_review,3,2,muse=E,0.99,no_majority,dd150e7a9b518db9937c264513899e2d82860eaba5b26b6d21bbdd3c7e1a1fb8,876fbf2de19bcd70f86f7b7ec14b142e78749c4f5312c6205d44de1dfec3ae6c,e3da28ecf17c6e56a5dbb632f8cdc371c1f92d5f5b8d27064d97abc69c20f5f6,b5cd2a4bdb13d861a16a3ac06e190a51a21e8e6f4e4c11fef0fcb09a37957421,e3da28ecf17c6e56a5dbb632f8cdc371c1f92d5f5b8d27064d97abc69c20f5f6,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_frisco_trails_bulk_v7_20260718,2962263b,unanimous,A,"[[""bc8278e9-5c1d-42a8-b1ba-7cf473cceee2"", ""frisco_trail_648_8826c872cb""], [""bc8278e9-5c1d-42a8-b1ba-7cf473cceee2"", ""frisco_trail_649_8826c872cb""]]",human_review,3,3,,0.927,class-mismatch,34b7bd0cd92282e158bd7a6350e0ea8981b1b2474639a0f636ffb5d67e0f0789,84f73dc45533ffc546c268c1a584910feb433370792922e72ce9b94282d31e8b,3a6f3202223073758ee3c88cda26e6e78992b8426a93fc186d427863f00dcf5a,6b2f89d16ff0d97f51580aa4db96518d14709f86fb08947fee8268deaedadd7c,3a6f3202223073758ee3c88cda26e6e78992b8426a93fc186d427863f00dcf5a,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_frisco_trails_bulk_v7_20260718,34c71830,unanimous,A,"[[""a117c17b-4d25-4790-bd53-364085a3ec37"", ""frisco_trail_25_8826c80d3b""], [""a922485b-3d57-410d-bdee-d9f828522a30"", ""frisco_trail_25_8826c80d3b""]]",auto_accept,3,3,,0.953,unanimous,bbc02672523c8d1b956922cc84e39f8ee56676ec2c5faf30d4832565149fa6fb,6bb5da015dfb58a6b18c6696b9859f554a2bbc47af3dc490a5ed9d8561f6ee66,f7b5d7da315611144f7cde700fd00e975269ee74089a58761397602a607d7835,e9ed5dfdea4ac5ee074a0fbc427964e65b8d81d51cfd0e05b655a6578ca113cc,f7b5d7da315611144f7cde700fd00e975269ee74089a58761397602a607d7835,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_frisco_trails_bulk_v7_20260718,3565f6a9,unanimous,A,"[[""2e28d80f-73ce-42f5-854e-1271ce705ed5"", ""frisco_trail_5_8826c80c3b""], [""dcabf1ec-1ad2-4c82-bfcd-bb593fed8659"", ""frisco_trail_5_8826c80c3b""]]",auto_accept,3,3,,0.87,unanimous,38eeb7451234fbf97ea5483277db2c348a8e54a7bdd9738bfd6bbca2d79ffb34,512f1f8b1d42bfb5562a9cdde4344e95f7e0303cb6df2d5f4d05f9b30c6bd0fb,60c729b12c10ec6e15fe1f6bcb3f14ff6af8b99836fe3da3fc4d81ab4419d755,bf25f0d4beca82c5b47546af482fbd234a0527702bcd423f58ccadeaab1c3ff9,60c729b12c10ec6e15fe1f6bcb3f14ff6af8b99836fe3da3fc4d81ab4419d755,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_frisco_trails_bulk_v7_20260718,3d946c9b,unanimous,A,"[[""7466a492-9a3f-4aa7-9fbf-0432188a6935"", ""frisco_trail_549_8826c80d05""], [""cb079def-f588-4e75-b056-9a7af613c531"", ""frisco_trail_549_8826c80d05""]]",auto_accept,3,3,,0.967,unanimous,3e7ddc188706df3d940f64e6dfca9b6134c5828c544e0ecd2d6d8dda53d2a9c5,c8b828715bc7389a70b6f02bbdbdcf9c539091ee5a891a9011e1825866a32c9d,33e1232a3a82d46bd67daa1be5a805de10b491b1a12a79f0706b7bf6caa78088,8f68a5afe2ae56ea1a59dfc917b95ecd6fcaab837e6f7a914da361ec2b83b05c,33e1232a3a82d46bd67daa1be5a805de10b491b1a12a79f0706b7bf6caa78088,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
