source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
us_seattle_sidewalks_w0707,03c78ff0,unanimous,A,"[[""022ecdd0-175a-4829-b67d-328b4f5e955c"", ""sea_sidewalk_27149648_8828d550bd""]]",auto_accept,3,3,,0.943,unanimous,,,,,,,
us_seattle_sidewalks_w0707,1278691b,unanimous,A,"[[""b63a3966-adbb-4079-9bb6-b4c6c57cb7bb"", ""sea_sidewalk_27187662_8828d5505d""]]",auto_accept,3,3,,0.937,unanimous,,,,,,,
us_seattle_sidewalks_w0707,728e3c87,majority,A,"[[""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27149810_8828d55523""], [""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27194238_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160280_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160281_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27149810_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27195716_8828d55523""]]",human_review,3,3,claude=E,0.905,dissent:claude=E,,,,,,,
us_seattle_sidewalks_w0707,8d77ba9c,majority,NONE,[],human_review,3,3,agy=A,0.93,dissent:agy=A,,,,,,,
us_seattle_sidewalks_w0707,d35b4619,majority,E,"[[""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160036_8828d542cb""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160057_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160249_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194369_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194405_8828d55535""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149785_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149962_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150518_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150773_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160275_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160276_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160277_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160278_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160279_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27194371_8828d542c9""], [""fba7efc1-f665-4b72-a91e-ab559b83289f"", ""sea_sidewalk_27160034_8828d542cb""]]",human_review,3,3,agy=A,0.8,dissent:agy=A,,,,,,,
us_seattle_sidewalks_bulk_v7_20260718,049a5b57,unanimous,A,"[[""02862f65-405c-412e-b907-01bef8d81725"", ""sea_sidewalk_301523_8828d54289""]]",human_review,3,3,,0.747,low_confidence,89e56ab8637d55506fe6b20c8acce9eb35131ac2aca9afc2cb81b15e24b6b39e,e80eb9b2d007520bd261eb80b0ec7be7aef4d4a8aebb2bc4b3a3a5b002f405c9,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,c217d04898caaca6125650af63dd3d225db8181a75b029693224192c5fb7a119,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_seattle_sidewalks_bulk_v7_20260718,3917622c,majority,B,"[[""78c94ee7-7ab1-4334-876e-d3066ebece81"", ""sea_sidewalk_302913_8828d555b5""], [""78c94ee7-7ab1-4334-876e-d3066ebece81"", ""sea_sidewalk_331142_8828d555b5""], [""b78ef90c-d5ed-4eba-892e-ff006dc98b46"", ""sea_sidewalk_302913_8828d555b5""]]",human_review,3,3,muse=A,0.785,dissent:muse=A,0bb583f199686ef0b435256d9bd685e76169396698fd745674921f298504d8f7,a4173f35524c68a7a7c668e9049dc7d759ea0df470fdc30929840b63044c9af9,3ffcbde9ef7904377f8f9bf8d1dfa3e236a240185c8927a90706d1b60c790d26,2413610af6604da938567da01e7c2507b29c33fbc62e338baa3d81394e2a8583,3ffcbde9ef7904377f8f9bf8d1dfa3e236a240185c8927a90706d1b60c790d26,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_seattle_sidewalks_bulk_v7_20260718,4509933f,none,J,"[[""1d4c40db-9547-432b-9796-f17f7f7ced9a"", ""sea_sidewalk_292999_8828d542cb""], [""1d4c40db-9547-432b-9796-f17f7f7ced9a"", ""sea_sidewalk_865105_8828d542cb""], [""1d4c40db-9547-432b-9796-f17f7f7ced9a"", ""sea_sidewalk_877307_8828d542cb""], [""1d4c40db-9547-432b-9796-f17f7f7ced9a"", ""sea_sidewalk_877308_8828d542cb""], [""44e23abe-d2b2-4ccb-9479-56c0fdbf81f7"", ""sea_sidewalk_293415_8828d542cb""], [""58cd2f6a-eadd-4e0c-b214-e85226c41f68"", ""sea_sidewalk_292995_8828d542cb""], [""58cd2f6a-eadd-4e0c-b214-e85226c41f68"", ""sea_sidewalk_292997_8828d542cb""], [""77aa46c9-9488-45dd-adba-0c692d91d287"", ""sea_sidewalk_292999_8828d542cb""], [""77aa46c9-9488-45dd-adba-0c692d91d287"", ""sea_sidewalk_865105_8828d542cb""], [""ad5c228f-1191-4711-ae0f-629c73af1777"", ""sea_sidewalk_865105_8828d542cb""], [""ad5c228f-1191-4711-ae0f-629c73af1777"", ""sea_sidewalk_877308_8828d542cb""], [""bca8b1ed-761d-4535-8f94-f81768215275"", ""sea_sidewalk_293415_8828d542cb""], [""bca8b1ed-761d-4535-8f94-f81768215275"", ""sea_sidewalk_865105_8828d542cb""], [""bca8b1ed-761d-4535-8f94-f81768215275"", ""sea_sidewalk_877308_8828d542cb""], [""d9352aab-f9e6-4945-b373-c7b4d78982ab"", ""sea_sidewalk_292997_8828d542cb""], [""d9352aab-f9e6-4945-b373-c7b4d78982ab"", ""sea_sidewalk_292999_8828d542cb""], [""d9352aab-f9e6-4945-b373-c7b4d78982ab"", ""sea_sidewalk_877307_8828d542cb""]]",human_review,3,2,muse=A,0.98,no_majority,11fe6ff9da839268dcd47264c9b9e5d2d8abe3b7438dcb5ef7989e92a318aa0b,4ecb36626dad181f1efdca14c71a63d29744fdf988747f2351d9e6ef570ae5c3,e53cb7df60de9bb8311e9992ead541894018996e3d53a755b52868447a9c39fb,fc3688ab3f0360fc94e7ac95577a9c1d4633cee54ce022ae6826baa2d16d9409,e53cb7df60de9bb8311e9992ead541894018996e3d53a755b52868447a9c39fb,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_seattle_sidewalks_bulk_v7_20260718,50ded923,majority,F,"[[""9b88858e-9bab-4675-8581-765cb6afa31a"", ""sea_sidewalk_302843_8828d54701""], [""9b88858e-9bab-4675-8581-765cb6afa31a"", ""sea_sidewalk_302845_8828d54701""]]",human_review,3,3,codex=B,0.76,dissent:codex=B,50f45d5230b6646180d769c83200b870ecbcd658381ed1c154d001039c74319a,b4785b86e782d223d2773f8528819b289e87f16115a7dc067250036990ec5a7c,a5cff26427d948e074e37a5fafc243d7ba39d49cb4515448e8d98d630c37a90b,8c4ccc731ff8712bc91743ee3b0b678c0d0cf6b90944aa65d515e109ff51181a,ecfd09cd5f05430b88c149cf1dd4fe8efaeb51a049c2d806bf6f143974e25f16,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_seattle_sidewalks_bulk_v7_20260718,7317c794,majority,A,"[[""386ef09d-38e9-4967-9a20-1f0268c73aa7"", ""sea_sidewalk_309329_8828d54217""], [""73d32bfd-4fb7-402b-bb6d-dbf0a4557fb8"", ""sea_sidewalk_309329_8828d54217""], [""7bd99f60-a044-4076-904a-7c1f2508ce97"", ""sea_sidewalk_308937_8828d54217""], [""e15d44e6-5d09-4b50-b160-4601cb30792c"", ""sea_sidewalk_308937_8828d54217""]]",human_review,3,3,codex=B,0.89,dissent:codex=B,8190135d8d509174d0e32b36869c7b8adfba88c49da52c56cdf4bbd1f94ef84e,6998b7ad7471bcd63648932579d7fc7c97a3d0246a35c51579e6a40b943804b5,3f395991f3fc67c476a6380fb5e5849c00547ac57a98b96db0f6bd913719ffef,253afb066a75bb5252c2a3b83b3c271b3bc910a04d65e85171cc278fdd2dc423,6732ddb1984f898076e2937e2a3bc21c5180c75697a9bb0506de4d50dc84c681,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
