source_batch,group_id,provider,model,choice,confidence,reasoning,edge_set,latency_s,timestamp,error,pack_feedback,abstain_reason,invocation_route,evidence_delivery,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,attempt,none_reason,desired_edges
us_seattle_sidewalks_w0707,03c78ff0,claude,claude-opus-4-8,A,0.9,"Single edge e1 (R1->T1) matches two footway segments (same class), with high alignment (ref 1.0, tgt 0.859) and a substantial 89.2m physical overlap — clearly the same physical path, not a sliver. Represents a true correspondence.","[[""022ecdd0-175a-4829-b67d-328b4f5e955c"", ""sea_sidewalk_27149648_8828d550bd""]]",8.52,2026-07-07T01:48:13.328505+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,03c78ff0,codex,gpt-5.5,A,0.98,R1 and T1 are both footway segments following the same physical path with strong overlap along nearly the full reference segment and most of the target segment. There are no competing options or cross-mode concerns.,"[[""022ecdd0-175a-4829-b67d-328b4f5e955c"", ""sea_sidewalk_27149648_8828d550bd""]]",6.49,2026-07-07T01:48:11.304740+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,03c78ff0,agy,Gemini 3.5 Flash (Medium),A,0.95,"Option A is the most complete and accurate option. It correctly includes e2, e3, and e4 to match all three overlapping reference segments (R542, R1446, R1976) to target T2, covering its entire length along the same path. It also correctly excludes all sliver junction artifacts.","[[""022ecdd0-175a-4829-b67d-328b4f5e955c"", ""sea_sidewalk_27149648_8828d550bd""]]",207.2,2026-07-07T01:51:32.007139+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,1278691b,claude,claude-opus-4-8,A,0.9,"R1 and T1 are both footways running collinearly along the same physical path; T1 is a short segment overlapping the end of the long R1 (tgt_aln=0.943, overlap~76m), representing the same traveled way. Same class, no sliver, correct correspondence.","[[""b63a3966-adbb-4079-9bb6-b4c6c57cb7bb"", ""sea_sidewalk_27187662_8828d5505d""]]",23.16,2026-07-07T01:51:55.186872+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,1278691b,codex,gpt-5.5,A,0.96,"R1 and T1 are both footway segments and the red target segment lies directly on the same aligned path as the blue reference near the southeast end. The low ref_aln is because T1 covers only a short portion of a much longer R1, while tgt_aln and overlap show T1 is almost entirely matched to R1. No cross-mode or junction-sliver issue is apparent.","[[""b63a3966-adbb-4079-9bb6-b4c6c57cb7bb"", ""sea_sidewalk_27187662_8828d5505d""]]",7.29,2026-07-07T01:51:39.321203+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,1278691b,agy,Gemini 3.5 Flash (Medium),A,0.95,"Option A is the most complete and accurate option. It correctly includes e2, e3, and e4 to match all three overlapping reference segments (R542, R1446, R1976) to target T2, covering its entire length along the same path. It also correctly excludes all sliver junction artifacts.","[[""b63a3966-adbb-4079-9bb6-b4c6c57cb7bb"", ""sea_sidewalk_27187662_8828d5505d""]]",30.91,2026-07-07T01:52:02.940365+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,728e3c87,claude,claude-opus-4-8,E,0.5,"Single-corridor dense M:N (Waterfront Trail); all edges e1,e2,e3,e4,e7,e8,e9,e11 have 68–80m real overlap and e6 has 26m, so all are genuine correspondences that should be included. e5 and e10 are ~7m junction-kiss slivers; e5 is forced in every option but e10 is avoidable. Option E includes all real big-overlap edges plus e6 while excluding the avoidable sliver e10, unlike B which adds e10. A under-matches by dropping the four real ~70m edges.","[[""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27149810_8828d55523""], [""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27160280_8828d55523""], [""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27160281_8828d55523""], [""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27194238_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27149810_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160280_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160281_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27194238_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27149810_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27195716_8828d55523""]]",78.02,2026-07-07T01:54:41.329318+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,728e3c87,codex,gpt-5.5,A,0.86,"Option A best preserves a one-to-one/split correspondence along the same trail corridor: R1 matches the upper/mid target pieces T4 and T1, R2 matches adjacent pieces T2 and T3, and R3 continues onto T5 with only the small junction overlap to T1. The other options add many redundant cross matches between neighboring split segments, which overstates correspondences rather than representing the physical segment stitching.","[[""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27149810_8828d55523""], [""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27194238_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160280_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160281_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27149810_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27195716_8828d55523""]]",15.97,2026-07-07T01:53:39.271317+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,728e3c87,agy,Gemini 3.5 Flash (Medium),A,0.95,"Option A is the most complete and accurate option. It correctly includes e2, e3, and e4 to match all three overlapping reference segments (R542, R1446, R1976) to target T2, covering its entire length along the same path. It also correctly excludes all sliver junction artifacts.","[[""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27149810_8828d55523""], [""19146c1f-f792-4557-b4d2-1831155ad3f8"", ""sea_sidewalk_27194238_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160280_8828d55523""], [""33df5653-0612-41b5-9a87-bb7a176d38bc"", ""sea_sidewalk_27160281_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27149810_8828d55523""], [""53fd625d-ee60-4d42-9515-9dc03c82a682"", ""sea_sidewalk_27195716_8828d55523""]]",22.48,2026-07-07T01:53:45.782546+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,8d77ba9c,claude,claude-opus-4-8,NONE,0.9,"The only candidate edge e1 matches R1 'Valdez Avenue South' (residential road class) to T1 (footway class). This is a cross-mode match between a road-class and a pedestrian-class feature — a footway is a different physical feature than a residential road even when it runs right alongside one. Per guidance, never match a footway to a road class, and prefer the option without such a cross-mode edge or NONE. Since Option A's only edge is this invalid cross-mode match, NONE is correct.",[],10.82,2026-07-07T01:54:52.199766+00:00,,,,,,,,,,,,,,
