source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
us_usfs_flathead_bulk_v7_20260718,1455da36,unanimous,A,"[[""3dfd61fd-822a-433d-93e2-95bbf1881c24"", ""us_usfs_flathead_26713863_8812ca3335""], [""afedf6da-3445-4c5a-a7f4-2e6f30e41920"", ""us_usfs_flathead_26713863_8812ca3335""]]",auto_accept,3,3,,0.98,unanimous,6111d1a513e034ed75cb89313c65915f13ff98205480aba77259d8091aa139e0,da01a8219f9040e86b007b7e2d471ad5961e9d76a89e620e25ac00ee31e36286,705addb3caf7584e8ee01874acebcfd6a35f4c57b673f41d10f605b1d92272a9,2c266d164c509b7f63e2cc4ae1c83fbc697caab44937e397f0b1cd0f92316592,705addb3caf7584e8ee01874acebcfd6a35f4c57b673f41d10f605b1d92272a9,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,1750bb54,unanimous,A,"[[""398da802-5ec2-4764-b218-767faf2c822c"", ""us_usfs_flathead_26547643_8812ca3301""], [""a48c3107-f482-4e46-a0c2-b02cb87e5030"", ""us_usfs_flathead_26547643_8812ca3301""], [""d615caa6-d608-4ffd-9fbb-a2ca1e91b3ba"", ""us_usfs_flathead_26547643_8812ca3301""]]",auto_accept,3,3,,0.987,unanimous,f45e6a687bc8c32f9c728e5dc5f589fcc6e311dc01dde6a75dcbc5580b05eb2c,f052cdba19fb994319664ac346cbe1ede3a15331e98d4f254cc30f7214fe51fd,eb2af9ed46480bc435c3894647915ca864c17b1aae8555fabe6ae546323b614c,3e4a381715f0d873287d41bc4ebd43d6ee71a386410705e7546d95d3215ea953,eb2af9ed46480bc435c3894647915ca864c17b1aae8555fabe6ae546323b614c,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,1c904446,majority,D,"[[""65e3d980-542b-4696-9feb-fa5b5e3df54c"", ""us_usfs_flathead_26500186_88289b4db7""]]",human_review,3,3,codex=A,0.82,dissent:codex=A,f7b0e39d7c4a54f8a633e0b8a861d70a9788979f17c0373efcba403ebff24ac7,7c575010758567abd985959a52bdc2323770180e5b3c13239c6e72f457dfb006,25ef619ebe6d0949187a7f6d019f18e0006630b2fc6698278436444e16ffd464,de2983ae5b503abb42f6ab03243c4ce4d0decd4dcd4b0c906fc7ba18cf8f4454,9484f91a23bb644217019de8404f3ef31c3d6661ce01bf32d1dcd2a3f5ccc425,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,25fa184b,unanimous,A,"[[""4a0e2fd7-368d-471e-884a-65d8bc26e2b2"", ""us_usfs_flathead_26452390_8812cb68ad""], [""e3785c45-42de-4dd1-815a-b14b0afe82ed"", ""us_usfs_flathead_26452390_8812cb68ad""]]",human_review,3,3,,0.813,low_confidence,57dd223c430f0c01a38abc537b4228b6513a79c8715227d1ef47199bd575c9d4,2e68af8d0eb3ff66f938ce1d66b080b9f7fc314ae3e2b338e5ce97b1e37cd29e,03c642780f2b9fcb99a1ee34ed6ebb65187071860acd0f013db7ae9eb1345a08,fbc9300f214531e279b8f6bf330c57d55217506d4d9c9c59e847f150b0db6bb7,03c642780f2b9fcb99a1ee34ed6ebb65187071860acd0f013db7ae9eb1345a08,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,4d021f70,unanimous,B,"[[""a8d198d8-4caf-4a31-a061-20874ca57d8f"", ""us_usfs_flathead_26721250_8812ca2129""], [""fd8e010b-82ca-4f5c-a6df-192d9b98ba83"", ""us_usfs_flathead_26721250_8812ca2129""]]",human_review,3,3,,0.85,low_confidence,37617ab70e08b431df90ce18240e048a08d4f8caa7414780d3b23fbe2c4dd9e7,c2dcad03c89cde57d5354445f8209e82d035a98e2dcf17871a38ca679b75cd5d,a52376208d6b22adc51f588ae046387fe992f582188c13a48d378f505824aa47,b4bf50f2e8968a24458cabc5e98a8dc17c92ff5220f55b2e52e8ea00a15cf822,3ddd9f7f18ecbdf6ff02867fa61bea84a46d15d43fce5a2144416785bec42015,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,64f2d8d4,unanimous,A,"[[""05a13188-bbf1-467b-b4d5-c4af7aca88d6"", ""us_usfs_flathead_26627532_88289b49bd""], [""05a13188-bbf1-467b-b4d5-c4af7aca88d6"", ""us_usfs_flathead_26717117_8812cb4899""], [""2b5c4c48-ce14-4cef-a3de-62e88f9f7632"", ""us_usfs_flathead_26367111_88289b486d""], [""2b5c4c48-ce14-4cef-a3de-62e88f9f7632"", ""us_usfs_flathead_26627532_88289b49bd""], [""2b5c4c48-ce14-4cef-a3de-62e88f9f7632"", ""us_usfs_flathead_26716225_8812cb6b21""], [""611845bd-8037-48cb-9ead-a8e4014fb9fa"", ""us_usfs_flathead_26627532_88289b49bd""], [""ae318b63-4c40-4daf-8c84-2d784067eec9"", ""us_usfs_flathead_26540441_8812cb68bd""], [""b9f64d4e-348f-4be8-8d7f-fa8a58a3b4fc"", ""us_usfs_flathead_26717117_8812cb4899""], [""f3622da0-ecd2-455e-85c8-ab5d9a5deebc"", ""us_usfs_flathead_26540441_8812cb68bd""], [""f3622da0-ecd2-455e-85c8-ab5d9a5deebc"", ""us_usfs_flathead_26716225_8812cb6b21""], [""f6e7ffcf-d35c-46b6-9b75-243ca2540028"", ""us_usfs_flathead_26627532_88289b49bd""]]",auto_accept,3,3,,0.913,unanimous,7633b2aa21849a6a73df76b9df5568fdf808b7dea7819c84216f071d8204acb3,d0563a26f1a9b7cd9f38d9780acf5dda74bad25080bfb7297f58ed704183e48d,459ed5720d9f8994eaac5c8e768d9311195c87125d25c9690852730402046e3a,b6ae21ee541e69e1b9b4c69c382fcaf9ec132f513022968f41f1983045e438c1,459ed5720d9f8994eaac5c8e768d9311195c87125d25c9690852730402046e3a,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,83fd9a99,unanimous,B,"[[""86c937cd-e744-4a6e-9bce-a780abe5f64b"", ""us_usfs_flathead_26473685_8812cb485d""]]",auto_accept,3,3,,0.947,unanimous,71e7c1ee5260514eae904983386c9f238975016ac75a7a30d43234b592222e49,b57957b88f22089feab4f2cab6203727534c188c170db21326dcbcc513b45382,e74875b8142aa7034e633f8e861302acb89aebcad2f2ed65ee6fd78a02e243c6,e9ebe43f1246ddbba0e17a63f0c9b987d4b2873e4c22398791273340cf10aee4,c57160dd08f9c0bc930ca802aa1fb0c592d3634c7dbac6e0be889248c9b9ba4c,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,91ef4b37,majority,A,"[[""1d4f4288-ccfd-4bcb-935b-6f2fbd300ea1"", ""us_usfs_flathead_26731311_8812cb4ad9""], [""b6bbe11c-52c2-404b-a4ba-e1cf2783f10e"", ""us_usfs_flathead_26731311_8812cb4ad9""], [""d90d52a5-f6e7-4d15-9f2d-e836e82797a1"", ""us_usfs_flathead_26731311_8812cb4ad9""]]",human_review,3,3,claude=B,0.88,dissent:claude=B,2904376b192c9bf1e9b0245fe5b0ccac91ce1dcb97847b71f9e4f59ecb4498e8,aac2b307ca1e7aec2a974db40c90b63b3186ad17b78576e5ae3efae8b4f6ff8a,e76b428663fac8c26b0f555be35c15660ecc5f367d0c675adaf76ffc4b8b9ccd,becd8d4b3a3256e38c9726f9897ee06e1d2f876997d5549168649cdb4f1f9ad3,e76b428663fac8c26b0f555be35c15660ecc5f367d0c675adaf76ffc4b8b9ccd,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,9d103c43,majority,D,"[[""60bb863f-42f9-4b7f-8167-e6d05f5bfe7a"", ""us_usfs_flathead_26564825_8812ca311d""]]",human_review,3,3,codex=A,0.8,dissent:codex=A,9d8b2f64d30a5b33863cc540a78bdc88d25df5925160f75990ab04bf079a3acb,9c1fe873485c5046a974eafc9146bc8d1e57e5d47928d86d87c695c4f49df08f,ff321f6ce932f7683b0bfee9f534bd4ef4ba5b7e6b99b9651e5390d2f2865355,4f087010e4e4d795bcb870217ba67abf23f2a66bd9bc1990f7eacb7134c95e10,c4512c597590708765757694667ad5f367a20377150e7f136e366538a177a94d,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,a6b5e94b,unanimous,A,"[[""23420c4b-fd1a-49ce-ad7f-88931d21e673"", ""us_usfs_flathead_26623181_8812cb488d""], [""5d562775-c2a7-4198-8ca4-33bb4d0522a2"", ""us_usfs_flathead_26623181_8812cb488d""]]",auto_accept,3,3,,0.903,unanimous,2ddb235a2b8befd36ec01cd41ab6b2d827688f3e600c11b6f8a7779a20a22a2a,d7df880135386518b045eedbfe606b095875fc1637852fec3158fe4c3d675868,f03e8d60191eb9b54a057f5a76c4fe3e33f61d936835e057a16a53aee3929629,a041ddee736055ea0c6d15dc2348c8e0b580197c04dfec17e560eb1511726ed7,f03e8d60191eb9b54a057f5a76c4fe3e33f61d936835e057a16a53aee3929629,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,bc38f826,unanimous,A,"[[""5a424efa-52fd-4550-b1cd-8a93c9bd24e3"", ""us_usfs_flathead_26485088_8812cb68bb""], [""c9c0d9cb-af2b-4305-b29e-128ce6f8baad"", ""us_usfs_flathead_26485088_8812cb68bb""], [""ca7c71c1-04f8-4d0b-94d1-c80c45ec9fb8"", ""us_usfs_flathead_26485088_8812cb68bb""]]",auto_accept,3,3,,0.943,unanimous,4309db3865267fac1f2237db892e0c4d9a5ee9151be06fa130d3ae8de1288a31,1d98944c5c286338295dfc39f360dcaee4f2c743c0fc8742221e9b52954677e7,bbcd0d227614d13d26236400fe4e2d361954a9c5c49aae8d03b60dd9905b4ea7,f25cd270ea105fcfc752462185f6ce0317e9c96f6b1aa7658cb0485af19c9444,bbcd0d227614d13d26236400fe4e2d361954a9c5c49aae8d03b60dd9905b4ea7,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,bf0dcf6d,unanimous,A,"[[""1b7e865d-920d-4d00-ace5-68d1436d5829"", ""us_usfs_flathead_26650530_88289b6721""], [""20e31542-9a46-4170-8ad9-eb54a3180bb7"", ""us_usfs_flathead_26650530_88289b6721""], [""2a9b6141-5944-4b42-ba26-9e85d3f997ee"", ""us_usfs_flathead_26650530_88289b6721""], [""2e8a59fe-788c-4af7-8795-7d5c2635bb59"", ""us_usfs_flathead_26650530_88289b6721""], [""8ff3679a-8aea-45bf-97ac-9a0658f8c3b9"", ""us_usfs_flathead_26650530_88289b6721""], [""963253f4-0a53-4239-a9e5-701c3bfbff85"", ""us_usfs_flathead_26650530_88289b6721""], [""a6da5552-e29e-4bee-972b-4315213dd2fc"", ""us_usfs_flathead_26650530_88289b6721""], [""cd8d36a1-47ec-44ab-af79-6024796f9c3f"", ""us_usfs_flathead_26650530_88289b6721""], [""db15937e-85fe-4601-a511-5afe790099a2"", ""us_usfs_flathead_26650530_88289b6721""], [""e7b6b69c-fb50-4499-b91f-3c4d1cb2b212"", ""us_usfs_flathead_26650530_88289b6721""], [""fbef5709-4d5f-4bf3-ac66-6318ccb29ce8"", ""us_usfs_flathead_26650530_88289b6721""], [""ffcd8a1f-d865-4106-a496-6d2322814cfa"", ""us_usfs_flathead_26650530_88289b6721""]]",auto_accept,3,3,,0.93,unanimous,5e063550721d88a91e529aa25e0aecd089182d438a4e18aa3eda8c7e4c9f1994,f3937f7e7d09ce71febab9158651a78850d816d5ed674034f18d59395891914b,a3d4b3e6f79f854ea9b1be2b38dff602a4a13850ba3c42334ef7813fb195aa2e,5095406d47cef295dd4dba0af612f3e22b23491eeede4e7f3c6eff142cbb5572,a3d4b3e6f79f854ea9b1be2b38dff602a4a13850ba3c42334ef7813fb195aa2e,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,ed78f661,unanimous,A,"[[""ead0e94a-12d3-40e7-9f24-49a3e404e302"", ""us_usfs_flathead_26379219_8812ca31d9""], [""ead0e94a-12d3-40e7-9f24-49a3e404e302"", ""us_usfs_flathead_26592278_8812ca31d9""]]",auto_accept,3,3,,0.986,unanimous,27d2e8b5dfd642cdad73c8d6a33b6abecba64235e41da9457039bca013d83531,9d932d05c4d496cb2b628c02957900d42531b73d8bdc80d8c2ab1831e3d52a47,11c9081a1fc5ef30d5135a11cc319d388f5322dcce72b5350de68aa0b92ae31d,2ca596f1f00c2a4beb6ff3e6c3180371c982a9aea3ab7397493bcb63547b684c,11c9081a1fc5ef30d5135a11cc319d388f5322dcce72b5350de68aa0b92ae31d,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,f0770f8e,unanimous,A,"[[""ce5db25d-5d22-46e5-91c6-da44d7ef05fb"", ""us_usfs_flathead_26371530_8812ca2d27""], [""ce5db25d-5d22-46e5-91c6-da44d7ef05fb"", ""us_usfs_flathead_26455190_8812ca2d2d""], [""ce5db25d-5d22-46e5-91c6-da44d7ef05fb"", ""us_usfs_flathead_26515799_8812ca28b7""], [""ce5db25d-5d22-46e5-91c6-da44d7ef05fb"", ""us_usfs_flathead_26606702_88289b6da5""]]",auto_accept,3,3,,0.957,unanimous,41762dff87d0e8c876a404f48330f09b63d1483f6a6a3211be62f89f3d3660d6,872696924686484c19f86fb3443ffb2f30426356a9f92f8ce12ca45732127593,3139cfb2aeabcdc1358ce81d0cafff3ed7bac79ba6b0081cf3fdce5d325bd18b,151198172311679ebe32b92bb0d534da491be6a4b914709826691de381356de1,3139cfb2aeabcdc1358ce81d0cafff3ed7bac79ba6b0081cf3fdce5d325bd18b,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
us_usfs_flathead_bulk_v7_20260718,f52df0e1,majority,A,"[[""0a2504ff-bb48-48a5-a62d-62515e7ab5da"", ""us_usfs_flathead_26582853_88289b0961""], [""43a861f9-0224-4bb8-9d23-fe521c1aae49"", ""us_usfs_flathead_26582853_88289b0961""], [""6edf3a73-c840-4ff0-ad60-158da6dcee2a"", ""us_usfs_flathead_26582853_88289b0961""], [""75307a01-01dd-46f0-ab67-35edc05ebffb"", ""us_usfs_flathead_26582853_88289b0961""], [""7a96def2-8e83-432c-9fa5-105451aea05f"", ""us_usfs_flathead_26582853_88289b0961""], [""810d6a8e-abd3-440e-8924-6b27e309d2d5"", ""us_usfs_flathead_26582853_88289b0961""], [""9192cb82-4ea8-42b0-8fc4-7640e47c0b93"", ""us_usfs_flathead_26582853_88289b0961""], [""a59bc2a3-1019-47c0-91f0-7624735c8a83"", ""us_usfs_flathead_26582853_88289b0961""], [""c09e87d5-99d7-4ea6-9ead-f05e0186442c"", ""us_usfs_flathead_26582853_88289b0961""], [""cdee6929-5229-4be7-83bf-41693b8cdcff"", ""us_usfs_flathead_26582853_88289b0961""], [""f516878e-fc96-47eb-aee9-ff96c3efd964"", ""us_usfs_flathead_26582853_88289b0961""]]",human_review,3,3,claude=B,0.984,dissent:claude=B,c483674f98c9bbd768ce21f50da886db621bf0f5ad707d7f6079b3c247ad2370,fed463a3e2e3c60a1dfeb2684f7dbe6f8d9a116616087d6b3fb87dca49c984cc,4fd7aa761ff150f3a1ee4b8cef87183ff6fe34d13712839221fffbf38d39f963,6d043913520ebb912815e8ec10b1ddc8f3434979e2f3b1d101457b38ba38bc95,4fd7aa761ff150f3a1ee4b8cef87183ff6fe34d13712839221fffbf38d39f963,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,a97a90080eb647b718f075846f6690520112a959e678860f84f1f0002e96c486
